Transportadora;Metodo;Cep Inicial;Cep Final;Peso Inicial Kg;Peso Final Kg;Valor Inicial R$;Valor Final R$;Cubagem;Limite Peso Kg;Prazo Entrega;Formula;Frete Valor R$;Excedente R$;AdValor %;Peso Excedente Kg;Valor Por Kg R$;Despacho R$;Total Minimo R$;Imposto %;Seguro %;Seguro Minimo R$;Gris %;Gris Minimo R$;Pedagio R$;Pedagio Fração R$;Tas %;Tas Minimo R$;Emex %;Emex Minimo R$;Taxa Minima R$;Taxa Maxima R$;Taxa %;Fração Taxa Peso;Taxa Sobre
"Transiga";"Normal";"01000-000";"02400-100";0,000;40,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";38,780;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"01000-000";"02400-100";40,001;60,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";39,990;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"01000-000";"02400-100";60,001;80,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";49,230;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"01000-000";"02400-100";80,001;100,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";64,560;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"01000-000";"02400-100";100,001;999.999,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";64,560;0,450;0,300;100,001;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"02400-101";"02999-999";0,000;40,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";38,780;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"02400-101";"02999-999";40,001;60,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";39,990;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"02400-101";"02999-999";60,001;80,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";49,230;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"02400-101";"02999-999";80,001;100,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";64,560;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"02400-101";"02999-999";100,001;999.999,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";64,560;0,450;0,300;100,001;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"03000-000";"04899-999";0,000;40,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";38,780;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"03000-000";"04899-999";40,001;60,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";39,990;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"03000-000";"04899-999";60,001;80,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";49,230;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"03000-000";"04899-999";80,001;100,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";64,560;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"03000-000";"04899-999";100,001;999.999,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";64,560;0,450;0,300;100,001;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"04900-000";"04999-999";0,000;40,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";38,780;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"04900-000";"04999-999";40,001;60,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";39,990;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"04900-000";"04999-999";60,001;80,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";49,230;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"04900-000";"04999-999";80,001;100,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";64,560;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"04900-000";"04999-999";100,001;999.999,000;0,000;999.999,000;200,000;999.999,000;5;"Frete Peso";64,560;0,450;0,300;100,001;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"05000-000";"05099-999";0,000;40,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";38,780;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"05000-000";"05099-999";40,001;60,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";39,990;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"05000-000";"05099-999";60,001;80,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";49,230;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"05000-000";"05099-999";80,001;100,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";64,560;0,000;0,300;0,000;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"Transiga";"Normal";"05000-000";"05099-999";100,001;999.999,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";64,560;0,450;0,300;100,001;0,000;8,000;0,000;0,000;0,000;0,000;0,150;3,000;4,500;100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
