Transportadora;Metodo;Cep Inicial;Cep Final;Peso Inicial Kg;Peso Final Kg;Valor Inicial R$;Valor Final R$;Cubagem;Limite Peso Kg;Prazo Entrega;Formula;Frete Valor R$;Excedente R$;AdValor %;Peso Excedente Kg;Valor Por Kg R$;Despacho R$;Total Minimo R$;Imposto %;Seguro %;Seguro Minimo R$;Gris %;Gris Minimo R$;Pedagio R$;Pedagio Fração R$;Tas %;Tas Minimo R$;Emex %;Emex Minimo R$;Taxa Minima R$;Taxa Maxima R$;Taxa %;Fração Taxa Peso;Taxa Sobre
"FrontLog";"Normal";"01000-000";"01599-999";0,000;70,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";37,000;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"01000-000";"01599-999";70,010;250,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";62,500;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"01000-000";"01599-999";250,010;999.999,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";62,500;0,250;0,150;250,010;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"01600-000";"01999-999";0,000;70,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";37,000;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"01600-000";"01999-999";70,010;250,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";62,500;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"01600-000";"01999-999";250,010;999.999,000;0,000;999.999,000;200,000;999.999,000;4;"Frete Peso";62,500;0,250;0,150;250,010;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"02000-000";"02999-999";0,000;70,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";37,000;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"02000-000";"02999-999";70,010;250,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";62,500;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"02000-000";"02999-999";250,010;999.999,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";62,500;0,250;0,150;250,010;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"03000-000";"03999-999";0,000;70,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";37,000;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"03000-000";"03999-999";70,010;250,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";62,500;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"03000-000";"03999-999";250,010;999.999,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";62,500;0,250;0,150;250,010;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"04000-000";"04799-999";0,000;70,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";37,000;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"04000-000";"04799-999";70,010;250,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";62,500;0,000;0,150;0,000;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"FrontLog";"Normal";"04000-000";"04799-999";250,010;999.999,000;0,000;999.999,000;200,000;999.999,000;2;"Frete Peso";62,500;0,250;0,150;250,010;0,000;0,000;0,000;12,000;0,000;0,000;0,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
