Transportadora;Metodo;Cep Inicial;Cep Final;Peso Inicial Kg;Peso Final Kg;Valor Inicial R$;Valor Final R$;Cubagem;Limite Peso Kg;Prazo Entrega;Formula;Frete Valor R$;Excedente R$;AdValor %;Peso Excedente Kg;Valor Por Kg R$;Despacho R$;Total Minimo R$;Imposto %;Seguro %;Seguro Minimo R$;Gris %;Gris Minimo R$;Pedagio R$;Pedagio Fração R$;Tas %;Tas Minimo R$;Emex %;Emex Minimo R$;Taxa Minima R$;Taxa Maxima R$;Taxa %;Fração Taxa Peso;Taxa Sobre
"4A Logística";"Normal";"25000-000";"25599-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25000-000";"25599-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;5;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25600-000";"25779-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25600-000";"25779-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25600-000";"25779-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25600-000";"25779-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25600-000";"25779-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25600-000";"25779-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25800-000";"25829-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25800-000";"25829-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25800-000";"25829-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";80,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25800-000";"25829-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25800-000";"25829-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25800-000";"25829-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";100,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25845-000";"25849-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25845-000";"25849-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25845-000";"25849-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25845-000";"25849-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25845-000";"25849-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25845-000";"25849-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25870-000";"25995-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25870-000";"25995-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25870-000";"25995-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25870-000";"25995-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25870-000";"25995-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"25870-000";"25995-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26000-000";"26299-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26000-000";"26299-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26000-000";"26299-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26000-000";"26299-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26000-000";"26299-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26000-000";"26299-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26300-000";"26499-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26300-000";"26499-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26300-000";"26499-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26300-000";"26499-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26300-000";"26499-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26300-000";"26499-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26500-000";"26599-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26500-000";"26599-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26500-000";"26599-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26500-000";"26599-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26500-000";"26599-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26500-000";"26599-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;7;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26600-000";"27199-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26600-000";"27199-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26600-000";"27199-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26600-000";"27199-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26600-000";"27199-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"26600-000";"27199-999";100,001;999.999,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"27200-000";"27549-999";0,000;10,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"27200-000";"27549-999";10,001;30,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"27200-000";"27549-999";30,001;50,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";85,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"27200-000";"27549-999";50,001;70,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
"4A Logística";"Normal";"27200-000";"27549-999";70,001;100,000;0,000;999.999,000;1,000;999.999,000;8;"Frete Peso";105,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;"NF";
