Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,ju4F4EY7,03/08/2024,05:00,ROMANIA - LIGA 2,CSC Dumbravita,Metalul Buzau,ROUND 1,1.95,3.2,3.9,1.44,2.6,1.09,6.3,1.39,2.77,2.15,1.65,1.91,1.8,1.93,1.82,,,6.3,9.25,20.0,60.0,6.3,6.2,13.5,40.0,8.75,8.5,16.0,50.0,17.0,16.5,32.0,90.0,800.0
2,WMwDJsas,03/08/2024,05:00,ROMANIA - LIGA 2,Mioveni,Unirea Ungheni,ROUND 1,1.78,3.5,4.35,1.42,2.67,1.07,6.8,1.35,2.95,2.05,1.72,1.93,1.78,1.75,2.02,,,6.8,11.0,24.0,70.0,6.2,6.7,14.5,45.0,7.6,8.25,17.0,55.0,13.5,15.0,30.0,90.0,800.0
3,YozUFab6,03/08/2024,05:00,ROMANIA - LIGA 2,Metaloglobus Bucharest,Chindia Targoviste,ROUND 1,2.2,3.0,3.4,1.52,2.42,1.1,5.7,1.47,2.5,2.35,1.52,2.02,1.72,2.15,1.65,,,5.7,7.7,16.0,50.0,6.2,5.9,12.5,37.0,9.5,9.25,17.0,55.0,21.0,20.0,37.0,100.0,900.0
4,SlXLHLTg,03/08/2024,05:00,ROMANIA - LIGA 2,Hunedoara,Selimbar,ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,IFNdHiID,03/08/2024,05:00,ROMANIA - LIGA 2,CSM Slatina,FC Voluntari,ROUND 1,3.15,3.0,2.35,1.5,2.5,1.1,5.9,1.44,2.6,2.3,1.57,1.93,1.78,,,1.6,2.27,5.9,6.5,10.5,24.0,8.0,5.8,9.25,22.0,15.5,11.25,15.5,37.0,40.0,32.0,45.0,90.0,800.0
6,v1pAQeeR,03/08/2024,05:00,ROMANIA - LIGA 2,CSM Focsani,Campulung,ROUND 1,2.07,3.2,3.5,1.4,2.7,1.08,6.7,1.35,2.95,2.05,1.72,1.8,1.9,2.05,1.72,,,6.7,9.25,18.0,50.0,7.1,6.2,12.0,35.0,9.75,8.5,14.5,45.0,19.5,17.0,28.0,70.0,600.0
7,zihsP3yK,03/08/2024,05:00,ROMANIA - LIGA 2,Concordia,Afumati,ROUND 1,1.65,3.5,5.2,1.45,2.57,1.08,6.4,1.39,2.77,2.15,1.65,2.1,1.65,1.65,2.15,,,6.4,11.5,28.0,100.0,5.6,6.8,17.5,65.0,6.8,8.5,19.5,70.0,12.0,15.0,35.0,120.0,1000.0
8,bBAlYDn5,03/08/2024,06:00,JAPAN - J2 LEAGUE,Yokohama FC,Chiba,ROUND 25,1.85,3.5,4.0,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,1.73,2.0,1.9,1.95,1.25,3.8,11.0,12.0,21.0,41.0,7.5,6.5,13.0,29.0,9.0,8.5,15.0,41.0,17.0,15.0,26.0,51.0,201.0
9,tf25UVoU,03/08/2024,07:00,JAPAN - J2 LEAGUE,Renofa Yamaguchi,Oita Trinita,ROUND 25,2.0,3.2,3.8,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,2.0,1.73,2.03,1.83,1.26,3.7,8.0,9.5,19.0,41.0,6.5,6.5,13.0,34.0,8.5,9.0,17.0,41.0,17.0,19.0,34.0,51.0,351.0
10,YT21VBWN,03/08/2024,07:00,JAPAN - J2 LEAGUE,Okayama,Montedio Yamagata,ROUND 25,2.2,3.3,3.2,1.4,2.75,1.06,9.5,1.3,3.4,2.05,1.8,1.8,1.91,2.15,1.68,1.35,3.1,9.5,9.5,15.0,34.0,7.5,6.5,12.0,26.0,10.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
11,fw4cWiHH,03/08/2024,07:00,JAPAN - J2 LEAGUE,Kusatsu,Kofu,ROUND 25,4.0,3.5,1.85,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.85,1.83,1.83,3.7,1.26,1.93,1.93,10.0,7.0,8.5,15.0,11.0,6.5,8.5,15.0,21.0,13.0,15.0,29.0,41.0,34.0,41.0,51.0,301.0
