Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,CI83aELs,02/11/2024,00:00,MEXICO - LIGA MX,Mazatlan FC,Club America,APERTURA ,3.25,3.5,2.2,1.36,3.0,1.04,12.0,1.25,3.75,1.83,2.03,1.67,2.1,3.1,1.35,1.68,2.15,12.0,9.0,11.0,21.0,11.0,6.5,9.0,17.0,17.0,11.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
2,8p2Cchjf,02/11/2024,00:05,MEXICO - LIGA MX,Club Tijuana,U.A.N.L.- Tigres,APERTURA ,3.3,3.7,2.05,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,1.57,2.25,3.1,1.35,1.78,2.03,15.0,9.5,11.0,19.0,13.0,7.0,9.0,15.0,19.0,12.0,13.0,21.0,34.0,23.0,29.0,41.0,151.0
3,WIHKv2mf,02/11/2024,01:00,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Auckland FC,ROUND 3,2.55,3.6,2.63,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.57,2.25,2.43,1.53,1.5,2.5,13.0,11.0,15.0,26.0,10.0,7.0,10.0,19.0,13.0,10.0,12.0,23.0,26.0,19.0,23.0,41.0,151.0
4,h4b78C2P,02/11/2024,02:00,SOUTH KOREA - K LEAGUE 2,Bucheon FC 1995,Anyang,ROUND 38,2.25,3.2,2.75,1.44,2.63,1.06,9.5,1.3,3.4,2.03,1.78,1.8,1.91,2.3,1.6,1.4,2.85,9.5,9.0,15.0,29.0,8.0,6.5,11.0,23.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
5,8v9T5t5M,02/11/2024,02:00,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Incheon,RELEGATION GROUP ,1.9,3.5,3.8,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.73,2.0,1.93,1.93,1.26,3.7,11.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.5,8.5,13.0,34.0,17.0,15.0,23.0,41.0,201.0
6,bgBBnS9b,02/11/2024,03:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Perth Glory,ROUND 3,1.5,4.33,5.75,1.25,3.75,1.03,17.0,1.17,5.0,1.53,2.5,1.62,2.2,1.5,2.5,1.15,5.5,17.0,21.0,34.0,51.0,9.5,8.5,17.0,41.0,8.5,8.5,15.0,41.0,12.0,11.0,21.0,41.0,151.0
7,QP4Yus9a,02/11/2024,04:30,CHINA - SUPER LEAGUE,Chengdu Rongcheng,Shanghai Shenhua,ROUND 30,3.5,3.5,2.05,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25,3.3,1.33,1.75,2.05,13.0,9.5,11.0,19.0,13.0,7.0,9.0,15.0,19.0,12.0,12.0,21.0,41.0,26.0,29.0,41.0,126.0
8,bw3tvLwC,02/11/2024,04:30,CHINA - SUPER LEAGUE,Wuhan Three Towns,Qingdao West Coast,ROUND 30,2.6,3.7,2.5,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,2.5,1.5,1.55,2.38,17.0,12.0,15.0,26.0,12.0,7.5,10.0,17.0,15.0,10.0,12.0,21.0,26.0,19.0,21.0,34.0,101.0
9,Kn4xu1O5,02/11/2024,04:30,CHINA - SUPER LEAGUE,Beijing Guoan,Henan Songshan Longmen,ROUND 30,1.5,4.5,5.75,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.67,2.1,1.53,2.43,1.16,5.25,17.0,19.0,34.0,51.0,9.0,9.0,17.0,41.0,8.5,8.5,15.0,41.0,12.0,11.0,21.0,41.0,151.0
10,6s9dpd0o,02/11/2024,04:30,CHINA - SUPER LEAGUE,Shenzhen Xinpengcheng,Nantong Zhiyun,ROUND 30,1.3,5.25,9.5,1.33,3.25,1.03,15.0,1.2,4.33,1.7,2.1,2.2,1.62,1.3,3.45,,,12.0,21.0,41.0,126.0,7.0,10.0,29.0,67.0,6.0,9.5,23.0,67.0,7.5,12.0,34.0,81.0,501.0
