Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,EZW68HhL,02/12/2024,07:00,ARMENIA - PREMIER LEAGUE,Van,Shirak Gyumri,ROUND 19,1.93,3.1,3.75,1.4,2.42,1.05,7.9,1.25,3.14,1.88,1.72,1.78,1.99,,,,,9.0,9.0,17.0,45.0,6.1,5.3,10.25,27.0,7.9,7.0,11.0,30.0,14.5,12.5,20.0,45.0,350.0
2,tMYbAwO8,02/12/2024,11:00,ARMENIA - PREMIER LEAGUE,Pyunik Yerevan,FC Gandzasar,ROUND 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KfYMzQ5k,02/12/2024,12:00,EGYPT - PREMIER LEAGUE,Petrojet,Pharco,ROUND 4,2.95,2.5,2.95,1.57,2.25,1.15,4.8,1.55,2.3,2.6,1.44,1.98,1.75,2.6,1.43,1.39,2.75,4.8,6.8,14.0,40.0,6.8,5.0,10.75,32.0,14.0,10.75,15.0,45.0,40.0,32.0,45.0,90.0,101.0
4,SKyVY3z2,02/12/2024,12:00,EGYPT - PREMIER LEAGUE,Al Masry,Pyramids,ROUND 4,4.05,3.2,1.91,1.45,2.55,1.08,6.4,1.39,2.8,2.12,1.65,1.93,1.78,3.75,1.23,1.84,1.86,6.4,6.1,8.25,16.5,10.0,6.2,8.5,16.5,21.0,13.5,16.5,32.0,65.0,40.0,50.0,90.0,800.0
5,2uPLJUwn,02/12/2024,13:00,UKRAINE - PREMIER LEAGUE,FK Zorya Luhansk,Karpaty Lviv,ROUND 15,2.75,2.92,2.62,1.5,2.25,1.09,7.3,1.45,2.37,2.32,1.47,1.98,1.65,,,,,6.7,6.7,11.75,30.0,6.8,5.8,10.25,26.0,12.5,10.75,17.0,45.0,32.0,28.0,45.0,100.0,700.0
6,hGMUAbcJ,02/12/2024,14:00,TURKEY - 1. LIG,Sakaryaspor,Boluspor,ROUND 14,2.25,3.1,3.0,1.44,2.63,1.07,8.5,1.33,3.25,2.1,1.7,1.83,1.83,2.3,1.6,1.38,3.0,8.5,9.0,15.0,34.0,7.5,6.0,12.0,26.0,11.0,9.5,15.0,34.0,21.0,21.0,29.0,51.0,301.0
7,W8GhVfnT,02/12/2024,14:00,TURKEY - SUPER LIG,Hatayspor,Besiktas,ROUND 14,4.0,3.6,1.85,1.33,3.25,1.04,13.0,1.22,4.0,1.8,2.0,1.67,2.1,3.8,1.25,1.98,1.88,12.0,8.5,9.5,15.0,13.0,7.0,8.5,15.0,21.0,13.0,13.0,23.0,41.0,29.0,34.0,41.0,151.0
8,2TOyZxm4,02/12/2024,14:00,TURKEY - SUPER LIG,Fenerbahce,Gaziantep,ROUND 14,1.22,7.0,9.5,1.22,4.0,1.02,21.0,1.13,6.0,1.4,2.88,1.83,1.83,1.24,3.9,,,21.0,26.0,51.0,126.0,9.5,13.0,26.0,51.0,7.5,9.5,23.0,51.0,8.0,10.0,23.0,51.0,251.0
9,A3Pz6O76,02/12/2024,14:30,DENMARK - 1ST DIVISION,Koge,Hillerod,ROUND 18,4.75,4.1,1.62,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.73,2.0,4.4,1.2,2.03,1.83,13.0,8.0,8.5,13.0,15.0,8.0,8.5,13.0,26.0,15.0,15.0,23.0,51.0,41.0,41.0,41.0,201.0
10,bNOS7hTO,02/12/2024,15:00,DENMARK - SUPERLIGA,FC Copenhagen,Nordsjaelland,ROUND 17,1.95,3.6,3.75,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.62,2.2,2.0,1.9,1.28,3.55,13.0,13.0,21.0,41.0,9.0,7.0,13.0,29.0,10.0,8.5,13.0,29.0,17.0,15.0,21.0,41.0,151.0
