Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,bySsju2D,03/10/2024,11:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,Pyunik Yerevan,ROUND 2,2.12,3.3,2.95,1.37,2.5,1.02,8.4,1.24,3.22,1.83,1.8,1.7,2.1,,,,,10.0,8.0,13.0,29.0,6.9,5.7,9.0,20.0,9.0,7.5,11.25,26.0,16.5,13.5,21.0,45.0,300.0
2,lCRv8vk3,03/10/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Raed,ROUND 6,1.5,4.0,5.25,1.36,3.0,1.05,8.5,1.29,3.5,1.9,1.9,2.0,1.73,1.53,2.43,1.15,5.5,11.0,13.0,29.0,51.0,6.5,8.0,19.0,41.0,7.0,9.0,21.0,51.0,11.0,13.0,29.0,67.0,1000.0
3,dIOFAvNk,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,Ferencvaros,Tottenham,LEAGUE PHASE ,6.0,5.25,1.42,1.25,3.75,1.02,19.0,1.17,5.0,1.53,2.5,1.75,2.0,5.75,1.14,2.85,1.4,19.0,9.0,8.0,10.0,19.0,10.0,8.0,11.0,34.0,17.0,19.0,21.0,67.0,41.0,41.0,51.0,201.0
4,G636vKzH,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,Hoffenheim,Dyn. Kyiv,LEAGUE PHASE ,1.95,3.75,3.5,1.3,3.4,1.03,15.0,1.2,4.5,1.62,2.3,1.57,2.25,2.0,1.9,1.3,3.45,15.0,13.0,21.0,41.0,10.0,7.5,12.0,26.0,11.0,8.5,12.0,29.0,19.0,15.0,21.0,41.0,126.0
5,htzkPbgt,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,Lazio,Nice,LEAGUE PHASE ,1.8,3.5,4.5,1.44,2.63,1.06,10.0,1.33,3.4,2.0,1.8,1.95,1.8,1.87,2.03,1.23,4.1,9.5,11.0,21.0,51.0,6.5,6.5,15.0,41.0,8.0,8.5,17.0,41.0,15.0,15.0,29.0,51.0,301.0
6,4KBg6vlf,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,Maccabi Tel Aviv,Midtjylland,LEAGUE PHASE ,3.2,3.4,2.2,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2,3.1,1.35,1.68,2.15,13.0,9.5,12.0,21.0,12.0,6.5,9.0,17.0,17.0,11.0,12.0,23.0,34.0,23.0,29.0,41.0,151.0
7,pUJWzBAr,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,Olympiacos Piraeus,Braga,LEAGUE PHASE ,2.1,3.4,3.4,1.4,2.75,1.06,10.0,1.3,3.5,1.99,1.91,1.75,2.0,2.08,1.73,1.33,3.3,11.0,11.0,17.0,34.0,8.0,6.5,12.0,26.0,10.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
8,ERCuaiH7,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,Qarabag,Malmo FF,LEAGUE PHASE ,1.95,3.6,3.6,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2,2.03,1.87,1.3,3.45,13.0,13.0,21.0,41.0,9.0,7.0,12.0,26.0,11.0,8.5,12.0,29.0,17.0,15.0,21.0,41.0,151.0
9,KCH5MBek,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,Real Sociedad,Anderlecht,LEAGUE PHASE ,1.57,3.8,6.25,1.4,2.75,1.06,10.0,1.3,3.5,2.0,1.9,1.95,1.8,1.58,2.35,1.14,5.75,10.0,15.0,29.0,67.0,6.5,7.0,19.0,41.0,7.0,8.5,17.0,51.0,11.0,13.0,29.0,51.0,351.0
10,MP1jr2yh,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,RFS,Galatasaray,LEAGUE PHASE ,7.5,5.5,1.3,1.25,3.75,1.02,19.0,1.14,5.5,1.44,2.75,1.75,2.0,6.6,1.11,3.3,1.33,19.0,9.5,7.5,9.0,23.0,11.0,9.0,10.0,41.0,23.0,19.0,21.0,81.0,51.0,41.0,51.0,201.0
11,jLZnZK4E,03/10/2024,13:45,EUROPE - EUROPA LEAGUE,Slavia Prague,Ajax,LEAGUE PHASE ,1.91,3.6,3.9,1.36,3.0,1.05,11.0,1.25,4.0,1.88,2.02,1.7,2.05,1.97,1.93,1.28,3.55,12.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.5,8.5,13.0,34.0,17.0,15.0,23.0,41.0,201.0
12,MJpWaA97,03/10/2024,14:00,SWEDEN - ALLSVENSKAN,Norrkoping,Sirius,ROUND 23,2.9,3.6,2.25,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.57,2.25,2.75,1.43,1.63,2.25,15.0,10.0,12.0,21.0,12.0,7.0,9.0,17.0,17.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,151.0
13,0jopncSq,03/10/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Wehda,Al Feiha,ROUND 6,2.1,3.3,3.2,1.36,3.0,1.04,9.0,1.22,4.0,1.73,2.08,1.67,2.1,2.08,1.73,1.33,3.3,12.0,12.0,17.0,34.0,9.0,6.5,12.0,23.0,11.0,9.5,13.0,29.0,19.0,17.0,23.0,41.0,151.0
14,t64DiJ4M,03/10/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Okhdood,Al Ittihad,ROUND 6,5.75,4.0,1.48,1.29,3.5,1.03,10.0,1.17,4.5,1.57,2.35,1.73,2.0,5.9,1.13,2.6,1.48,15.0,9.0,8.0,11.0,21.0,8.5,9.0,12.0,34.0,19.0,15.0,23.0,67.0,41.0,41.0,41.0,151.0
15,dYfdMjvh,03/10/2024,16:00,EUROPE - EUROPA LEAGUE,PAOK,FCSB,LEAGUE PHASE ,1.62,4.0,5.0,1.33,3.25,1.04,13.0,1.25,4.0,1.73,2.1,1.75,2.0,1.63,2.25,1.18,4.65,13.0,15.0,26.0,51.0,7.5,7.5,15.0,41.0,8.0,8.5,15.0,41.0,12.0,13.0,23.0,51.0,201.0
16,hh0klz3k,03/10/2024,16:00,EUROPE - EUROPA LEAGUE,Plzen,Ludogorets,LEAGUE PHASE ,1.73,3.5,4.75,1.36,3.0,1.05,11.0,1.29,3.75,1.9,2.0,1.8,1.95,1.73,2.08,1.19,4.5,11.0,13.0,26.0,51.0,7.5,7.0,15.0,41.0,8.5,8.5,15.0,41.0,13.0,13.0,26.0,51.0,201.0
