Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,nRLyShLn,05/07/2024,07:00,JAPAN - J1 LEAGUE,Sanfrecce Hiroshima,Vissel Kobe,ROUND 22,2.3,3.4,3.1,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.8,1.95,2.25,1.63,1.38,3.0,9.5,9.5,15.0,34.0,8.0,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
2,MyKdUjVb,05/07/2024,07:30,SOUTH KOREA - K LEAGUE 1,Incheon,Gimcheon Sangmu,ROUND 21,2.5,3.2,2.9,1.44,2.63,1.07,9.0,1.3,3.4,2.05,1.75,1.8,1.91,2.43,1.53,1.43,2.75,9.0,9.0,15.0,29.0,8.0,6.0,11.0,23.0,12.0,10.0,13.0,34.0,23.0,21.0,29.0,51.0,251.0
3,4091TAp5,05/07/2024,07:30,SOUTH KOREA - K LEAGUE 1,Suwon FC,Ulsan HD,ROUND 21,3.1,3.5,2.2,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38,3.0,1.38,1.68,2.15,15.0,11.0,13.0,21.0,13.0,7.0,9.0,15.0,19.0,11.0,11.0,21.0,34.0,21.0,26.0,34.0,126.0
4,CjbwLQEq,05/07/2024,08:35,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Shanghai Port,ROUND 18,8.5,6.0,1.29,1.18,4.5,1.01,26.0,1.08,8.0,1.3,3.5,1.62,2.2,6.6,1.11,3.55,1.28,26.0,13.0,9.0,10.0,34.0,12.0,9.5,10.0,51.0,26.0,17.0,19.0,101.0,51.0,41.0,41.0,126.0
5,rm0QrnRk,05/07/2024,13:00,EUROPE - EURO,Spain,Germany,PLAY OFFS ,2.7,3.1,2.8,1.44,2.63,1.07,9.0,1.33,3.4,2.1,1.73,1.8,1.91,2.6,1.48,1.45,2.68,9.0,9.0,15.0,29.0,9.0,6.0,11.0,23.0,13.0,11.0,15.0,34.0,29.0,23.0,34.0,51.0,251.0
6,xf5z0D9j,05/07/2024,16:00,EUROPE - EURO,Portugal,France,PLAY OFFS ,3.3,3.0,2.4,1.5,2.5,1.1,7.0,1.44,2.75,2.38,1.57,1.91,1.8,3.3,1.33,1.58,2.35,7.0,7.0,11.0,23.0,9.0,6.0,10.0,23.0,17.0,13.0,17.0,41.0,41.0,34.0,41.0,67.0,451.0
7,MNfvnc74,05/07/2024,19:00,BRAZIL - SERIE B,Ceara,Santos,ROUND 14,2.38,3.2,2.9,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,1.83,1.83,2.35,1.58,1.4,2.85,8.5,8.5,15.0,29.0,7.5,6.0,11.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
8,tCHSz777,05/07/2024,19:45,MEXICO - LIGA MX,Puebla,Santos Laguna,APERTURA ,2.38,3.8,2.7,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.5,2.5,2.35,1.58,1.48,2.6,17.0,13.0,17.0,29.0,12.0,7.5,10.0,19.0,15.0,9.5,11.0,21.0,23.0,17.0,21.0,34.0,101.0
9,n52RlaNo,05/07/2024,21:00,BRAZIL - SERIE B,Brusque,Ponte Preta,ROUND 14,2.2,3.0,3.5,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,2.1,1.67,2.2,1.65,1.3,3.45,6.5,8.0,17.0,41.0,6.0,6.0,13.0,34.0,9.5,10.0,19.0,41.0,21.0,21.0,41.0,67.0,201.0
10,lAUksf7r,05/07/2024,22:00,SOUTH AMERICA - COPA AMÉRICA,Venezuela,Canada,PLAY OFFS ,2.5,3.1,3.0,1.5,2.5,1.08,7.5,1.44,2.75,2.3,1.62,1.95,1.8,2.43,1.53,1.4,2.85,7.5,8.0,15.0,34.0,7.5,6.0,12.0,29.0,12.0,11.0,17.0,41.0,26.0,23.0,41.0,67.0,451.0
11,KdTJxTxe,05/07/2024,22:00,MEXICO - LIGA MX,Queretaro,Club Tijuana,APERTURA ,2.2,3.5,3.1,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.67,2.1,2.2,1.65,1.38,3.0,12.0,11.0,17.0,34.0,9.0,7.0,11.0,23.0,11.0,9.0,13.0,29.0,21.0,17.0,23.0,41.0,151.0
