Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,xWjYX22m,09/09/2024,13:30,SERBIA - PRVA LIGA,Macva,Graficar Beograd,ROUND 6,2.37,3.15,2.7,1.37,2.85,1.02,10.0,1.23,3.56,1.75,1.9,1.6,2.27,,,,,10.5,8.25,12.0,25.0,7.8,5.6,8.25,17.5,10.75,7.7,10.0,21.0,21.0,15.0,19.5,37.0,200.0
2,ja0bLPIs,09/09/2024,13:30,SERBIA - PRVA LIGA,Sloboda,FK Indjija,ROUND 6,2.07,3.05,3.3,1.45,2.25,1.05,8.0,1.38,2.73,2.1,1.57,1.9,1.86,,,,,7.7,7.2,13.5,35.0,5.6,5.3,9.75,26.0,7.9,7.5,13.0,35.0,15.5,15.0,25.0,60.0,500.0
3,G8Q9dhzq,09/09/2024,16:00,SPAIN - LALIGA2,Albacete,Eibar,ROUND 4,2.3,3.2,3.2,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,1.83,1.83,2.05,1.8,1.35,3.1,9.0,9.5,15.0,34.0,7.5,6.0,12.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
4,MR4h79l1,09/09/2024,16:00,SPAIN - LALIGA2,Castellon,Cadiz CF,ROUND 4,2.15,3.3,3.3,1.4,2.75,1.06,10.0,1.29,3.5,2.0,1.85,1.73,2.0,2.15,1.68,1.33,3.3,10.0,11.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.0,13.0,34.0,21.0,17.0,26.0,41.0,201.0
5,08vMc9O6,09/09/2024,20:00,BRAZIL - SERIE B,Botafogo SP,Goias,ROUND 25,2.9,2.9,2.7,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.1,1.67,2.75,1.43,1.45,2.68,6.5,6.5,12.0,26.0,7.0,6.0,11.0,26.0,13.0,12.0,17.0,41.0,29.0,29.0,41.0,67.0,1250.0
6,MHuIbk90,09/09/2024,21:30,BRAZIL - SERIE B,Ponte Preta,Chapecoense-SC,ROUND 25,1.95,3.0,4.5,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,2.2,1.62,2.0,1.85,1.22,4.15,6.5,9.5,21.0,51.0,5.5,6.0,17.0,41.0,8.0,9.5,19.0,51.0,17.0,19.0,41.0,67.0,201.0
