NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,U9TFXf8h,02/07/2024,13:00,EGYPT - PREMIER LEAGUE,Enppi,Arab Contractors,ROUND 29,1.98,3.05,3.9,1.5,2.27,1.06,6.55,1.47,2.35,2.32,1.47,2.05,1.62,1.93,1.78,,,6.7,8.75,20.0,65.0,5.4,6.0,14.0,45.0,8.0,9.0,18.5,60.0,17.5,20.0,40.0,120.0,201.0
2,EZzqV1nf,02/07/2024,14:00,EGYPT - PREMIER LEAGUE,Smouha,Pyramids,ROUND 28,5.0,3.3,1.7,1.42,2.45,1.04,10.0,1.3,2.92,1.95,1.75,1.8,1.8,,,,,8.75,6.2,7.6,13.5,13.5,6.5,8.0,14.5,30.0,15.5,15.0,28.0,100.0,50.0,50.0,75.0,600.0
3,vuHIL0ga,02/07/2024,18:30,BRAZIL - SERIE B,Goias,America MG,ROUND 13,2.38,3.0,3.2,1.44,2.63,1.08,8.0,1.36,3.0,2.2,1.65,1.83,1.83,2.35,1.58,1.35,3.1,8.0,9.0,15.0,34.0,7.5,6.0,12.0,26.0,11.0,10.0,15.0,41.0,23.0,21.0,34.0,51.0,301.0
4,Ec9VIbwI,02/07/2024,20:00,BRAZIL - SERIE B,Novorizontino,Mirassol,ROUND 13,2.3,3.0,3.3,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67,2.3,1.6,1.33,3.3,6.5,8.0,15.0,34.0,6.0,6.0,13.0,34.0,10.0,10.0,19.0,41.0,21.0,23.0,41.0,67.0,201.0
