Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,MJlPfN4K,21/11/2024,07:00,SOUTH KOREA - K LEAGUE 2,Jeonnam,Busan,PLAY OFFS ,2.88,3.3,2.3,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25,2.85,1.4,1.6,2.3,13.0,10.0,13.0,23.0,12.0,6.5,9.5,17.0,17.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,126.0
2,6Vtldm3b,21/11/2024,10:00,ARMENIA - PREMIER LEAGUE,Pyunik Yerevan,West Armenia,ROUND 17,1.19,5.7,10.5,1.21,3.94,1.02,12.9,1.09,5.1,1.35,2.65,1.93,1.83,,,,,18.5,28.0,70.0,250.0,8.25,10.75,28.0,100.0,6.1,8.0,19.5,70.0,6.4,8.5,21.0,70.0,400.0
3,KvMXgcMU,21/11/2024,11:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,FC Gandzasar,ROUND 17,1.07,8.25,19.0,1.16,4.65,1.01,17.0,1.02,7.5,1.19,3.56,2.48,1.51,,,,,24.0,60.0,200.0,600.0,10.5,19.5,65.0,300.0,6.4,12.0,40.0,200.0,5.5,10.25,35.0,175.0,201.0
4,0CO2UQM9,21/11/2024,12:00,ROMANIA - LIGA 2,FC Arges,FC Voluntari,ROUND 14,2.32,3.05,3.1,1.5,2.45,1.08,6.3,1.38,2.8,2.15,1.65,1.83,1.87,2.27,1.6,,,6.3,8.25,15.5,40.0,7.1,5.9,11.0,29.0,11.0,9.0,14.5,40.0,24.0,20.0,32.0,75.0,600.0
5,0CEysv2s,21/11/2024,14:30,SWEDEN - SUPERETTAN,Lunds,Ostersund,RELEGATION ,3.0,3.3,2.2,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.67,2.1,3.0,1.38,1.63,2.25,11.0,8.5,12.0,21.0,10.0,6.5,9.5,17.0,15.0,11.0,13.0,26.0,34.0,23.0,29.0,41.0,151.0
6,I33MmJIN,21/11/2024,15:00,ROMANIA - LIGA 1,FC Botosani,FCSB,ROUND 4,5.0,3.6,1.6,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.85,1.91,1.8,5.25,1.16,2.3,1.6,10.0,6.5,7.5,12.0,13.0,7.5,8.5,13.0,26.0,17.0,17.0,29.0,51.0,41.0,41.0,51.0,351.0
7,b1wxbpIb,21/11/2024,15:00,SWEDEN - ALLSVENSKAN,Landskrona,Varnamo,RELEGATION ,3.5,3.25,2.0,1.44,2.63,1.06,9.5,1.3,3.4,2.05,1.75,1.8,1.95,3.45,1.3,1.8,2.05,9.5,7.0,9.5,19.0,10.0,6.5,9.0,17.0,19.0,13.0,15.0,29.0,41.0,29.0,41.0,51.0,251.0
8,2JJayzWI,21/11/2024,15:00,SWEDEN - SUPERETTAN,Stockholm Internazionale,Sundsvall,RELEGATION ,1.91,3.5,3.5,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.8,1.91,1.98,1.88,1.28,3.55,11.0,11.0,19.0,41.0,7.5,7.0,13.0,29.0,9.0,9.0,15.0,34.0,17.0,15.0,26.0,51.0,251.0
9,O420YFuB,21/11/2024,16:45,ITALY - SERIE C,Pescara,AC Milan U23,GROUP B ,1.53,3.65,5.9,1.39,2.77,1.07,7.0,1.33,3.05,1.98,1.78,2.02,1.7,1.7,2.07,1.13,5.2,7.0,14.0,35.0,120.0,5.9,7.4,19.5,70.0,6.6,8.25,19.5,75.0,10.5,13.0,30.0,110.0,800.0
10,8GflZ10m,21/11/2024,18:00,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Royal Pari,CLAUSURA ,1.25,5.5,12.0,1.29,3.5,1.04,13.0,1.17,5.0,1.57,2.35,2.1,1.67,1.25,3.8,,,13.0,29.0,51.0,151.0,7.5,10.0,34.0,81.0,6.5,9.0,23.0,67.0,7.5,11.0,29.0,67.0,351.0
11,f9nge664,21/11/2024,19:00,PARAGUAY - PRIMERA DIVISION,Sportivo Trinidense,Cerro Porteno,CLAUSURA ,3.4,3.2,1.95,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,1.83,1.83,3.45,1.3,1.78,2.03,9.0,7.0,9.0,17.0,9.5,6.5,9.0,17.0,17.0,13.0,17.0,29.0,41.0,29.0,41.0,51.0,301.0
12,fgWKXlPr,21/11/2024,20:00,BOLIVIA - DIVISION PROFESIONAL,Tomayapo,Bolivar,CLAUSURA ,4.75,4.0,1.67,1.4,2.75,1.05,11.0,1.29,3.5,1.88,1.93,1.83,1.83,4.25,1.21,2.1,1.7,11.0,7.0,8.0,13.0,12.0,7.5,8.5,13.0,23.0,15.0,17.0,26.0,51.0,41.0,41.0,51.0,301.0
13,nFe0EWXO,21/11/2024,20:30,COLOMBIA - PRIMERA A,Once Caldas,Deportes Tolima,CLAUSURA ,2.8,3.0,2.7,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,2.1,1.67,2.68,1.45,1.45,2.68,6.5,6.5,12.0,26.0,7.0,6.0,11.0,26.0,12.0,11.0,19.0,41.0,29.0,29.0,41.0,67.0,201.0
14,jLPTVSge,21/11/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Wilstermann,CLAUSURA ,1.42,4.0,7.0,1.4,2.75,1.05,11.0,1.25,3.75,1.83,1.98,2.1,1.67,1.43,2.75,1.1,7.0,10.0,17.0,34.0,81.0,6.0,8.0,21.0,51.0,6.5,8.5,21.0,51.0,9.5,13.0,29.0,67.0,351.0
15,6cNu9v1t,21/11/2024,22:05,MEXICO - LIGA MX,Guadalajara Chivas,Atlas,APERTURA ,1.83,3.6,4.33,1.5,2.5,1.07,9.0,1.4,2.75,2.25,1.62,2.05,1.7,1.83,2.03,1.22,4.15,8.0,10.0,21.0,51.0,6.0,6.5,15.0,41.0,7.5,9.0,19.0,41.0,15.0,17.0,34.0,67.0,501.0
16,QuRAYZIt,21/11/2024,22:30,COLOMBIA - PRIMERA A,Junior,America De Cali,CLAUSURA ,1.9,3.4,4.1,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67,1.95,1.9,1.25,3.8,7.5,9.0,19.0,41.0,5.5,6.5,15.0,41.0,8.0,9.0,21.0,51.0,15.0,19.0,34.0,67.0,201.0
