NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,hO0nKEm3,15/08/2024,14:00,SPAIN - LALIGA,Ath Bilbao,Getafe,ROUND 1,1.45,4.1,8.0,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.73,2.25,1.57,1.45,2.68,1.11,6.8,8.5,15.0,34.0,81.0,5.5,8.0,23.0,51.0,6.0,9.0,23.0,67.0,9.5,15.0,34.0,81.0,501.0
2,hKUolb9m,15/08/2024,15:00,PERU - LIGA 1,Alianza Atl.,Cusco,CLAUSURA ,1.91,3.2,4.33,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,2.0,1.73,1.9,1.95,1.21,4.25,8.0,11.0,21.0,41.0,6.5,6.0,15.0,41.0,8.5,9.0,17.0,41.0,15.0,17.0,34.0,51.0,351.0
3,O2yFKvs0,15/08/2024,15:00,SERBIA - SUPER LIGA,Cukaricki,Crvena zvezda,ROUND 5,7.8,4.3,1.39,1.35,2.95,1.04,8.5,1.21,3.95,1.65,2.15,1.85,1.85,,,,,8.5,7.2,6.8,9.25,23.0,8.75,8.0,11.0,55.0,23.0,17.5,24.0,200.0,80.0,65.0,75.0,500.0
4,6eQuWbQ8,15/08/2024,15:30,SPAIN - LALIGA2,Granada CF,Albacete,ROUND 1,1.85,3.5,4.1,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8,1.85,2.0,1.23,4.1,9.0,10.0,21.0,41.0,6.5,6.5,15.0,34.0,8.5,9.0,17.0,41.0,15.0,17.0,29.0,51.0,351.0
5,rFIWlt2O,15/08/2024,16:15,ICELAND - BESTA DEILD KARLA,Valur,Breidablik,ROUND 16,2.05,3.85,3.0,1.21,3.9,1.02,20.0,1.1,5.7,1.34,3.0,1.33,3.05,2.0,1.75,,,27.0,20.0,25.0,45.0,15.5,9.25,11.75,21.0,16.0,9.5,10.5,19.0,23.0,14.0,15.5,25.0,100.0
6,QyafIhIF,15/08/2024,16:30,SPAIN - LALIGA,Betis,Girona,ROUND 1,2.35,3.4,3.0,1.36,3.0,1.05,11.0,1.29,3.75,1.95,1.95,1.7,2.05,2.3,1.6,1.4,2.85,11.0,10.0,15.0,29.0,9.0,6.5,11.0,23.0,12.0,9.5,13.0,29.0,23.0,19.0,26.0,41.0,201.0
7,tvWMkBph,15/08/2024,17:15,PERU - LIGA 1,Comerciantes Unidos,Cajamarca,CLAUSURA ,2.75,3.1,2.55,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,1.8,1.91,2.68,1.45,1.85,2.0,9.0,8.5,12.0,26.0,8.5,6.0,10.0,21.0,13.0,11.0,13.0,34.0,29.0,23.0,34.0,51.0,251.0
8,tS1CWB9T,15/08/2024,18:00,VENEZUELA - LIGA FUTVE,Angostura,Carabobo,CLAUSURA ,3.4,2.72,2.32,1.45,2.37,1.05,7.2,1.4,2.52,2.15,1.55,1.8,1.82,,,,,6.8,6.8,11.0,26.0,8.5,5.4,9.0,21.0,17.5,11.5,14.0,32.0,50.0,35.0,45.0,75.0,700.0
9,8E34YXvH,15/08/2024,20:45,VENEZUELA - LIGA FUTVE,Caracas,Estudiantes Merida,CLAUSURA ,1.87,3.1,4.35,1.42,2.45,1.04,7.7,1.36,2.65,2.07,1.6,1.85,1.75,1.83,1.88,,,7.8,11.25,25.0,80.0,5.9,6.1,14.0,45.0,8.0,8.5,15.5,50.0,16.0,16.5,32.0,80.0,700.0
10,n1SwUw49,15/08/2024,21:00,BRAZIL - SERIE B,Operario,Ituano,ROUND 21,1.57,3.7,6.5,1.5,2.5,1.08,8.0,1.44,2.63,2.35,1.57,2.5,1.5,1.55,2.38,1.13,6.0,7.0,12.0,29.0,81.0,5.0,7.5,21.0,51.0,6.0,9.5,23.0,67.0,11.0,17.0,41.0,101.0,201.0
