Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,fHhoNitf,16/09/2024,10:00,ROMANIA - LIGA 2,FC Arges,Concordia,ROUND 6,2.2,2.72,3.85,1.65,2.15,1.15,4.8,1.62,2.2,2.8,1.39,2.25,1.57,2.15,1.65,,,4.8,7.5,18.5,65.0,5.2,5.6,14.5,50.0,9.0,9.75,20.0,75.0,22.0,24.0,50.0,150.0,1000.0
2,SxHjngNc,16/09/2024,11:00,SERBIA - PRVA LIGA,Mladost GAT,Sloboda,ROUND 7,1.6,3.4,5.2,1.45,2.27,1.05,8.0,1.36,2.79,2.07,1.6,2.07,1.72,,,,,7.8,9.5,23.0,75.0,4.8,5.9,14.5,50.0,5.7,7.1,16.0,55.0,9.5,11.75,26.0,80.0,500.0
3,48DoHzhG,16/09/2024,11:30,NORWAY - OBOS-LIGAEN,Egersund,Ranheim,ROUND 22,2.1,3.6,2.8,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,1.44,2.63,2.1,1.7,1.4,2.85,19.0,15.0,19.0,34.0,12.0,8.0,11.0,21.0,13.0,9.5,11.0,23.0,21.0,15.0,19.0,34.0,101.0
4,Sl7Wyyx2,16/09/2024,12:00,ROMANIA - LIGA 1,UTA Arad,FC Hermannstadt,ROUND 9,2.3,3.25,3.0,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83,2.3,1.6,1.38,3.0,9.0,9.0,15.0,34.0,7.5,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,301.0
5,EPF2yQU7,16/09/2024,12:00,UKRAINE - PREMIER LEAGUE,Kolos Kovalivka,LNZ Cherkasy,ROUND 6,2.82,2.92,2.55,1.47,2.32,1.08,7.75,1.42,2.45,2.22,1.52,1.9,1.72,,,,,7.0,7.0,11.75,28.0,7.0,5.8,9.75,24.0,13.0,10.75,16.0,37.0,35.0,29.0,45.0,90.0,900.0
6,nsGINe3J,16/09/2024,12:30,FINLAND - YKKONEN,Klubi 04,Atlantis,CHAMPIONSHIP GROUP,1.4,4.5,6.0,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.67,2.1,1.43,2.75,1.14,5.75,19.0,21.0,34.0,67.0,9.5,9.5,19.0,41.0,8.5,8.5,15.0,41.0,11.0,11.0,21.0,41.0,151.0
7,MTu6hIom,16/09/2024,13:00,CYPRUS - CYTA CHAMPIONSHIP,Omonia,AEK Larnaca,ROUND 3,2.05,3.2,3.7,1.47,2.65,1.07,7.4,1.31,3.25,1.95,1.83,1.72,2.02,2.02,1.78,,,7.4,10.5,22.0,65.0,7.3,6.4,13.0,37.0,10.75,9.0,14.0,40.0,21.0,17.5,28.0,65.0,500.0
8,fJciiPun,16/09/2024,13:30,DENMARK - 1ST DIVISION,Fredericia,Hobro,ROUND 9,2.15,3.6,3.0,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,1.5,2.5,2.15,1.68,1.38,3.0,17.0,15.0,19.0,34.0,12.0,7.5,11.0,21.0,13.0,9.5,11.0,23.0,21.0,15.0,21.0,34.0,101.0
9,WIJkQBF8,16/09/2024,13:30,ITALY - SERIE A,Parma,Udinese,ROUND 4,2.35,3.3,3.1,1.44,2.63,1.07,9.0,1.33,3.4,2.1,1.73,1.8,1.95,2.3,1.6,1.38,3.0,9.0,9.0,15.0,34.0,7.5,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
10,6sBUPI0K,16/09/2024,13:45,BULGARIA - PARVA LIGA,Lok. Sofia,CSKA Sofia,ROUND 12,11.0,4.5,1.33,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,2.25,1.57,6.4,1.12,3.3,1.33,9.5,6.0,5.5,8.0,21.0,9.0,9.0,13.0,51.0,29.0,23.0,34.0,126.0,81.0,81.0,81.0,1250.0
