Date,Time,Country,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
11.05.2024,11:30,ENGLAND,PREMIER LEAGUE - ROUND 37,Fulham,Manchester City,11.0,7.0,1.22,1.36,3.2,1.75,2.0
11.05.2024,14:00,ENGLAND,PREMIER LEAGUE - ROUND 37,Bournemouth,Brentford,1.95,3.8,3.6,1.5,2.63,1.44,2.63
11.05.2024,14:00,ENGLAND,PREMIER LEAGUE - ROUND 37,Everton,Sheffield Utd,1.4,4.75,7.0,1.53,2.5,1.7,2.05
11.05.2024,14:00,ENGLAND,PREMIER LEAGUE - ROUND 37,Newcastle,Brighton,1.62,4.75,4.5,1.33,3.4,1.4,2.75
11.05.2024,14:00,ENGLAND,PREMIER LEAGUE - ROUND 37,Tottenham,Burnley,1.33,6.0,7.0,1.25,4.0,1.44,2.63
11.05.2024,14:00,ENGLAND,PREMIER LEAGUE - ROUND 37,West Ham,Luton,1.8,4.2,3.8,1.44,2.75,1.44,2.63
11.05.2024,14:00,ENGLAND,PREMIER LEAGUE - ROUND 37,Wolves,Crystal Palace,2.88,3.5,2.45,1.73,2.1,1.62,2.2
11.05.2024,16:30,ENGLAND,PREMIER LEAGUE - ROUND 37,Nottingham,Chelsea,3.5,3.9,1.95,1.44,2.75,1.44,2.63
11.05.2024,13:30,GERMANY,BUNDESLIGA - ROUND 33,B. Monchengladbach,Eintracht Frankfurt,2.45,3.75,2.63,1.57,2.38,1.5,2.5
11.05.2024,13:30,GERMANY,BUNDESLIGA - ROUND 33,FC Koln,Union Berlin,2.8,3.3,2.55,2.01,1.89,1.7,2.05
11.05.2024,13:30,GERMANY,BUNDESLIGA - ROUND 33,Freiburg,Heidenheim,1.73,4.0,4.5,1.62,2.3,1.62,2.2
11.05.2024,13:30,GERMANY,BUNDESLIGA - ROUND 33,RB Leipzig,Werder Bremen,1.29,6.5,8.0,1.29,3.75,1.57,2.25
11.05.2024,16:30,GERMANY,BUNDESLIGA - ROUND 33,Mainz,Dortmund,2.2,3.6,3.1,1.5,2.63,1.4,2.75
11.05.2024,16:00,ITALY,SERIE A - ROUND 36,Napoli,Bologna,2.1,3.4,3.5,2.0,1.9,1.75,2.0
11.05.2024,18:45,ITALY,SERIE A - ROUND 36,AC Milan,Cagliari,1.4,5.0,7.0,1.57,2.38,1.75,2.0
11.05.2024,12:00,SPAIN,LALIGA - ROUND 35,Mallorca,Las Palmas,1.65,3.6,6.0,2.5,1.53,2.38,1.53
11.05.2024,14:15,SPAIN,LALIGA - ROUND 35,Villarreal,Sevilla,1.83,4.0,3.8,1.57,2.38,1.53,2.38
11.05.2024,16:30,SPAIN,LALIGA - ROUND 35,Granada CF,Real Madrid,6.0,4.5,1.5,1.67,2.2,1.75,2.0
11.05.2024,19:00,SPAIN,LALIGA - ROUND 35,Ath Bilbao,Osasuna,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,14:00,ALBANIA,SUPERLIGA - ROUND 36,Egnatia,KF Tirana,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,14:00,ALBANIA,SUPERLIGA - ROUND 36,Laci,Kukesi,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,14:00,ALBANIA,SUPERLIGA - ROUND 36,Partizani,Erzeni,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,14:00,ALBANIA,SUPERLIGA - ROUND 36,Teuta,Dinamo Tirana,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,14:00,ALBANIA,SUPERLIGA - ROUND 36,Vllaznia,Skenderbeu,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,16:00,ALGERIA,LIGUE 1 - ROUND 25,Biskra,Oran,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,16:00,ALGERIA,LIGUE 1 - ROUND 25,CR Belouizdad,Ben Aknoun,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,16:00,ALGERIA,LIGUE 1 - ROUND 25,Kabylie,Constantine,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,16:00,ALGERIA,LIGUE 1 - ROUND 25,Khenchela,MC Alger,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,16:00,ALGERIA,LIGUE 1 - ROUND 25,Magra,Saoura,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,16:00,ALGERIA,LIGUE 1 - ROUND 25,Paradou,ASO Chlef,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,18:30,ANDORRA,PRIMERA DIVISIÓ - ROUND 26,FC Santa Coloma,Atletic Escaldes,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,18:30,ANDORRA,PRIMERA DIVISIÓ - ROUND 26,Inter Escaldes,UE Santa Coloma,1.5,4.33,6.5,1.98,1.92,2.05,1.7
11.05.2024,00:15,ARGENTINA,LIGA PROFESIONAL - ROUND 1,Argentinos Jrs,Rosario Central,1.85,3.5,4.2,2.2,1.65,2.0,1.75
11.05.2024,00:15,ARGENTINA,LIGA PROFESIONAL - ROUND 1,Newells Old Boys,Platense,1.95,3.1,4.5,2.88,1.4,2.5,1.5
11.05.2024,17:30,ARGENTINA,LIGA PROFESIONAL - ROUND 1,Huracan,Defensa y Justicia,2.25,2.9,3.8,2.6,1.48,2.2,1.62
11.05.2024,18:30,ARGENTINA,LIGA PROFESIONAL - ROUND 1,Godoy Cruz,Barracas Central,1.91,3.0,5.25,2.6,1.48,2.25,1.57
11.05.2024,20:30,ARGENTINA,LIGA PROFESIONAL - ROUND 1,Independiente,Talleres Cordoba,2.2,3.2,3.5,2.6,1.48,2.2,1.62
11.05.2024,22:45,ARGENTINA,LIGA PROFESIONAL - ROUND 1,River Plate,Central Cordoba,1.3,4.75,11.0,1.88,1.98,2.25,1.57
11.05.2024,17:00,ARGENTINA,PRIMERA NACIONAL - ROUND 15,Deportivo Moron,Gimnasia y Tiro,2.25,2.8,3.75,3.1,1.36,2.5,1.5
11.05.2024,18:30,ARGENTINA,PRIMERA NACIONAL - ROUND 15,Tristan Suarez,San Martin T.,3.2,2.8,2.38,2.88,1.4,2.25,1.57
11.05.2024,19:00,ARGENTINA,PRIMERA NACIONAL - ROUND 15,Chaco For Ever,Almirante Brown,1.95,3.0,4.0,3.1,1.36,2.5,1.5
11.05.2024,20:30,ARGENTINA,PRIMERA NACIONAL - ROUND 15,Agropecuario,San Martin S.J.,2.38,2.8,3.25,2.7,1.44,2.2,1.62
11.05.2024,21:00,ARGENTINA,PRIMERA NACIONAL - ROUND 15,Atl. Rafaela,Defensores Unidos,1.75,3.1,4.75,2.6,1.48,2.38,1.53
11.05.2024,22:00,ARGENTINA,PRIMERA NACIONAL - ROUND 15,Brown Adrogue,Aldosivi,2.9,2.9,2.5,2.5,1.5,2.1,1.67
