Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,WbirNZ9c,30/08/2024,09:30,UKRAINE - PREMIER LEAGUE,Obolon,FK Zorya Luhansk,ROUND 5,3.15,2.9,2.32,1.42,2.47,1.05,8.7,1.38,2.6,2.1,1.57,1.78,1.82,,,1.75,1.98,7.5,7.0,11.0,25.0,8.25,5.7,9.0,21.0,16.0,11.0,14.0,32.0,45.0,30.0,40.0,75.0,700.0
2,GSr5BnUj,30/08/2024,10:00,ARMENIA - PREMIER LEAGUE,Ararat Yerevan,BKMA,ROUND 5,1.78,3.5,3.8,1.34,2.99,1.01,10.0,1.22,3.65,1.75,1.9,1.69,2.11,1.72,1.88,,,11.25,10.5,18.0,45.0,6.6,6.1,10.75,26.0,7.5,7.0,11.5,28.0,12.0,11.5,19.0,45.0,250.0
3,vugWMzSk,30/08/2024,11:00,BULGARIA - PARVA LIGA,Slavia Sofia,Arda,ROUND 7,1.9,3.2,4.5,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67,1.9,1.95,1.21,4.25,7.0,10.0,21.0,51.0,5.5,6.5,15.0,41.0,8.0,9.0,19.0,51.0,15.0,19.0,34.0,67.0,1250.0
4,0vqaJi9M,30/08/2024,12:00,UKRAINE - PREMIER LEAGUE,Rukh Lviv,Inhulets,ROUND 5,1.65,3.5,5.1,1.4,2.5,1.03,10.0,1.32,2.85,1.93,1.7,1.91,1.7,,,,,9.0,12.5,29.0,100.0,6.0,6.9,16.5,55.0,7.1,8.25,17.5,60.0,12.0,14.0,30.0,90.0,800.0
5,QucE36q4,30/08/2024,12:00,ROMANIA - LIGA 2,FC Bihor,CSM Resita,ROUND 5,2.37,3.3,2.82,1.5,2.5,1.08,6.5,1.39,2.77,2.15,1.65,1.9,1.8,2.3,1.57,,,6.5,7.9,13.5,32.0,7.0,6.3,10.75,26.0,10.75,9.5,16.0,40.0,23.0,21.0,35.0,90.0,800.0
6,Ak4vQoqp,30/08/2024,12:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,Alashkert,ROUND 5,1.65,3.65,4.3,1.3,3.22,1.01,10.3,1.18,4.05,1.62,2.02,1.7,2.1,,,,,12.0,11.5,21.0,55.0,7.1,6.4,11.75,30.0,7.6,6.9,11.5,30.0,11.5,10.25,17.0,40.0,250.0
7,Oxz6wF0c,30/08/2024,13:00,AUSTRIA - 2. LIGA,Liefering,Sturm Graz (Am),ROUND 5,1.5,4.6,5.1,1.24,3.7,1.02,10.0,1.12,5.3,1.39,2.8,1.5,2.42,,,,,10.0,23.0,37.0,90.0,11.75,10.0,16.5,40.0,10.0,8.5,14.0,35.0,12.5,10.5,17.0,40.0,200.0
8,8UiJFB8j,30/08/2024,13:00,AUSTRIA - 2. LIGA,Admira,SK Rapid (Am),ROUND 5,1.88,3.6,3.75,1.35,2.95,1.04,8.25,1.23,3.8,1.7,2.07,1.6,2.18,1.85,1.9,,,8.25,12.5,22.0,55.0,8.75,7.0,12.5,32.0,10.25,8.25,13.0,32.0,17.0,13.5,21.0,50.0,300.0
9,G0EHUVF6,30/08/2024,13:00,POLAND - EKSTRAKLASA,Rakow,Piast Gliwice,ROUND 7,1.9,3.3,4.2,1.5,2.5,1.08,7.5,1.44,2.63,2.35,1.57,2.1,1.67,1.93,1.93,1.23,4.0,7.5,9.5,21.0,51.0,6.0,6.5,15.0,41.0,8.0,9.0,19.0,51.0,15.0,19.0,34.0,67.0,501.0
10,8lOVy2Ph,30/08/2024,13:00,AUSTRIA - 2. LIGA,Amstetten,Bregenz,ROUND 5,2.05,3.65,3.15,1.33,3.05,1.04,8.5,1.21,3.9,1.65,2.15,1.57,2.25,2.0,1.75,,,8.5,12.0,18.5,40.0,9.5,7.2,11.0,24.0,11.25,8.75,12.5,28.0,19.0,15.0,22.0,45.0,300.0
