Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,xpWp1ROi,08/11/2024,05:35,AUSTRALIA - A-LEAGUE,WS Wanderers,Newcastle Jets,ROUND 4,1.8,4.0,4.1,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.63,1.5,2.5,1.75,2.05,1.25,3.8,19.0,17.0,23.0,41.0,11.0,8.0,13.0,29.0,11.0,8.5,12.0,29.0,15.0,13.0,19.0,34.0,101.0
2,z1aTWoV1,08/11/2024,10:00,BULGARIA - PARVA LIGA,Arda,Botev Vratsa,ROUND 15,1.62,3.6,5.75,1.5,2.5,1.07,9.0,1.36,3.0,2.2,1.65,2.2,1.62,1.63,2.25,1.16,5.25,8.0,12.0,26.0,67.0,5.5,7.0,19.0,51.0,6.5,9.0,21.0,51.0,12.0,15.0,34.0,81.0,1250.0
3,prNuQMTF,08/11/2024,10:00,ISRAEL - LIGAT HA'AL,Hapoel Jerusalem,Maccabi Haifa,ROUND 10,7.0,4.33,1.33,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.8,1.91,7.0,1.1,3.0,1.38,15.0,8.5,7.5,9.5,21.0,9.0,8.5,11.0,41.0,23.0,17.0,23.0,81.0,51.0,51.0,51.0,201.0
4,0W00ChFL,08/11/2024,10:30,UKRAINE - PREMIER LEAGUE,Ch. Odesa,Vorskla Poltava,ROUND 13,2.92,2.92,2.47,1.5,2.27,1.09,7.45,1.44,2.4,2.27,1.5,1.93,1.7,,,,,6.8,6.6,11.25,27.0,7.1,5.8,9.75,23.0,13.5,11.0,16.5,40.0,37.0,30.0,45.0,100.0,900.0
5,nuwgfcy3,08/11/2024,11:45,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hilal,Al Ettifaq,ROUND 10,1.17,7.0,12.0,1.22,4.0,21.0,1.03,1.13,5.5,1.4,2.75,2.0,1.73,1.2,4.4,,,21.0,29.0,51.0,126.0,9.0,15.0,29.0,67.0,7.0,9.5,26.0,51.0,7.5,11.0,26.0,67.0,800.0
6,jqzq6gq1,08/11/2024,12:00,EGYPT - PREMIER LEAGUE,Petrojet,Modern Sport,ROUND 2,4.8,3.2,1.8,1.47,2.52,1.09,6.1,1.4,2.7,2.22,1.62,2.0,1.72,,,1.98,1.78,6.1,5.7,7.6,14.5,10.75,6.2,8.25,16.0,26.0,15.5,17.0,32.0,90.0,55.0,60.0,100.0,900.0
7,dd5q4XDD,08/11/2024,12:00,EGYPT - PREMIER LEAGUE,Smouha,Zamalek,ROUND 2,3.05,2.95,2.42,1.42,2.65,1.08,6.4,1.36,2.87,2.07,1.7,1.78,1.93,2.2,1.62,1.55,2.35,6.4,7.5,11.75,26.0,8.5,5.7,9.0,20.0,15.5,10.5,13.5,30.0,40.0,28.0,35.0,65.0,500.0
8,hplZZSkl,08/11/2024,12:20,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Al Raed,ROUND 10,1.3,5.75,7.0,1.29,3.5,1.02,11.0,1.17,4.5,1.53,2.38,1.91,1.8,1.3,3.45,1.11,6.8,17.0,21.0,41.0,81.0,8.0,12.0,21.0,51.0,7.0,9.0,23.0,41.0,8.5,11.0,26.0,67.0,800.0
9,GdxGfkN8,08/11/2024,12:30,BULGARIA - PARVA LIGA,Botev Plovdiv,Lok. Sofia,ROUND 15,1.38,4.5,8.5,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,2.5,1.5,1.4,2.85,1.13,6.0,8.5,15.0,41.0,101.0,5.5,9.0,26.0,67.0,5.5,9.5,29.0,81.0,8.0,15.0,41.0,101.0,201.0
10,hbD3rX4j,08/11/2024,13:00,UKRAINE - PREMIER LEAGUE,Livyi Bereg,Inhulets,ROUND 13,2.5,2.8,3.05,1.52,2.2,1.1,7.0,1.47,2.32,2.37,1.45,1.93,1.7,,,,,6.3,6.9,14.0,40.0,6.5,5.5,11.5,35.0,11.25,9.75,16.5,50.0,28.0,24.0,40.0,100.0,900.0
