Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,638sU2hD,16/08/2024,07:30,SOUTH KOREA - K LEAGUE 1,Daegu,Gimcheon Sangmu,ROUND 27,2.8,3.1,2.4,1.4,2.75,1.06,10.0,1.3,3.4,2.05,1.8,1.73,2.0,2.75,1.43,1.55,2.38,9.5,8.5,12.0,23.0,9.5,6.0,10.0,21.0,15.0,11.0,13.0,29.0,29.0,23.0,34.0,41.0,201.0
2,h4I1GGNQ,16/08/2024,07:30,JAPAN - J1 LEAGUE,Hokkaido Consadole Sapporo,Sagan Tosu,ROUND 27,2.15,3.75,3.0,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.57,2.25,2.15,1.68,1.4,2.85,15.0,13.0,17.0,34.0,10.0,7.5,11.0,21.0,12.0,9.0,12.0,26.0,21.0,15.0,21.0,41.0,126.0
3,88nQhnVD,16/08/2024,07:30,SOUTH KOREA - K LEAGUE 1,Seoul,Jeju Utd,ROUND 27,1.9,3.4,3.6,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,1.73,2.0,1.95,1.9,1.26,3.7,11.0,12.0,19.0,41.0,8.0,6.5,13.0,29.0,9.5,8.5,15.0,34.0,17.0,15.0,26.0,41.0,201.0
4,d0RLdBXH,16/08/2024,08:00,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Cangzhou,ROUND 23,2.0,3.9,3.4,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.67,2.1,2.0,1.85,1.3,3.45,15.0,12.0,19.0,41.0,9.0,7.5,12.0,26.0,10.0,8.5,13.0,29.0,17.0,15.0,23.0,41.0,151.0
5,EyMQeVnO,16/08/2024,08:35,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Wuhan Three Towns,ROUND 23,1.91,3.8,3.5,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2,1.95,1.9,1.3,3.45,15.0,13.0,21.0,41.0,9.0,7.5,12.0,26.0,10.0,8.5,13.0,29.0,17.0,15.0,21.0,41.0,151.0
6,UmdzGYXu,16/08/2024,09:00,CHINA - SUPER LEAGUE,Beijing Guoan,Zhejiang Professional,ROUND 23,1.7,4.33,4.2,1.18,4.5,1.01,29.0,1.08,8.0,1.33,3.4,1.36,3.0,1.68,2.15,1.23,4.0,29.0,23.0,29.0,51.0,15.0,9.5,15.0,29.0,13.0,9.5,11.0,23.0,17.0,12.0,15.0,26.0,67.0
7,hSKUfk2U,16/08/2024,09:00,CHINA - SUPER LEAGUE,Nantong Zhiyun,Qingdao West Coast,ROUND 23,2.7,3.5,2.4,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2,2.68,1.45,1.58,2.35,13.0,10.0,13.0,23.0,11.0,7.0,9.5,19.0,15.0,10.0,12.0,23.0,29.0,21.0,26.0,41.0,151.0
8,pAkY8qkm,16/08/2024,09:30,UKRAINE - PREMIER LEAGUE,Ch. Odesa,Kolos Kovalivka,ROUND 3,3.65,3.0,2.07,1.44,2.4,1.08,8.0,1.4,2.52,2.15,1.55,1.88,1.72,,,1.75,1.98,7.2,6.1,9.0,19.5,9.0,5.9,8.75,19.0,19.0,12.5,16.0,35.0,55.0,37.0,50.0,90.0,900.0
9,dpZtLa1m,16/08/2024,10:00,ARMENIA - PREMIER LEAGUE,Van,FC Gandzasar,ROUND 3,2.42,3.2,2.6,1.37,2.85,1.02,9.2,1.26,3.34,1.78,1.85,1.67,2.15,,,,,10.25,8.0,11.75,24.0,7.4,5.6,8.25,16.5,10.5,7.9,10.5,21.0,21.0,16.0,21.0,40.0,250.0
10,bkkK1SsK,16/08/2024,12:00,UKRAINE - PREMIER LEAGUE,Vorskla Poltava,Obolon,ROUND 3,2.1,3.05,3.55,1.47,2.35,1.08,7.8,1.42,2.45,2.22,1.52,1.93,1.7,1.93,1.78,,,7.1,8.25,17.5,55.0,6.0,6.0,12.5,40.0,9.0,9.0,17.0,50.0,19.5,19.5,37.0,100.0,67.0
