Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,OKCMYQwr,09/08/2024,07:30,SOUTH KOREA - K LEAGUE 1,Gimcheon Sangmu,Gangwon,ROUND 26,2.05,3.4,3.3,1.4,2.75,1.05,11.0,1.25,3.75,1.9,1.95,1.73,2.0,2.08,1.73,1.33,3.3,11.0,11.0,17.0,41.0,8.0,6.5,12.0,26.0,10.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
2,6uQfw7VQ,09/08/2024,07:30,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Gwangju FC,ROUND 26,2.7,3.4,2.4,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.62,2.2,2.68,1.45,1.55,2.38,12.0,9.5,13.0,23.0,10.0,6.5,9.5,19.0,15.0,10.0,13.0,26.0,29.0,21.0,26.0,41.0,151.0
3,xjBnrCIO,09/08/2024,08:35,CHINA - SUPER LEAGUE,Cangzhou,Shandong Taishan,ROUND 22,4.33,4.0,1.73,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,1.62,2.2,4.15,1.22,2.1,1.7,15.0,9.5,9.5,15.0,15.0,8.0,8.5,13.0,23.0,15.0,13.0,21.0,41.0,29.0,34.0,41.0,151.0
4,vekV6eeP,09/08/2024,08:35,CHINA - SUPER LEAGUE,Shenzhen Xinpengcheng,Chengdu Rongcheng,ROUND 22,7.0,4.1,1.45,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.91,1.91,6.8,1.11,2.6,1.48,12.0,7.0,7.0,10.0,19.0,8.0,8.5,12.0,41.0,21.0,17.0,23.0,81.0,51.0,51.0,51.0,251.0
5,AqP9aDma,09/08/2024,08:35,CHINA - SUPER LEAGUE,Shanghai Port,Meizhou Hakka,ROUND 22,1.03,17.0,41.0,1.11,6.5,1.01,34.0,1.04,13.0,1.17,5.0,2.75,1.4,,,,,34.0,81.0,251.0,501.0,17.0,34.0,81.0,401.0,9.0,21.0,51.0,201.0,6.5,15.0,51.0,201.0,800.0
6,8UiAvUnI,09/08/2024,09:30,UKRAINE - PREMIER LEAGUE,Livyi Bereg,Vorskla Poltava,ROUND 2,2.8,2.9,2.57,1.42,2.45,1.05,8.6,1.38,2.62,2.1,1.57,1.78,1.83,,,,,7.5,7.2,12.0,30.0,8.0,5.7,9.75,24.0,14.0,10.0,14.0,35.0,35.0,25.0,35.0,70.0,600.0
7,jqUSDrfK,09/08/2024,10:00,ARMENIA - PREMIER LEAGUE,Alashkert,Van,ROUND 2,1.7,3.8,3.85,1.3,3.22,1.01,10.4,1.18,4.05,1.62,2.05,1.61,2.25,,,,,13.0,11.5,19.0,45.0,7.3,6.7,11.0,26.0,7.7,7.1,11.75,28.0,11.5,10.5,17.5,40.0,250.0
8,2q1qy5nn,09/08/2024,12:00,ROMANIA - LIGA 2,FC Voluntari,Concordia,ROUND 2,1.95,3.3,3.75,1.47,2.55,1.07,6.7,1.35,2.92,2.05,1.72,1.87,1.85,1.91,1.82,,,6.7,9.75,19.0,55.0,6.7,6.4,13.0,37.0,9.0,8.5,15.5,45.0,17.0,16.0,30.0,80.0,700.0
9,vozsEntt,09/08/2024,12:00,FINLAND - VEIKKAUSLIIGA,Lahti,Ekenas,-,1.8,3.6,3.9,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2,1.85,2.0,1.26,3.7,15.0,15.0,23.0,41.0,9.5,7.5,13.0,29.0,10.0,8.5,13.0,29.0,17.0,13.0,21.0,41.0,151.0
10,v92G4vH6,09/08/2024,12:00,ARMENIA - PREMIER LEAGUE,West Armenia,BKMA,ROUND 2,2.07,3.65,2.85,1.28,3.34,1.02,14.0,1.16,4.33,1.6,2.07,1.53,2.43,1.87,1.75,,,13.5,10.0,14.0,27.0,8.25,6.4,9.0,17.5,9.75,7.6,10.5,21.0,16.0,12.5,17.5,35.0,200.0
11,jDDkT7ye,09/08/2024,12:00,UKRAINE - PREMIER LEAGUE,Veres-Rivne,Dyn. Kyiv,ROUND 2,7.5,4.3,1.38,1.34,3.1,10.2,1.01,1.23,3.35,1.7,1.91,1.98,1.65,,,,,11.25,6.5,6.2,8.75,19.0,8.5,8.25,11.75,50.0,23.0,20.0,29.0,200.0,90.0,80.0,100.0,900.0
12,pjeh59XG,09/08/2024,13:00,AUSTRIA - 2. LIGA,Lafnitz,Liefering,ROUND 2,3.1,3.85,2.0,1.28,3.35,1.03,9.5,1.16,4.65,1.5,2.42,1.47,2.52,,,1.78,1.98,9.5,11.5,12.5,19.5,15.0,8.0,8.75,14.0,21.0,11.25,11.5,18.5,40.0,23.0,23.0,35.0,175.0
13,AXvXcRPj,09/08/2024,13:00,AUSTRIA - 2. LIGA,Ried,Horn,ROUND 2,1.23,5.7,10.75,1.23,3.7,1.03,9.75,1.14,5.0,1.42,2.65,1.87,1.83,,,,,9.75,32.0,90.0,350.0,9.25,11.75,32.0,120.0,7.2,9.0,23.0,90.0,7.9,10.0,24.0,90.0,600.0
14,4hma10Wr,09/08/2024,13:00,AUSTRIA - 2. LIGA,Amstetten,Stripfing,ROUND 2,2.22,3.6,2.82,1.3,3.2,1.03,9.0,1.19,4.2,1.57,2.25,1.5,2.42,2.15,1.65,,,9.0,12.5,17.5,35.0,11.0,7.4,10.25,21.0,13.5,9.0,11.5,23.0,23.0,16.0,20.0,37.0,200.0
15,0Ai4kwOL,09/08/2024,13:00,FINLAND - YKKONEN,Vaajakoski,VIFK,-,2.1,3.9,2.63,1.25,3.75,1.02,21.0,1.13,6.0,1.44,2.7,1.44,2.63,2.1,1.7,1.45,2.68,21.0,15.0,19.0,29.0,13.0,8.5,11.0,19.0,15.0,9.5,12.0,21.0,21.0,15.0,19.0,34.0,81.0
16,xYcY71cf,09/08/2024,13:00,SERBIA - SUPER LIGA,OFK Beograd,Cukaricki,ROUND 4,3.1,3.25,2.22,1.47,2.55,1.08,6.7,1.36,2.9,2.07,1.7,1.83,1.87,,,1.65,2.15,6.7,7.1,10.25,21.0,8.75,6.2,9.0,19.0,15.5,11.0,15.0,32.0,40.0,28.0,40.0,75.0,700.0
17,QuJ8PZne,09/08/2024,13:00,BULGARIA - PARVA LIGA,Slavia Sofia,Spartak Varna,ROUND 4,2.05,3.25,3.6,1.5,2.5,1.08,7.5,1.4,2.75,2.25,1.62,2.0,1.73,2.05,1.75,1.3,3.45,7.5,9.0,17.0,41.0,6.5,6.0,13.0,34.0,9.0,9.5,17.0,41.0,19.0,19.0,34.0,51.0,1000.0
18,nPCCkCjt,09/08/2024,13:00,POLAND - EKSTRAKLASA,Radomiak Radom,Gornik Zabrze,ROUND 4,2.1,3.5,3.25,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,1.7,2.05,2.1,1.7,1.35,3.1,11.0,11.0,17.0,34.0,8.5,6.5,12.0,26.0,11.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
19,hGb03m2T,09/08/2024,13:00,AUSTRIA - 2. LIGA,Kapfenberg,Floridsdorfer AC,ROUND 2,3.5,3.55,1.95,1.39,2.8,1.05,7.7,1.27,3.4,1.82,1.93,1.72,2.02,,,1.83,1.91,7.7,7.8,9.5,17.0,11.25,6.8,8.5,15.0,19.5,12.0,14.0,25.0,50.0,30.0,35.0,60.0,450.0
20,l2KPKagC,09/08/2024,13:00,POLAND - DIVISION 1,Chrobry Glogow,Tychy,ROUND 4,2.75,3.25,2.3,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.85,1.8,1.91,2.75,1.43,1.58,2.35,10.0,8.0,11.0,23.0,9.0,6.5,9.5,19.0,15.0,11.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0
21,lWVKcA6c,09/08/2024,13:30,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Kuressaare,ROUND 23,2.15,3.35,2.87,1.32,3.2,1.01,10.9,1.19,3.95,1.65,1.98,1.58,2.31,,,,,12.0,9.75,14.0,28.0,7.8,6.0,8.75,18.0,9.75,7.5,10.0,21.0,17.5,13.5,18.5,35.0,200.0
