Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,ChPCQjKt,06/11/2024,00:05,MEXICO - LIGA MX,U.N.A.M.- Pumas,Queretaro,APERTURA ,1.4,4.5,8.5,1.33,3.25,1.04,13.0,1.22,4.0,1.8,2.0,2.0,1.75,1.4,2.85,1.11,6.8,11.0,19.0,41.0,81.0,6.5,8.5,23.0,51.0,6.5,8.5,21.0,51.0,9.0,12.0,29.0,67.0,401.0
2,WGKq0CLE,06/11/2024,09:00,ROMANIA - LIGA 2,Corvinul,Afumati,ROUND 3,1.75,3.3,4.75,1.5,2.5,1.08,6.5,1.37,2.85,2.07,1.7,1.95,1.75,1.75,2.02,,,6.5,11.25,26.0,90.0,5.9,6.4,15.5,50.0,7.6,8.25,16.5,55.0,14.0,15.0,30.0,90.0,900.0
3,CWBehpoQ,06/11/2024,10:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,West Armenia,ROUND 15,1.14,6.2,14.5,1.21,3.94,1.01,12.8,1.08,5.3,1.38,2.54,2.32,1.58,,,,,15.5,32.0,110.0,500.0,7.0,12.0,40.0,200.0,5.2,9.0,28.0,120.0,5.4,9.25,28.0,120.0,201.0
4,rF2RnO8m,06/11/2024,12:00,ARMENIA - PREMIER LEAGUE,Urartu,BKMA,ROUND 15,1.47,4.05,5.5,1.31,3.15,1.01,10.5,1.17,3.82,1.65,2.0,1.8,1.96,,,,,12.5,13.5,27.0,80.0,6.3,7.1,14.5,40.0,6.2,7.0,14.0,40.0,8.5,9.75,19.5,55.0,350.0
5,zZSXPKLN,06/11/2024,12:30,EUROPE - EUROPA LEAGUE,Besiktas,Malmo FF,LEAGUE PHASE ,1.65,4.2,4.75,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.38,1.62,2.2,1.63,2.25,1.2,4.4,17.0,17.0,29.0,51.0,9.5,8.5,15.0,34.0,9.5,8.5,13.0,34.0,13.0,12.0,21.0,41.0,151.0
6,fqX1v9N5,06/11/2024,14:00,SPAIN - PRIMERA RFEF,Barcelona B,R. Sociedad B,GROUP 1 ,1.91,3.1,3.8,1.44,2.63,1.06,8.0,1.36,3.0,2.2,1.65,2.0,1.73,1.98,1.83,1.25,3.8,8.0,10.0,19.0,41.0,6.5,6.5,15.0,34.0,8.5,9.5,17.0,41.0,17.0,17.0,34.0,51.0,900.0
7,4zGifDT1,06/11/2024,14:45,EUROPE - CHAMPIONS LEAGUE,Club Brugge KV,Aston Villa,LEAGUE PHASE ,3.25,3.5,2.15,1.33,3.0,1.05,11.0,1.25,4.0,1.8,2.0,1.67,2.1,3.1,1.35,1.68,2.15,12.0,9.0,11.0,21.0,11.0,6.5,9.0,17.0,17.0,11.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
8,29dGtl0e,06/11/2024,14:45,EUROPE - CHAMPIONS LEAGUE,Shakhtar Donetsk,Young Boys,LEAGUE PHASE ,2.0,3.5,3.7,1.3,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2,2.05,1.85,1.3,3.45,13.0,13.0,21.0,41.0,9.0,7.0,13.0,26.0,11.0,8.5,12.0,29.0,19.0,15.0,21.0,41.0,151.0
9,CvGRMovR,06/11/2024,16:30,COLOMBIA - PRIMERA A,Chico,Bucaramanga,CLAUSURA ,3.5,3.1,2.2,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.2,1.62,3.3,1.33,1.65,2.2,6.5,6.0,9.5,21.0,8.0,6.0,10.0,21.0,15.0,13.0,19.0,41.0,41.0,34.0,41.0,81.0,201.0
10,693SK49D,06/11/2024,16:45,ENGLAND - CHAMPIONSHIP,Millwall,Leeds,ROUND 14,4.1,3.4,1.9,1.5,2.5,1.08,8.0,1.4,3.0,2.2,1.67,2.0,1.73,3.9,1.24,1.95,1.95,8.0,6.0,8.0,15.0,9.5,6.5,9.0,17.0,19.0,15.0,19.0,34.0,41.0,41.0,41.0,67.0,451.0
