NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,CpXndsV7,11/09/2024,18:30,PARAGUAY - PRIMERA DIVISION,Sol de America,Libertad Asuncion,CLAUSURA ,5.0,3.8,1.57,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.8,2.0,1.73,5.0,1.17,2.35,1.58,10.0,6.5,7.0,11.0,13.0,7.5,8.5,13.0,26.0,17.0,19.0,29.0,51.0,41.0,41.0,67.0,1000.0
2,6Hidn9IU,11/09/2024,19:30,BRAZIL - SERIE A,Internacional,Fortaleza,ROUND 19,2.15,3.25,3.6,1.53,2.38,1.1,7.0,1.44,2.75,2.4,1.53,2.05,1.7,2.1,1.7,1.3,3.45,7.5,8.5,17.0,41.0,6.0,6.0,13.0,34.0,9.0,9.5,19.0,41.0,19.0,21.0,34.0,67.0,501.0
3,4n6GYyuo,11/09/2024,20:00,COLOMBIA - PRIMERA A,America De Cali,Deportes Tolima,CLAUSURA ,2.3,3.2,3.2,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.73,2.25,1.63,1.35,3.1,7.5,8.0,15.0,34.0,6.5,6.0,12.0,29.0,10.0,10.0,17.0,41.0,21.0,21.0,34.0,51.0,351.0
4,QPEZJpNE,11/09/2024,21:00,PARAGUAY - PRIMERA DIVISION,Cerro Porteno,Sportivo Trinidense,CLAUSURA ,1.45,3.9,6.5,1.4,2.75,1.06,10.0,1.33,3.25,2.05,1.75,2.2,1.62,1.48,2.6,1.12,6.25,9.0,15.0,34.0,81.0,6.0,8.0,21.0,51.0,6.5,9.0,21.0,51.0,10.0,13.0,34.0,81.0,1000.0
5,Yquce7qP,11/09/2024,21:30,BRAZIL - SERIE B,CRB,Sport Recife,ROUND 7,2.8,3.0,2.55,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.1,1.67,2.75,1.43,1.5,2.5,6.5,6.5,11.0,26.0,7.0,6.0,11.0,26.0,12.0,12.0,19.0,41.0,29.0,29.0,41.0,67.0,1250.0
