Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,bJ4IhWmB,04/08/2024,05:30,AUSTRIA - 2. LIGA,Floridsdorfer AC,St. Polten,ROUND 1,2.55,3.35,2.57,1.42,2.67,1.06,7.4,1.29,3.25,1.88,1.85,1.7,2.05,2.15,1.65,,,7.4,9.0,13.5,28.0,8.75,6.4,9.5,21.0,13.0,9.5,13.0,28.0,28.0,21.0,29.0,55.0,400.0
2,YiHPVur4,04/08/2024,06:00,JAPAN - J2 LEAGUE,Iwaki,Blaublitz,ROUND 25,2.5,3.0,3.0,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8,2.43,1.53,1.4,2.85,7.5,8.0,13.0,29.0,7.5,6.0,12.0,26.0,11.0,10.0,15.0,41.0,23.0,23.0,34.0,51.0,351.0
3,6oP68V3k,04/08/2024,07:00,POLAND - DIVISION 1,S. Rzeszow,Legnica,ROUND 3,3.1,3.7,2.1,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,3.0,1.38,1.7,2.1,17.0,12.0,13.0,21.0,15.0,7.5,9.5,15.0,19.0,12.0,11.0,21.0,34.0,21.0,23.0,34.0,101.0
4,UwXzQUXO,04/08/2024,07:00,UKRAINE - PREMIER LEAGUE,LNZ Cherkasy,Livyi Bereg,ROUND 1,1.7,3.5,4.7,1.39,2.57,1.03,10.5,1.31,2.87,1.91,1.7,1.88,1.72,,,,,9.25,12.0,27.0,90.0,6.1,6.9,15.5,50.0,7.3,8.25,17.0,55.0,12.5,14.5,30.0,90.0,800.0
5,bedu1ZsD,04/08/2024,08:00,SWEDEN - SUPERETTAN,Skovde AIK,Orgryte,ROUND 17,3.0,3.1,2.25,1.36,3.0,1.03,11.0,1.22,3.75,1.88,1.98,1.67,2.1,3.0,1.38,1.6,2.3,11.0,9.0,12.0,23.0,11.0,6.0,9.5,17.0,17.0,11.0,12.0,26.0,34.0,23.0,29.0,41.0,151.0
6,SIOxI915,04/08/2024,08:30,GERMANY - 2. BUNDESLIGA,Ulm,Kaiserslautern,ROUND 1,2.9,3.4,2.35,1.36,3.0,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.75,1.43,1.6,2.3,12.0,9.5,12.0,23.0,11.0,6.5,9.5,17.0,15.0,11.0,12.0,23.0,29.0,21.0,29.0,41.0,151.0
7,8v9L3pjD,04/08/2024,08:30,GERMANY - 3. LIGA,Viktoria Koln,SG Dynamo Dresden,ROUND 1,5.0,4.0,1.6,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.73,2.0,4.65,1.18,2.3,1.6,13.0,8.0,8.0,12.0,15.0,8.0,8.5,13.0,29.0,17.0,15.0,23.0,51.0,41.0,41.0,51.0,201.0
8,2Hl43AnC,04/08/2024,08:30,GERMANY - 2. BUNDESLIGA,Greuther Furth,Preussen Munster,ROUND 1,1.8,3.6,4.5,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.67,2.1,1.83,2.03,1.23,4.1,13.0,15.0,23.0,41.0,8.5,7.0,15.0,34.0,9.5,8.5,13.0,34.0,15.0,13.0,23.0,41.0,151.0
9,vJqPCEPP,04/08/2024,08:30,GERMANY - 2. BUNDESLIGA,Darmstadt,Dusseldorf,ROUND 1,2.9,3.4,2.35,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25,2.85,1.4,1.6,2.3,13.0,10.0,13.0,23.0,12.0,6.5,9.5,17.0,17.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,126.0
10,fZkl75Ij,04/08/2024,08:30,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Anderlecht,ROUND 2,2.63,3.25,2.5,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.62,2.2,2.6,1.48,1.5,2.5,12.0,10.0,13.0,26.0,10.0,6.5,10.0,19.0,15.0,10.0,12.0,26.0,29.0,21.0,26.0,41.0,151.0
11,UP7vpYmC,04/08/2024,08:35,CHINA - SUPER LEAGUE,Beijing Guoan,Shanghai Shenhua,ROUND 21,3.8,3.6,1.8,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.67,2.1,3.8,1.25,2.0,1.85,13.0,8.5,9.5,15.0,13.0,7.0,8.5,15.0,21.0,13.0,13.0,23.0,41.0,29.0,34.0,41.0,151.0
12,CxyC4KcC,04/08/2024,09:00,DENMARK - 1ST DIVISION,Esbjerg,Horsens,ROUND 3,2.3,3.6,2.75,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38,2.3,1.6,1.45,2.68,15.0,12.0,17.0,29.0,11.0,7.5,11.0,21.0,13.0,9.5,12.0,23.0,23.0,17.0,21.0,34.0,126.0
13,On7rqh3I,04/08/2024,09:00,CHINA - SUPER LEAGUE,Nantong Zhiyun,Henan Songshan Longmen,ROUND 21,4.1,3.9,1.8,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,1.8,1.95,3.9,1.24,2.03,1.78,11.0,7.0,8.5,15.0,11.0,7.5,8.5,15.0,21.0,13.0,17.0,26.0,41.0,34.0,41.0,51.0,251.0
14,6g1irQQ7,04/08/2024,09:00,SWEDEN - ALLSVENSKAN,Djurgarden,Goteborg,ROUND 17,1.62,4.0,5.0,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.75,2.0,1.63,2.25,1.18,4.65,13.0,15.0,26.0,51.0,8.0,7.5,15.0,41.0,8.0,8.5,15.0,41.0,13.0,13.0,23.0,51.0,201.0
15,KfAFnuIg,04/08/2024,09:00,SWEDEN - ALLSVENSKAN,Varnamo,Sirius,ROUND 17,2.5,3.5,2.7,1.33,3.25,1.03,13.0,1.19,4.0,1.73,2.08,1.62,2.2,2.43,1.53,1.48,2.6,13.0,11.0,15.0,26.0,10.0,7.0,10.0,21.0,13.0,9.5,12.0,26.0,23.0,19.0,23.0,41.0,151.0
16,vgpviM4s,04/08/2024,09:00,DENMARK - SUPERLIGA,Silkeborg,Viborg,ROUND 3,2.5,3.4,2.63,1.36,3.0,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.43,1.53,1.48,2.6,12.0,10.0,15.0,26.0,10.0,6.5,10.0,21.0,13.0,10.0,13.0,26.0,23.0,19.0,26.0,41.0,151.0
