Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,4h1djh7c,09/06/2024,02:00,JAPAN - J2 LEAGUE,Montedio Yamagata,Oita Trinita,ROUND 19,2.25,3.2,3.2,1.4,2.75,1.06,9.5,1.3,3.4,2.03,1.83,1.73,2.0,2.25,1.63,1.35,3.1,9.5,10.0,15.0,34.0,8.0,6.0,12.0,26.0,11.0,9.5,13.0,34.0,21.0,19.0,29.0,51.0,201.0
2,x6a4lWyA,09/06/2024,07:00,JAPAN - J2 LEAGUE,Okayama,Kagoshima Utd,ROUND 19,1.8,3.5,4.5,1.4,2.75,1.05,11.0,1.29,3.5,2.0,1.85,1.83,1.83,1.8,2.05,1.22,4.15,10.0,12.0,23.0,51.0,7.0,7.0,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0
3,4CR3MGB5,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Mjondalen,Ranheim,ROUND 12,2.45,3.4,2.45,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.44,2.63,2.5,1.5,1.5,2.5,17.0,13.0,15.0,26.0,13.0,7.5,10.0,19.0,15.0,10.0,11.0,21.0,26.0,19.0,21.0,34.0,101.0
4,MmbUxxdn,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Aalesund,Kongsvinger,ROUND 12,3.8,3.9,1.67,1.22,4.0,1.02,21.0,1.11,6.5,1.4,2.88,1.44,2.63,3.9,1.24,2.1,1.7,21.0,12.0,12.0,15.0,19.0,9.0,9.0,12.0,26.0,15.0,12.0,17.0,41.0,29.0,26.0,29.0,81.0
5,QLSaNdda,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Bryne,Asane,ROUND 12,1.5,4.0,5.0,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,1.57,2.25,1.53,2.43,1.15,5.5,17.0,21.0,34.0,51.0,10.0,8.5,17.0,41.0,9.0,8.5,13.0,34.0,12.0,11.0,19.0,41.0,126.0
6,A9UBKftI,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Sogndal,Egersund,ROUND 12,1.95,3.6,3.1,1.25,3.75,1.02,21.0,1.11,6.5,1.4,2.88,1.4,2.75,2.03,1.83,1.33,3.3,21.0,17.0,21.0,41.0,13.0,8.0,12.0,23.0,13.0,9.0,11.0,23.0,21.0,13.0,19.0,29.0,81.0
7,WOIKIYAU,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Start,Lyn,ROUND 12,2.15,3.5,2.75,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38,2.25,1.63,1.43,2.75,15.0,12.0,17.0,29.0,11.0,7.5,11.0,21.0,13.0,9.5,12.0,23.0,21.0,17.0,21.0,41.0,126.0
8,zejZ3Xr4,09/06/2024,12:30,URUGUAY - PRIMERA DIVISION,Cerro Largo,Danubio,TORNEO INTERMEDIO ,2.15,3.0,3.3,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67,2.2,1.65,1.33,3.3,7.0,8.0,15.0,41.0,6.0,6.0,13.0,34.0,9.5,10.0,19.0,41.0,21.0,21.0,41.0,67.0,1250.0
9,Eu8dAXYq,09/06/2024,12:30,ITALY - SERIE C,Carrarese,L.R. Vicenza,PROMOTION ,2.15,3.0,3.55,1.6,2.25,1.12,5.4,1.53,2.35,2.52,1.47,2.15,1.62,2.07,1.7,,,5.4,7.8,17.0,50.0,5.5,6.0,13.0,40.0,8.75,9.5,19.5,60.0,20.0,22.0,45.0,120.0,201.0
10,vw2oGQ9l,09/06/2024,13:30,FINLAND - YKKONEN,KuPS Akatemia,JJK Jyvaskyla,-,3.2,4.33,1.75,1.25,3.75,1.02,21.0,1.14,5.5,1.48,2.6,1.5,2.5,3.3,1.33,2.0,1.85,21.0,11.0,12.0,17.0,15.0,9.5,9.0,13.0,21.0,12.0,13.0,19.0,41.0,23.0,23.0,34.0,101.0
