NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,p6FHESkF,23/06/2024,02:00,JAPAN - J2 LEAGUE,Blaublitz,Shimizu S-Pulse,ROUND 21,3.7,3.3,2.0,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,1.91,1.8,3.55,1.28,1.83,2.03,8.5,6.5,9.0,17.0,9.5,6.5,9.0,17.0,19.0,13.0,17.0,29.0,41.0,34.0,41.0,51.0,351.0
2,8vqiK4N8,23/06/2024,02:00,JAPAN - J1 LEAGUE,Hokkaido Consadole Sapporo,Yokohama F. Marinos,ROUND 19,3.0,4.33,2.05,1.25,3.75,1.02,21.0,1.13,6.0,1.44,2.7,1.44,2.63,3.0,1.38,1.83,2.03,21.0,13.0,13.0,21.0,15.0,9.0,9.0,15.0,21.0,11.0,12.0,19.0,34.0,21.0,21.0,34.0,81.0
3,lUMdaWVO,23/06/2024,06:00,SOUTH KOREA - K LEAGUE 1,Incheon,Pohang,ROUND 18,2.45,3.1,2.6,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83,2.5,1.5,1.48,2.6,9.0,8.0,13.0,29.0,8.0,6.0,11.0,23.0,12.0,10.0,15.0,34.0,26.0,21.0,34.0,51.0,301.0
4,2XAvOF8P,23/06/2024,06:00,SOUTH KOREA - K LEAGUE 1,Jeju Utd,Ulsan HD,ROUND 18,3.4,3.6,1.85,1.33,3.25,1.04,13.0,1.25,3.75,1.75,2.05,1.67,2.1,3.45,1.3,1.93,1.93,13.0,8.5,10.0,17.0,12.0,7.5,8.5,15.0,19.0,12.0,15.0,23.0,41.0,29.0,34.0,41.0,201.0
5,Yovsx83t,23/06/2024,07:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Busan,ROUND 18,4.0,3.2,1.91,1.44,2.63,1.07,9.0,1.4,2.75,2.25,1.62,1.91,1.8,3.9,1.24,1.85,1.95,8.0,6.5,8.5,17.0,10.0,6.5,9.0,17.0,21.0,15.0,17.0,34.0,41.0,34.0,41.0,51.0,1250.0
6,OdELDn5L,23/06/2024,07:00,JAPAN - J2 LEAGUE,Tokushima,Mito,ROUND 21,2.35,3.1,3.1,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,1.91,1.8,2.3,1.6,1.38,3.0,7.5,8.0,15.0,34.0,7.0,6.0,12.0,29.0,11.0,10.0,17.0,41.0,23.0,21.0,34.0,51.0,351.0
7,S8woySIn,23/06/2024,07:00,SOUTH KOREA - K LEAGUE 2,Bucheon FC 1995,Cheongju,ROUND 18,2.25,3.0,3.3,1.57,2.25,1.1,7.0,1.44,2.63,2.5,1.5,2.2,1.62,2.25,1.63,1.33,3.3,6.5,7.5,15.0,41.0,6.0,6.0,13.0,34.0,9.5,10.0,19.0,41.0,21.0,23.0,41.0,67.0,201.0
8,tCskznYh,23/06/2024,07:00,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Cheonan City,ROUND 18,2.6,3.2,2.6,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.8,1.91,2.6,1.48,1.48,2.6,9.0,8.5,13.0,26.0,8.5,6.0,10.0,21.0,13.0,10.0,15.0,34.0,26.0,21.0,34.0,51.0,251.0
9,6inEXPCd,23/06/2024,10:00,URUGUAY - PRIMERA DIVISION,Liverpool M.,Boston River,TORNEO INTERMEDIO ,2.1,3.3,3.3,1.4,2.75,1.06,10.0,1.3,3.4,2.0,1.8,1.8,1.91,2.1,1.7,1.33,3.3,9.5,10.0,17.0,34.0,7.5,6.5,12.0,29.0,10.0,9.0,15.0,34.0,19.0,17.0,29.0,51.0,251.0
10,EF8cJ4mr,23/06/2024,10:00,EGYPT - PREMIER LEAGUE,Future FC,El Ismaily,ROUND 27,2.47,2.6,3.3,1.55,2.15,1.08,5.9,1.52,2.22,2.47,1.42,1.98,1.65,,,,,5.6,7.4,16.5,50.0,6.0,5.2,12.0,37.0,11.0,9.75,16.0,50.0,29.0,26.0,45.0,100.0,900.0
11,K4eNbkGc,23/06/2024,10:00,SWEDEN - SUPERETTAN,Oddevold,Degerfors,ROUND 13,3.1,3.25,2.2,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.75,2.0,3.0,1.38,1.65,2.2,10.0,8.0,11.0,21.0,10.0,6.5,9.0,19.0,15.0,11.0,13.0,29.0,34.0,26.0,34.0,51.0,201.0
12,tEdJaV0i,23/06/2024,10:00,SWEDEN - SUPERETTAN,Ostersund,Utsikten,ROUND 13,2.25,3.1,3.0,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.75,2.0,2.3,1.6,1.38,3.0,10.0,10.0,15.0,34.0,8.0,6.0,12.0,26.0,11.0,9.5,13.0,34.0,21.0,19.0,29.0,41.0,201.0
13,bujDt80T,23/06/2024,10:00,SWEDEN - SUPERETTAN,Brage,Sundsvall,ROUND 13,1.6,3.9,4.5,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.75,2.0,1.6,2.3,1.19,4.5,13.0,15.0,26.0,51.0,8.0,8.0,15.0,41.0,8.5,8.5,15.0,41.0,12.0,13.0,23.0,51.0,201.0
14,AqoLoXvH,23/06/2024,12:00,NORWAY - OBOS-LIGAEN,Valerenga,Sandnes,ROUND 14,1.22,6.25,8.5,1.17,5.0,1.01,29.0,1.07,9.0,1.29,3.6,1.62,2.2,1.25,3.8,1.1,7.0,29.0,34.0,51.0,101.0,13.0,15.0,26.0,51.0,9.5,10.0,19.0,41.0,9.5,10.0,21.0,41.0,151.0
15,CbSHnDPA,23/06/2024,12:00,NORWAY - OBOS-LIGAEN,Stabaek,Levanger,ROUND 14,1.91,3.75,3.4,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.44,2.63,1.98,1.88,1.33,3.3,19.0,17.0,21.0,41.0,12.0,8.0,13.0,23.0,12.0,9.0,11.0,23.0,19.0,13.0,19.0,29.0,81.0
16,jqv9lZfb,23/06/2024,12:00,NORWAY - OBOS-LIGAEN,Raufoss,Start,ROUND 14,2.05,3.4,3.3,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.62,2.2,2.08,1.73,1.33,3.3,13.0,12.0,19.0,34.0,9.0,6.5,12.0,26.0,11.0,9.0,12.0,29.0,19.0,15.0,23.0,41.0,151.0
17,M9Z4kFuh,23/06/2024,12:00,NORWAY - OBOS-LIGAEN,Mjondalen,Egersund,ROUND 14,2.63,3.8,2.25,1.2,4.33,1.01,23.0,1.1,7.0,1.36,3.1,1.33,3.25,2.68,1.45,1.63,2.25,26.0,17.0,17.0,26.0,19.0,9.0,10.0,15.0,21.0,11.0,11.0,17.0,29.0,19.0,19.0,23.0,67.0
18,rJz1jeQo,23/06/2024,12:00,NORWAY - OBOS-LIGAEN,Bryne,Lyn,ROUND 14,1.8,3.75,3.75,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2,1.85,2.0,1.28,3.55,15.0,13.0,21.0,41.0,9.0,7.5,13.0,29.0,10.0,8.5,13.0,34.0,15.0,13.0,21.0,41.0,151.0
19,2u9lU49q,23/06/2024,12:00,NORWAY - OBOS-LIGAEN,Aalesund,Ranheim,ROUND 14,2.2,3.8,2.75,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.7,1.4,2.75,2.2,1.65,1.45,2.68,21.0,15.0,19.0,29.0,13.0,8.5,11.0,19.0,15.0,9.5,11.0,21.0,23.0,15.0,19.0,29.0,81.0
