Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,W0z2XqIB,25/06/2024,07:30,SOUTH KOREA - K LEAGUE 2,Seongnam,Asan,ROUND 19,2.2,3.4,2.88,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.8,1.73,2.0,2.25,1.63,1.4,2.85,11.0,10.0,15.0,29.0,8.5,6.5,11.0,23.0,11.0,9.5,15.0,29.0,21.0,19.0,26.0,41.0,201.0
2,OzXgZ5ma,25/06/2024,07:30,SOUTH KOREA - K LEAGUE 2,Gyeongnam,Anyang,ROUND 19,2.75,3.4,2.25,1.36,3.0,1.04,13.0,1.25,3.75,1.83,1.98,1.67,2.1,2.75,1.43,1.6,2.3,12.0,9.0,12.0,23.0,10.0,7.0,9.5,19.0,15.0,11.0,13.0,26.0,29.0,21.0,29.0,41.0,151.0
3,vg26JZGt,25/06/2024,07:30,SOUTH KOREA - K LEAGUE 1,Suwon FC,Gwangju FC,ROUND 19,2.8,3.4,2.2,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.62,2.2,2.75,1.43,1.63,2.25,12.0,9.0,12.0,21.0,11.0,7.0,9.0,17.0,15.0,11.0,13.0,23.0,29.0,23.0,29.0,41.0,151.0
4,MHiBIgWn,25/06/2024,07:30,SOUTH KOREA - K LEAGUE 1,Gimcheon Sangmu,Daejeon,ROUND 19,1.85,3.5,3.5,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,1.8,1.91,1.95,1.9,1.28,3.55,11.0,11.0,19.0,41.0,7.5,7.0,13.0,29.0,9.5,8.5,15.0,34.0,17.0,15.0,26.0,51.0,251.0
5,2RVcYP25,25/06/2024,07:30,SOUTH KOREA - K LEAGUE 2,Jeonnam,Suwon Bluewings,ROUND 19,2.9,3.4,2.2,1.4,2.75,1.06,10.0,1.33,3.25,2.03,1.78,1.8,1.91,2.85,1.4,1.63,2.25,10.0,8.0,11.0,21.0,9.5,6.5,9.5,19.0,15.0,11.0,15.0,29.0,34.0,23.0,34.0,51.0,251.0
6,GxfauDph,25/06/2024,08:00,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Qingdao West Coast,ROUND 16,1.4,5.75,6.0,1.25,3.75,1.02,21.0,1.14,5.5,1.48,2.6,1.7,2.05,1.4,2.85,1.14,5.75,21.0,19.0,34.0,67.0,9.5,11.0,17.0,41.0,8.0,9.0,19.0,41.0,10.0,11.0,21.0,51.0,201.0
7,b1q4vXab,25/06/2024,08:35,CHINA - SUPER LEAGUE,Nantong Zhiyun,Tianjin Jinmen Tiger,ROUND 16,3.7,3.5,1.95,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.75,2.0,3.45,1.3,1.83,2.03,11.0,8.0,10.0,17.0,12.0,6.5,8.5,15.0,19.0,13.0,13.0,23.0,41.0,29.0,34.0,41.0,201.0
8,xhr8wiF4,25/06/2024,08:35,CHINA - SUPER LEAGUE,Shenzhen Xinpengcheng,Zhejiang Professional,ROUND 16,3.75,3.7,1.91,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.53,2.38,3.55,1.28,1.93,1.93,17.0,10.0,11.0,17.0,15.0,7.5,8.5,13.0,21.0,13.0,12.0,21.0,41.0,26.0,29.0,34.0,101.0
9,6RnCxBUA,25/06/2024,09:00,CHINA - SUPER LEAGUE,Wuhan Three Towns,Shanghai Port,ROUND 16,8.5,5.25,1.33,1.2,4.33,1.01,23.0,1.1,7.0,1.36,3.1,1.62,2.2,6.6,1.11,3.3,1.33,23.0,11.0,9.0,10.0,29.0,11.0,9.0,10.0,41.0,23.0,17.0,19.0,81.0,51.0,41.0,41.0,126.0
10,8Yi0wQvE,25/06/2024,13:00,EGYPT - PREMIER LEAGUE,Al Ahly,Zamalek,ROUND 27,1.65,3.65,4.7,1.4,2.55,1.01,10.2,1.24,3.3,1.72,1.9,1.7,1.93,,,,,11.25,14.5,29.0,80.0,7.2,7.1,15.0,45.0,8.0,8.0,14.5,40.0,13.0,13.0,24.0,60.0,450.0
