Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,4AtNuNSL,30/09/2024,07:30,SOUTH KOREA - K LEAGUE 2,Jeonnam,Bucheon FC 1995,ROUND 33,2.5,3.4,2.5,1.36,3.0,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2,2.5,1.5,1.5,2.5,12.0,10.0,13.0,26.0,10.0,6.5,10.0,19.0,13.0,10.0,13.0,26.0,26.0,19.0,26.0,41.0,151.0
2,r1uRvsrS,30/09/2024,07:30,SOUTH KOREA - K LEAGUE 2,Seoul E-Land,Gimpo FC,ROUND 33,1.85,3.5,3.7,1.4,2.75,1.05,11.0,1.25,3.75,1.85,1.95,1.8,1.91,1.9,1.9,1.28,3.55,11.0,11.0,19.0,41.0,7.5,7.0,13.0,29.0,9.0,8.5,15.0,34.0,17.0,15.0,26.0,51.0,251.0
3,xAa0wJsJ,30/09/2024,11:00,CROATIA - HNL,Gorica,Slaven Belupo,ROUND 8,2.5,3.1,2.7,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,1.83,1.83,2.43,1.53,1.43,2.75,8.5,8.5,13.0,29.0,8.0,6.0,11.0,23.0,12.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
4,x4fPttOp,30/09/2024,12:00,UKRAINE - PREMIER LEAGUE,FK Zorya Luhansk,Vorskla Poltava,ROUND 8,2.27,3.1,3.1,1.4,2.52,1.04,9.15,1.35,2.7,2.02,1.62,1.78,1.82,,,,,8.25,8.25,15.0,40.0,7.2,6.0,11.25,30.0,10.75,9.0,14.5,40.0,23.0,19.0,30.0,75.0,600.0
5,xGxZ7Fyq,30/09/2024,12:00,ROMANIA - LIGA 2,Steaua Bucuresti,Csikszereda M. Ciuc,ROUND 8,2.29,3.14,2.91,1.43,2.62,1.03,8.9,1.33,2.76,2.11,1.64,1.81,1.95,,,,,7.5,8.0,13.0,26.0,7.0,5.5,9.0,21.0,10.0,8.0,12.0,31.0,19.0,17.0,26.0,67.0,101.0
6,n96zoeQ3,30/09/2024,12:00,FINLAND - VEIKKAUSLIIGA,Inter Turku,Lahti,RELEGATION GROUP,1.57,3.9,5.0,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.75,2.0,1.6,2.3,1.18,4.8,13.0,15.0,29.0,51.0,8.0,8.0,17.0,41.0,8.0,8.5,15.0,41.0,12.0,12.0,23.0,51.0,201.0
7,neP0j61m,30/09/2024,13:00,POLAND - DIVISION 1,S. Rzeszow,Tychy,ROUND 11,1.95,3.4,3.6,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.67,2.1,2.0,1.85,1.28,3.55,12.0,12.0,21.0,41.0,8.5,6.5,13.0,29.0,10.0,9.0,13.0,34.0,17.0,15.0,23.0,41.0,151.0
8,MVKSH4z3,30/09/2024,14:00,ISRAEL - LIGAT HA'AL,Sakhnin,Netanya,ROUND 5,2.75,3.4,2.25,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.85,1.4,1.63,2.25,13.0,9.5,12.0,21.0,11.0,7.0,9.5,17.0,15.0,11.0,13.0,23.0,29.0,21.0,29.0,41.0,151.0
9,pnyNiY7c,30/09/2024,14:00,PORTUGAL - LIGA PORTUGAL 2,Vizela,Mafra,ROUND 6,1.9,3.3,3.6,1.4,2.75,1.05,11.0,1.29,3.5,2.0,1.85,1.8,1.91,2.0,1.85,1.28,3.55,10.0,11.0,19.0,41.0,7.5,6.5,13.0,29.0,9.5,9.0,15.0,41.0,17.0,15.0,26.0,51.0,251.0
10,rNlN2GRk,30/09/2024,14:00,POLAND - EKSTRAKLASA,Cracovia,Stal Mielec,ROUND 10,1.73,3.6,4.2,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,1.8,1.95,1.73,2.08,1.22,4.15,11.0,12.0,23.0,51.0,7.0,7.0,15.0,34.0,8.5,8.5,15.0,41.0,13.0,15.0,26.0,51.0,251.0
11,UBOZgiBr,30/09/2024,14:00,GREECE - SUPER LEAGUE,Lamia,Panserraikos,ROUND 6,2.55,3.25,2.8,1.44,2.63,1.07,8.5,1.36,3.0,2.1,1.7,1.91,1.91,2.43,1.53,1.45,2.68,8.5,8.0,13.0,29.0,7.5,6.0,11.0,23.0,12.0,10.0,15.0,34.0,26.0,21.0,34.0,51.0,301.0
12,0dlyEMZR,30/09/2024,14:00,ISRAEL - LIGAT HA'AL,Hapoel Hadera,SC Ashdod,ROUND 5,2.55,3.2,2.63,1.5,2.5,1.07,8.5,1.36,3.0,2.2,1.65,1.91,1.8,2.5,1.5,1.48,2.6,8.5,8.0,12.0,26.0,7.5,6.0,11.0,23.0,12.0,10.0,17.0,34.0,26.0,23.0,34.0,51.0,351.0
13,nuHwlAFJ,30/09/2024,14:00,SWEDEN - ALLSVENSKAN,Brommapojkarna,Vasteras SK,ROUND 25,2.2,4.0,2.75,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.53,2.38,2.2,1.65,1.45,2.68,17.0,12.0,17.0,29.0,11.0,8.0,10.0,21.0,13.0,9.0,13.0,23.0,21.0,15.0,21.0,41.0,126.0
14,M19sw8Zp,30/09/2024,14:00,BULGARIA - PARVA LIGA,Septemvri Sofia,Spartak Varna,ROUND 10,3.2,3.4,2.2,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83,3.1,1.35,1.65,2.2,9.0,7.0,10.0,21.0,9.0,6.5,9.5,19.0,15.0,12.0,15.0,29.0,34.0,26.0,34.0,51.0,301.0
15,4GknkEa0,30/09/2024,14:00,SWEDEN - SUPERETTAN,Oster,Utsikten,ROUND 25,1.38,4.75,7.5,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,1.91,1.91,1.38,3.0,1.11,6.8,15.0,19.0,41.0,81.0,7.5,9.0,21.0,51.0,7.0,8.5,19.0,51.0,9.5,11.0,23.0,51.0,301.0
