NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,dE6fBAnB,22/07/2024,08:35,CHINA - SUPER LEAGUE,Cangzhou,Shanghai Shenhua,ROUND 24,10.0,6.25,1.25,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.95,1.8,,,3.8,1.25,17.0,8.5,7.0,8.0,26.0,12.0,9.0,11.0,51.0,26.0,23.0,26.0,126.0,67.0,51.0,67.0,301.0
2,neVB0wj2,22/07/2024,11:30,EGYPT - PREMIER LEAGUE,El Ismaily,El Gouna,ROUND 31,2.0,2.9,4.05,1.45,2.37,1.05,7.0,1.42,2.47,2.22,1.52,1.91,1.7,1.95,1.75,,,6.8,9.25,22.0,70.0,5.9,5.7,14.0,45.0,8.75,8.5,16.0,55.0,18.5,18.5,35.0,90.0,900.0
3,Yqoks6BI,22/07/2024,12:00,FINLAND - VEIKKAUSLIIGA,Inter Turku,Gnistan,-,1.6,3.8,4.33,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.67,2.1,1.63,2.25,1.2,4.4,15.0,15.0,26.0,51.0,9.0,8.0,15.0,34.0,9.0,8.5,15.0,34.0,13.0,12.0,21.0,41.0,151.0
4,UiWK9Wjt,22/07/2024,13:00,BULGARIA - PARVA LIGA,Hebar,Spartak Varna,ROUND 1,3.1,3.1,2.38,1.5,2.5,1.08,8.0,1.36,3.0,2.2,1.62,1.83,1.83,3.0,1.38,1.58,2.35,8.0,7.5,11.0,23.0,8.5,6.0,10.0,21.0,15.0,12.0,15.0,34.0,34.0,26.0,41.0,51.0,301.0
5,tKwnACU1,22/07/2024,13:00,ROMANIA - LIGA 1,Gloria Buzau,Sepsi Sf. Gheorghe,ROUND 2,3.4,3.3,2.1,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83,3.3,1.33,1.73,2.08,9.0,7.0,9.5,19.0,10.0,6.5,9.0,17.0,17.0,12.0,15.0,29.0,41.0,29.0,41.0,51.0,301.0
6,ril1X8Ck,22/07/2024,14:00,SWEDEN - ALLSVENSKAN,GAIS,AIK,ROUND 15,2.5,3.5,2.63,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.38,1.55,1.48,2.6,13.0,10.0,15.0,26.0,10.0,7.0,10.0,21.0,13.0,9.5,13.0,26.0,23.0,19.0,26.0,41.0,151.0
7,z91giVrJ,22/07/2024,14:00,DENMARK - SUPERLIGA,Lyngby,FC Copenhagen,ROUND 1,6.0,4.33,1.48,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.7,2.05,6.0,1.13,2.68,1.45,15.0,9.0,8.0,11.0,19.0,8.5,8.5,11.0,34.0,19.0,15.0,21.0,67.0,41.0,41.0,41.0,151.0
8,2Bid1rxd,22/07/2024,14:00,SWEDEN - SUPERETTAN,Varberg,Landskrona,ROUND 15,2.88,3.4,2.3,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25,2.75,1.43,1.6,2.3,13.0,10.0,13.0,23.0,12.0,6.5,9.5,17.0,17.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,126.0
9,zilucxxo,22/07/2024,14:00,POLAND - EKSTRAKLASA,Stal Mielec,Widzew Lodz,ROUND 1,2.8,3.25,2.5,1.4,2.75,1.05,11.0,1.25,3.75,1.93,1.93,1.7,2.05,2.75,1.43,1.55,2.38,11.0,9.0,13.0,23.0,10.0,6.5,9.5,19.0,15.0,11.0,13.0,26.0,29.0,21.0,29.0,41.0,201.0
10,vDKVgBXb,22/07/2024,14:00,POLAND - DIVISION 1,S. Rzeszow,Arka Gdynia,ROUND 1,4.2,3.7,1.73,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.57,2.25,4.15,1.22,2.08,1.73,15.0,10.0,10.0,15.0,17.0,7.5,8.5,13.0,26.0,15.0,12.0,21.0,41.0,29.0,34.0,41.0,126.0
