Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,0WhIerKG,04/11/2024,02:00,JAPAN - J2 LEAGUE,Kumamoto,Vegalta Sendai,ROUND 37,3.0,3.4,2.2,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.73,2.0,3.0,1.38,1.65,2.2,11.0,8.5,11.0,21.0,10.0,6.5,9.5,17.0,15.0,11.0,13.0,26.0,34.0,23.0,29.0,41.0,201.0
2,pjqawOWp,04/11/2024,05:00,AUSTRALIA - A-LEAGUE,Western United,Melbourne City,ROUND 3,3.4,3.7,2.05,1.29,3.5,1.03,15.0,1.2,4.5,1.62,2.3,1.53,2.38,3.3,1.33,1.84,2.06,15.0,10.0,12.0,19.0,13.0,7.5,9.0,15.0,19.0,12.0,12.0,21.0,34.0,23.0,26.0,34.0,126.0
3,CjOlb2fB,04/11/2024,08:00,UKRAINE - PREMIER LEAGUE,Obolon,Veres-Rivne,ROUND 12,3.05,2.9,2.4,1.47,2.32,1.08,7.75,1.42,2.45,2.22,1.52,1.88,1.72,,,,,6.9,6.7,11.0,26.0,7.4,5.7,9.5,22.0,14.5,11.25,15.5,37.0,40.0,32.0,45.0,90.0,900.0
4,r931ngzP,04/11/2024,09:00,SERBIA - PRVA LIGA,Graficar Beograd,FK Indjija,ROUND 14,1.7,3.3,4.65,1.42,2.35,1.05,8.0,1.3,2.88,1.93,1.7,1.91,1.85,,,,,8.25,9.5,21.0,65.0,5.4,5.7,13.0,40.0,6.5,6.8,13.5,45.0,11.0,11.5,22.0,60.0,450.0
5,bLwB6dLt,04/11/2024,09:00,SERBIA - PRVA LIGA,Radnicki S. Mitrovica,Javor,ROUND 14,3.4,2.9,2.12,1.53,2.1,1.05,6.0,1.5,2.27,2.54,1.38,2.17,1.66,,,,,6.3,5.0,7.6,16.0,6.4,5.1,7.8,16.5,13.0,10.5,14.5,30.0,37.0,30.0,45.0,80.0,101.0
6,0QBpjyy0,04/11/2024,09:00,SERBIA - PRVA LIGA,Radnik,Sloboda,ROUND 14,1.45,3.55,7.2,1.5,2.18,1.06,7.1,1.38,2.54,2.22,1.52,2.45,1.52,,,,,7.0,11.25,35.0,150.0,4.05,6.5,20.0,80.0,4.7,7.5,21.0,90.0,7.6,12.0,35.0,120.0,101.0
7,WzZ8UtgJ,04/11/2024,10:00,ARMENIA - PREMIER LEAGUE,Alashkert,Shirak Gyumri,ROUND 15,2.12,3.0,3.25,1.42,2.35,1.02,7.4,1.35,2.65,2.15,1.55,1.91,1.85,,,,,7.3,6.9,13.0,35.0,5.5,5.2,9.75,26.0,8.0,7.6,13.0,35.0,16.0,15.5,26.0,65.0,500.0
8,WImGq3uI,04/11/2024,10:30,UKRAINE - PREMIER LEAGUE,Kryvbas,Rukh Lviv,ROUND 12,1.98,3.15,3.75,1.44,2.42,1.05,8.35,1.39,2.55,2.12,1.57,1.91,1.7,1.93,1.78,,,7.6,9.0,19.0,60.0,6.1,6.1,13.0,40.0,8.75,8.75,17.0,50.0,17.5,17.5,35.0,100.0,900.0
9,Sh7dDkxK,04/11/2024,11:00,ITALY - SERIE C,Sorrento,Casertana,GROUP C ,2.6,2.67,2.95,1.62,2.22,1.14,5.0,1.6,2.27,2.67,1.42,2.12,1.65,2.35,1.55,,,5.0,6.5,13.5,40.0,6.2,5.5,11.5,35.0,11.5,10.5,18.0,55.0,30.0,28.0,50.0,120.0,700.0
10,CpL6NMzi,04/11/2024,12:30,BULGARIA - PARVA LIGA,Septemvri Sofia,Botev Plovdiv,ROUND 14,7.0,4.0,1.5,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,2.25,1.57,6.4,1.12,2.5,1.5,8.5,5.5,6.0,10.0,13.0,8.0,9.0,15.0,34.0,21.0,23.0,34.0,81.0,51.0,51.0,81.0,201.0
