NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,x0j85UTf,29/07/2024,07:30,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Suwon Bluewings,ROUND 25,3.3,3.3,2.05,1.44,2.63,1.06,9.5,1.33,3.25,2.05,1.75,1.83,1.83,3.3,1.33,1.73,2.08,9.5,7.0,9.5,19.0,9.5,6.5,9.0,17.0,17.0,12.0,15.0,29.0,41.0,29.0,41.0,51.0,301.0
2,rwi46AEl,29/07/2024,07:30,SOUTH KOREA - K LEAGUE 2,Busan,Cheongju,ROUND 25,1.83,3.5,3.8,1.4,2.75,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83,1.88,1.93,1.26,3.7,9.5,11.0,21.0,41.0,7.0,7.0,13.0,34.0,8.5,9.0,17.0,41.0,15.0,15.0,29.0,51.0,301.0
3,4xymfIBJ,29/07/2024,08:35,CHINA - SUPER LEAGUE,Wuhan Three Towns,Shanghai Shenhua,ROUND 20,6.25,4.2,1.53,1.3,3.4,1.04,13.0,1.18,4.5,1.65,2.2,1.75,2.0,5.75,1.14,2.5,1.5,13.0,8.0,8.0,11.0,19.0,8.0,8.5,12.0,34.0,19.0,15.0,23.0,67.0,41.0,41.0,41.0,201.0
4,Sdw4ZScD,29/07/2024,13:00,ROMANIA - LIGA 1,UTA Arad,U. Cluj,ROUND 3,2.88,3.1,2.45,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,1.83,1.83,2.85,1.4,1.53,2.43,8.5,7.5,12.0,23.0,8.5,6.0,10.0,21.0,13.0,11.0,15.0,34.0,29.0,26.0,34.0,51.0,301.0
5,ryEBIRZA,29/07/2024,13:00,BULGARIA - PARVA LIGA,Beroe,Lok. Sofia,ROUND 2,2.05,3.2,3.75,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67,2.1,1.78,1.28,3.55,7.0,8.5,17.0,41.0,6.0,6.0,13.0,34.0,8.5,9.5,19.0,41.0,19.0,19.0,34.0,67.0,351.0
6,dAYnO5q9,29/07/2024,14:00,SWEDEN - SUPERETTAN,Helsingborg,Oster,ROUND 16,2.9,3.5,2.1,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.8,1.95,3.0,1.38,1.7,2.1,11.0,8.0,10.0,21.0,9.5,7.0,9.0,17.0,15.0,11.0,15.0,26.0,34.0,26.0,34.0,51.0,251.0
7,WCUegjZ8,29/07/2024,14:00,SWEDEN - ALLSVENSKAN,AIK,GAIS,ROUND 16,1.8,3.9,4.0,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.75,2.0,1.78,2.03,1.26,3.7,13.0,12.0,21.0,41.0,8.0,7.5,13.0,29.0,9.0,8.5,15.0,34.0,15.0,13.0,23.0,41.0,201.0
8,691PTzDM,29/07/2024,14:00,POLAND - EKSTRAKLASA,Rakow,Cracovia,ROUND 2,1.67,3.8,5.0,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,1.95,1.8,1.65,2.2,1.19,4.5,10.0,12.0,23.0,51.0,6.5,7.5,15.0,41.0,7.5,8.5,19.0,41.0,12.0,15.0,29.0,51.0,351.0
9,M9kTohdE,29/07/2024,14:00,NORWAY - OBOS-LIGAEN,Valerenga,Ranheim,ROUND 16,1.4,4.75,5.75,1.2,4.33,1.01,23.0,1.1,7.0,1.36,3.1,1.53,2.38,1.43,2.75,1.13,5.9,23.0,23.0,41.0,67.0,12.0,11.0,19.0,41.0,9.5,9.0,15.0,34.0,11.0,11.0,19.0,41.0,101.0
10,t2j002i2,29/07/2024,14:00,SWEDEN - SUPERETTAN,Orgryte,Oddevold,ROUND 16,2.3,3.1,3.0,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.67,2.1,2.25,1.63,1.35,3.1,11.0,11.0,17.0,34.0,9.0,6.0,11.0,23.0,12.0,9.5,12.0,29.0,23.0,19.0,26.0,41.0,151.0
