Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,YNkfOt3D,20/10/2024,00:00,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Western United,ROUND 1,2.0,3.6,3.7,1.33,3.25,1.04,13.0,1.22,4.33,1.67,2.2,1.62,2.2,2.04,1.86,1.33,3.3,13.0,13.0,21.0,41.0,9.0,7.0,13.0,26.0,11.0,8.5,12.0,29.0,19.0,15.0,21.0,41.0,151.0
2,IsYwMYXI,20/10/2024,00:10,MEXICO - LIGA MX,Monterrey,U.A.N.L.- Tigres,APERTURA ,2.5,3.2,2.9,1.44,2.63,1.07,9.0,1.33,3.25,2.05,1.75,1.8,1.95,2.38,1.55,1.43,2.75,9.0,9.0,13.0,29.0,8.0,6.0,11.0,23.0,12.0,10.0,15.0,34.0,23.0,21.0,29.0,51.0,251.0
3,UkgzqpJD,20/10/2024,01:00,JAPAN - J2 LEAGUE,Blaublitz,V-Varen Nagasaki,ROUND 35,2.75,3.4,2.4,1.44,2.63,1.05,11.0,1.3,3.4,2.03,1.83,1.8,1.91,2.68,1.45,1.55,2.38,10.0,8.0,12.0,23.0,8.5,6.5,10.0,21.0,13.0,11.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0
4,p0npzAit,20/10/2024,01:10,JAPAN - J2 LEAGUE,Shimizu S-Pulse,Montedio Yamagata,ROUND 35,1.7,3.9,4.5,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.67,2.1,1.7,2.1,1.22,4.15,15.0,15.0,23.0,41.0,8.5,8.0,15.0,34.0,9.0,8.5,15.0,34.0,13.0,13.0,21.0,41.0,151.0
5,vNolZT6n,20/10/2024,02:00,JAPAN - J2 LEAGUE,Okayama,Iwaki,ROUND 35,1.95,3.4,3.7,1.4,2.75,1.05,11.0,1.3,3.4,2.03,1.83,1.83,1.83,2.03,1.83,1.3,3.45,9.5,10.0,19.0,41.0,7.0,6.5,13.0,29.0,9.0,9.0,15.0,41.0,17.0,17.0,29.0,51.0,251.0
6,ABoymvzk,20/10/2024,02:00,SOUTH KOREA - K LEAGUE 2,Cheonan City,Seoul E-Land,ROUND 35,4.2,3.7,1.75,1.36,3.0,1.05,11.0,1.25,3.75,1.85,1.95,1.77,1.87,4.15,1.22,2.05,1.75,11.0,7.5,8.5,15.0,12.0,7.0,8.5,15.0,21.0,15.0,15.0,26.0,41.0,34.0,41.0,51.0,251.0
7,4dHTyBet,20/10/2024,02:00,AUSTRALIA - A-LEAGUE,Macarthur FC,Perth Glory,ROUND 1,2.0,4.0,3.25,1.22,4.0,1.02,19.0,1.13,6.0,1.44,2.75,1.4,2.75,2.02,1.88,1.35,3.1,23.0,17.0,21.0,41.0,13.0,8.5,12.0,21.0,13.0,9.0,11.0,21.0,21.0,13.0,17.0,29.0,81.0
8,GlnXmKKr,20/10/2024,02:00,SOUTH KOREA - K LEAGUE 2,Seongnam,Asan,ROUND 35,3.9,3.5,1.91,1.4,2.75,1.05,11.0,1.29,3.5,1.9,1.9,1.69,2.0,3.7,1.26,1.88,1.93,11.0,7.5,9.5,17.0,12.0,6.5,8.5,15.0,21.0,13.0,15.0,26.0,41.0,29.0,34.0,51.0,201.0
9,hQkhYmMh,20/10/2024,02:00,JAPAN - J2 LEAGUE,Tokushima,Fujieda MYFC,ROUND 35,1.91,3.5,3.8,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.8,1.91,1.95,1.9,1.26,3.7,11.0,11.0,19.0,41.0,7.5,7.0,13.0,29.0,9.0,8.5,15.0,41.0,17.0,15.0,26.0,51.0,251.0
10,8zPGixND,20/10/2024,02:00,JAPAN - J2 LEAGUE,Kusatsu,Tochigi SC,ROUND 35,3.3,3.2,2.2,1.5,2.5,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8,3.3,1.33,1.68,2.15,8.0,7.0,10.0,21.0,9.0,6.0,9.5,19.0,17.0,12.0,15.0,34.0,34.0,29.0,41.0,51.0,351.0
11,Euv1WRj5,20/10/2024,02:00,JAPAN - J2 LEAGUE,Oita Trinita,Mito,ROUND 35,2.3,3.25,3.0,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83,2.3,1.6,1.38,3.0,8.5,9.0,15.0,34.0,7.5,6.0,12.0,26.0,11.0,9.5,15.0,34.0,21.0,21.0,29.0,51.0,301.0
12,zkucX7ya,20/10/2024,03:00,JAPAN - J2 LEAGUE,Kumamoto,Renofa Yamaguchi,ROUND 35,1.95,3.4,3.7,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.85,1.8,1.91,1.98,1.88,1.28,3.55,9.5,11.0,19.0,41.0,7.5,6.5,13.0,29.0,9.0,9.0,15.0,41.0,17.0,17.0,29.0,51.0,251.0
13,6NCQAbaB,20/10/2024,03:00,SOUTH KOREA - K LEAGUE 1,Gangwon,Seoul,CHAMPIONSHIP GROUP ,2.38,3.25,3.0,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.69,2.0,2.35,1.58,1.4,2.85,10.0,10.0,15.0,34.0,8.0,6.0,11.0,23.0,11.0,9.5,13.0,34.0,21.0,19.0,29.0,41.0,201.0
14,l2punbke,20/10/2024,04:30,SOUTH KOREA - K LEAGUE 2,Anyang,Busan,ROUND 35,2.35,3.3,2.88,1.4,2.75,1.06,10.0,1.3,3.4,2.0,1.8,1.69,2.0,2.3,1.6,1.4,2.85,11.0,10.0,15.0,29.0,8.5,6.5,11.0,23.0,12.0,9.5,13.0,29.0,23.0,19.0,26.0,41.0,201.0
15,zZnbrJ4F,20/10/2024,05:30,AUSTRIA - 2. LIGA,Admira,Amstetten,ROUND 10,1.82,3.7,3.85,1.34,3.0,1.04,8.25,1.22,3.8,1.7,2.07,1.62,2.15,1.8,1.95,,,8.25,13.0,23.0,55.0,8.5,7.3,13.0,32.0,9.75,8.25,13.5,35.0,15.5,13.5,21.0,50.0,350.0
16,Mskix02c,20/10/2024,05:30,ROMANIA - LIGA 2,FC Bihor,Csikszereda M. Ciuc,ROUND 10,4.0,3.35,1.88,1.42,2.65,1.08,6.6,1.37,2.87,2.07,1.7,1.91,1.8,,,1.88,1.85,6.6,6.3,8.25,15.5,10.25,6.4,8.5,16.0,21.0,13.5,16.5,32.0,60.0,40.0,50.0,90.0,800.0
17,OnHtv4hA,20/10/2024,06:30,ESTONIA - MEISTRILIIGA,Kalju,Narva,ROUND 32,1.5,3.95,5.2,1.25,3.7,1.01,14.2,1.1,4.75,1.53,2.18,1.57,2.34,,,,,15.5,16.5,30.0,75.0,8.0,7.3,13.5,35.0,7.6,6.9,11.25,29.0,10.25,9.25,15.0,35.0,175.0
18,CnAmWkiS,20/10/2024,07:00,SPAIN - PRIMERA RFEF,Alcorcon,Real Madrid B,GROUP 2 ,2.15,3.1,3.1,1.5,2.5,1.07,7.5,1.4,2.75,2.3,1.6,2.0,1.73,2.2,1.62,1.32,3.1,7.5,8.5,15.0,34.0,6.5,6.5,13.0,29.0,9.5,10.0,17.0,41.0,21.0,21.0,34.0,67.0,800.0
19,tpwHLZS1,20/10/2024,07:00,SPAIN - PRIMERA RFEF,Gimnastica Segoviana,R. Union,GROUP 1 ,2.55,3.3,2.35,1.53,2.38,1.08,7.0,1.44,2.63,2.35,1.57,2.1,1.67,2.6,1.48,1.53,2.43,8.0,6.5,11.0,23.0,7.0,7.0,11.0,23.0,12.0,11.0,21.0,41.0,29.0,26.0,41.0,67.0,67.0
20,WSOhoHTs,20/10/2024,07:00,CHINA - SUPER LEAGUE,Cangzhou,Nantong Zhiyun,ROUND 28,2.45,3.6,2.63,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.53,2.38,2.38,1.55,1.48,2.6,15.0,12.0,15.0,26.0,11.0,7.0,10.0,19.0,15.0,9.5,12.0,23.0,23.0,19.0,23.0,41.0,126.0
21,44D9yoT7,20/10/2024,07:00,SPAIN - PRIMERA RFEF,Yeclano,Hercules,GROUP 2 ,2.35,3.1,2.75,1.67,2.1,1.11,6.0,1.62,2.2,2.75,1.4,2.5,1.5,2.03,1.78,1.37,2.85,6.0,6.0,12.0,34.0,5.5,7.0,13.0,34.0,10.0,12.0,26.0,51.0,23.0,29.0,41.0,101.0,800.0
22,hYVjM8sf,20/10/2024,07:00,UKRAINE - PREMIER LEAGUE,LNZ Cherkasy,Inhulets,ROUND 10,1.65,3.55,4.9,1.42,2.45,1.05,8.5,1.37,2.62,2.07,1.6,2.07,1.6,,,,,8.25,11.0,26.0,90.0,5.5,7.1,17.0,60.0,6.7,8.5,21.0,75.0,11.75,15.0,37.0,120.0,1000.0
23,Q35XQ7fc,20/10/2024,07:00,POLAND - DIVISION 1,Polonia Warszawa,Tychy,ROUND 13,2.1,3.3,3.5,1.36,3.0,1.03,11.0,1.22,3.75,1.93,1.93,1.73,2.0,2.05,1.75,1.3,3.45,10.0,11.0,19.0,41.0,8.0,6.5,12.0,26.0,10.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
24,rkP0w7be,20/10/2024,07:00,SPAIN - PRIMERA RFEF,CF Intercity,UD Ibiza,GROUP 2 ,2.88,3.0,2.35,1.53,2.38,1.08,7.0,1.44,2.63,2.35,1.57,2.0,1.73,3.0,1.35,1.52,2.38,7.0,6.5,11.0,23.0,8.0,6.0,10.0,23.0,13.0,12.0,17.0,41.0,29.0,29.0,41.0,67.0,900.0
25,YXAfQVtB,20/10/2024,07:15,POLAND - EKSTRAKLASA,GKS Katowice,Slask Wroclaw,ROUND 12,2.05,3.4,3.6,1.44,2.63,1.04,9.5,1.27,3.4,2.05,1.75,1.8,1.95,2.05,1.8,1.3,3.45,9.5,10.0,19.0,41.0,7.0,6.5,13.0,29.0,9.5,9.0,15.0,41.0,19.0,17.0,29.0,51.0,251.0
26,6VjuaHK0,20/10/2024,07:15,NETHERLANDS - EREDIVISIE,Willem II,Sittard,ROUND 9,2.2,3.4,3.25,1.4,2.75,1.05,11.0,1.3,3.4,2.03,1.83,1.8,1.95,2.15,1.68,1.35,3.1,9.5,9.5,15.0,34.0,7.5,6.5,12.0,26.0,10.0,9.0,15.0,34.0,21.0,19.0,29.0,51.0,251.0
27,29YyYspK,20/10/2024,07:30,TURKEY - SUPER LIG,Sivasspor,Hatayspor,ROUND 9,2.15,3.4,3.25,1.44,2.63,1.04,10.0,1.3,3.25,2.1,1.7,1.83,1.83,2.15,1.65,1.32,3.1,9.0,9.5,15.0,34.0,7.0,6.5,12.0,29.0,10.0,9.5,15.0,41.0,21.0,19.0,29.0,51.0,301.0
28,fmotf2hI,20/10/2024,07:30,TURKEY - 1. LIG,Pendikspor,Erzurumspor,ROUND 9,2.1,3.0,3.5,1.44,2.63,1.05,9.0,1.33,3.0,2.15,1.67,1.83,1.83,2.1,1.67,1.25,3.55,8.0,10.0,17.0,41.0,7.0,6.0,13.0,29.0,10.0,9.5,15.0,41.0,19.0,19.0,29.0,51.0,301.0
29,xtONvDt1,20/10/2024,07:30,ITALY - SERIE C,Lecco,Pergolettese,GROUP A ,1.75,3.4,4.6,1.42,2.65,1.08,6.5,1.37,2.85,2.15,1.65,2.0,1.72,1.75,2.02,,,6.5,11.0,25.0,80.0,5.8,6.6,15.0,50.0,7.4,8.5,17.5,55.0,13.5,15.5,32.0,100.0,900.0
30,8Kjh0jRr,20/10/2024,07:30,ITALY - SERIE A,Empoli,Napoli,ROUND 8,6.0,3.6,1.65,1.4,2.75,1.07,9.0,1.33,3.4,2.0,1.8,1.95,1.8,5.5,1.15,2.25,1.63,9.0,6.5,7.0,12.0,13.0,6.5,8.5,15.0,29.0,19.0,17.0,29.0,67.0,41.0,51.0,51.0,351.0
31,WlO0ATb3,20/10/2024,08:00,HUNGARY - OTP BANK LIGA,Kecskemeti TE,Puskas Academy,ROUND 10,4.2,3.7,1.8,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.83,1.83,3.9,1.24,2.03,1.83,10.0,7.0,8.5,15.0,12.0,7.0,8.5,15.0,21.0,15.0,15.0,26.0,41.0,34.0,41.0,51.0,251.0
32,pvklVFtp,20/10/2024,08:00,SCOTLAND - PREMIERSHIP,Kilmarnock,Rangers,ROUND 8,6.5,4.33,1.45,1.3,3.4,1.02,15.0,1.17,4.5,1.62,2.3,1.8,1.95,6.0,1.13,2.68,1.45,15.0,8.0,7.5,10.0,19.0,8.5,8.5,11.0,34.0,19.0,17.0,23.0,67.0,41.0,41.0,51.0,201.0
33,UuQ3fIP9,20/10/2024,08:30,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,RWDM,ROUND 8,6.25,4.5,1.48,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.73,2.0,5.9,1.13,2.68,1.45,15.0,8.5,8.0,11.0,19.0,8.5,8.5,11.0,34.0,19.0,17.0,21.0,67.0,41.0,41.0,41.0,201.0
34,EVjKq6Vs,20/10/2024,08:30,GERMANY - 2. BUNDESLIGA,Greuther Furth,Nurnberg,ROUND 9,1.83,4.0,3.75,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.53,2.38,1.83,2.03,1.28,3.55,17.0,15.0,21.0,41.0,11.0,8.0,13.0,26.0,11.0,8.5,13.0,26.0,17.0,13.0,19.0,34.0,126.0
35,CCDxupw4,20/10/2024,08:30,ESTONIA - MEISTRILIIGA,Paide,Flora,ROUND 32,2.22,3.25,2.82,1.31,3.26,1.03,11.8,1.16,3.92,1.62,2.05,1.53,2.42,1.9,1.72,,,12.0,9.5,14.0,28.0,8.75,5.8,8.75,18.0,11.0,7.6,9.5,20.0,19.5,13.5,17.0,30.0,150.0
36,xptd0Rum,20/10/2024,08:30,BELGIUM - JUPILER PRO LEAGUE,Genk,St. Truiden,ROUND 11,1.38,4.5,7.0,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,1.7,2.05,1.4,2.85,1.11,6.8,17.0,23.0,41.0,81.0,9.5,9.5,21.0,41.0,8.0,8.5,17.0,41.0,10.0,11.0,21.0,41.0,151.0
37,hOt0vBg2,20/10/2024,08:30,GERMANY - 2. BUNDESLIGA,Hamburger SV,Magdeburg,ROUND 9,1.62,4.2,4.75,1.22,4.0,1.02,21.0,1.11,6.5,1.4,2.88,1.5,2.5,1.63,2.25,1.2,4.4,21.0,21.0,29.0,51.0,12.0,8.5,17.0,34.0,11.0,8.5,12.0,29.0,15.0,12.0,19.0,34.0,101.0
38,4rrbmRgU,20/10/2024,08:30,GERMANY - 2. BUNDESLIGA,Ulm,Karlsruher SC,ROUND 9,3.3,3.7,2.05,1.29,3.5,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38,3.1,1.35,1.75,2.05,15.0,10.0,12.0,19.0,13.0,7.5,9.0,15.0,19.0,12.0,12.0,21.0,34.0,23.0,26.0,34.0,126.0
39,beSSYaQQ,20/10/2024,08:30,GERMANY - 3. LIGA,SG Dynamo Dresden,RW Essen,ROUND 10,1.53,4.33,5.5,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.67,2.1,1.53,2.43,1.16,5.25,17.0,19.0,34.0,51.0,9.0,8.5,17.0,41.0,8.5,8.5,15.0,41.0,12.0,12.0,21.0,41.0,151.0
40,QkOdpyql,20/10/2024,08:35,CHINA - SUPER LEAGUE,Shenzhen Xinpengcheng,Meizhou Hakka,ROUND 28,1.85,3.9,3.75,1.33,3.25,1.03,15.0,1.2,4.33,1.65,2.2,1.62,2.2,1.9,1.95,1.3,3.45,15.0,13.0,21.0,41.0,9.0,7.5,13.0,29.0,10.0,8.5,13.0,29.0,17.0,13.0,21.0,41.0,151.0
41,2aLVQCYA,20/10/2024,09:00,DENMARK - SUPERLIGA,Lyngby,Viborg,ROUND 12,3.1,3.6,2.15,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2,3.0,1.38,1.73,2.08,13.0,9.5,12.0,21.0,12.0,7.0,9.0,17.0,17.0,11.0,12.0,23.0,34.0,23.0,29.0,41.0,151.0
42,bREvPj3N,20/10/2024,09:00,DENMARK - SUPERLIGA,Aalborg,Randers FC,ROUND 12,3.0,3.7,2.2,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.57,2.25,2.85,1.4,1.68,2.15,15.0,10.0,12.0,21.0,12.0,7.5,9.0,17.0,17.0,11.0,13.0,21.0,34.0,21.0,26.0,41.0,126.0
