Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,hrTmblCs,21/06/2024,10:00,EUROPE - EURO,Slovakia,Ukraine,ROUND 2,3.7,3.3,2.1,1.44,2.63,1.07,8.5,1.36,3.2,2.1,1.73,1.83,1.83,3.45,1.3,1.75,2.05,8.5,7.0,10.0,19.0,10.0,6.5,9.5,19.0,19.0,13.0,17.0,34.0,41.0,34.0,41.0,51.0,351.0
2,YaubR1rD,21/06/2024,13:00,EUROPE - EURO,Poland,Austria,ROUND 2,3.4,3.4,2.15,1.4,2.75,1.06,10.0,1.29,3.75,1.98,1.92,1.73,2.0,3.3,1.33,1.7,2.1,10.0,8.5,11.0,21.0,11.0,6.5,9.5,19.0,19.0,13.0,15.0,29.0,41.0,29.0,34.0,51.0,251.0
3,8UqhBXn2,21/06/2024,13:00,EGYPT - PREMIER LEAGUE,Al Ahly,El Daklyeh,ROUND 12,1.17,5.9,14.5,1.27,3.54,1.02,14.9,1.19,3.75,1.52,2.22,2.27,1.5,,,,,14.0,35.0,120.0,700.0,7.2,13.0,50.0,250.0,5.7,10.0,35.0,200.0,6.4,11.25,37.0,200.0,201.0
4,IaRrYffF,21/06/2024,13:00,EGYPT - PREMIER LEAGUE,Zamalek,Pharco,ROUND 12,1.7,3.35,5.0,1.44,2.42,1.03,8.1,1.34,2.75,2.0,1.65,1.91,1.7,,,,,8.25,12.5,30.0,100.0,5.8,6.6,16.5,55.0,7.2,8.25,17.0,60.0,12.5,14.5,32.0,90.0,900.0
5,lC7o20K2,21/06/2024,16:00,EUROPE - EURO,Netherlands,France,ROUND 2,3.6,3.25,2.15,1.4,2.75,1.06,10.0,1.3,3.5,2.03,1.87,1.73,2.0,3.45,1.3,1.7,2.1,9.5,8.0,11.0,21.0,11.0,6.5,9.5,19.0,19.0,13.0,15.0,29.0,41.0,29.0,41.0,51.0,251.0
6,WUXOw7KC,21/06/2024,21:00,SOUTH AMERICA - COPA AMÉRICA,Peru,Chile,ROUND 1,3.9,3.0,2.15,1.53,2.38,1.11,6.5,1.5,2.63,2.5,1.5,2.1,1.67,3.55,1.28,1.68,2.15,6.5,6.0,9.0,19.0,8.5,6.0,9.5,21.0,17.0,15.0,19.0,41.0,41.0,41.0,41.0,67.0,501.0
