Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,MTynBd23,29/09/2024,00:05,MEXICO - LIGA MX,Guadalajara Chivas,Monterrey,APERTURA ,2.1,3.25,3.75,1.4,2.75,1.07,9.0,1.3,3.4,2.05,1.8,1.8,1.95,2.08,1.73,1.28,3.55,9.0,11.0,19.0,41.0,7.5,6.0,13.0,29.0,10.0,9.0,13.0,41.0,19.0,17.0,29.0,51.0,251.0
2,fszf9zXF,29/09/2024,00:10,MEXICO - LIGA MX,Atl. San Luis,Santos Laguna,APERTURA ,1.48,4.5,5.75,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.7,2.05,1.45,2.68,1.13,5.9,17.0,19.0,34.0,67.0,9.0,9.0,17.0,41.0,8.0,8.5,17.0,41.0,11.0,11.0,21.0,41.0,151.0
3,b7I1rDS2,29/09/2024,02:00,JAPAN - J2 LEAGUE,Blaublitz,Tokushima,ROUND 33,2.6,3.0,2.88,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.2,1.62,2.5,1.5,1.43,2.75,6.5,7.0,12.0,29.0,6.5,6.0,12.0,29.0,11.0,11.0,19.0,41.0,26.0,26.0,41.0,81.0,351.0
4,SnAIvVRR,29/09/2024,02:00,JAPAN - J2 LEAGUE,Renofa Yamaguchi,Vegalta Sendai,ROUND 33,2.7,3.2,2.55,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8,2.6,1.48,1.5,2.5,8.0,7.5,12.0,26.0,7.5,6.0,10.0,23.0,12.0,11.0,17.0,34.0,29.0,23.0,34.0,51.0,201.0
5,pOKDuBCL,29/09/2024,02:00,JAPAN - J2 LEAGUE,Okayama,V-Varen Nagasaki,ROUND 33,2.25,3.3,3.1,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.67,2.1,2.2,1.65,1.38,3.0,11.0,11.0,17.0,34.0,8.5,6.5,11.0,23.0,11.0,9.5,13.0,29.0,21.0,17.0,26.0,41.0,151.0
6,xbH5sXs9,29/09/2024,03:30,JAPAN - J2 LEAGUE,Iwaki,Tochigi SC,ROUND 33,1.91,3.3,4.2,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83,1.95,1.9,1.23,4.0,9.0,11.0,21.0,41.0,7.0,6.5,15.0,34.0,8.5,9.0,15.0,41.0,17.0,17.0,29.0,51.0,301.0
7,8Uu5ABdG,29/09/2024,04:30,SOUTH KOREA - K LEAGUE 1,Seoul,Suwon FC,ROUND 32,1.95,3.6,3.6,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2,2.0,1.85,1.3,3.45,13.0,13.0,19.0,41.0,9.0,7.0,12.0,26.0,10.0,8.5,13.0,29.0,17.0,15.0,23.0,41.0,151.0
8,dpwFsqb9,29/09/2024,04:30,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Busan,ROUND 33,4.2,3.7,1.7,1.36,3.0,1.05,11.0,1.25,3.75,1.85,1.95,1.8,1.91,4.15,1.22,2.08,1.73,11.0,7.5,8.5,13.0,13.0,7.5,8.5,15.0,23.0,15.0,17.0,26.0,51.0,34.0,41.0,51.0,251.0
9,OjPhcPNN,29/09/2024,05:00,ROMANIA - LIGA 2,U Craiova 1948,Afumati,ROUND 8,1.72,3.5,4.6,1.4,2.7,1.07,6.8,1.34,3.0,2.05,1.72,1.93,1.78,1.7,2.07,,,6.8,11.25,25.0,80.0,6.2,6.8,15.0,50.0,7.5,8.25,17.0,55.0,13.0,14.5,30.0,90.0,800.0
10,CfGy4ZAU,29/09/2024,05:30,AUSTRIA - 2. LIGA,Floridsdorfer AC,Lafnitz,ROUND 8,1.53,4.2,5.3,1.31,3.15,1.04,8.75,1.2,4.1,1.6,2.2,1.7,2.05,,,,,8.75,17.0,32.0,100.0,8.5,8.25,16.5,50.0,8.0,8.0,15.5,45.0,11.25,11.25,22.0,60.0,400.0
11,6XL9ticF,29/09/2024,06:00,JAPAN - J2 LEAGUE,Kusatsu,Kumamoto,ROUND 33,4.5,3.6,1.75,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,1.83,1.83,4.15,1.22,2.05,1.75,10.0,6.5,8.0,13.0,11.0,7.0,8.5,15.0,21.0,15.0,17.0,29.0,51.0,41.0,41.0,51.0,301.0
12,481pzkzq,29/09/2024,06:00,JAPAN - J2 LEAGUE,Ehime,Chiba,ROUND 33,5.0,4.2,1.57,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,1.67,2.1,4.8,1.18,2.38,1.55,15.0,9.0,8.5,12.0,17.0,8.0,8.5,12.0,29.0,17.0,15.0,21.0,51.0,41.0,41.0,41.0,151.0
13,dtBLmfKU,29/09/2024,07:00,UKRAINE - PREMIER LEAGUE,Obolon,Inhulets,ROUND 8,2.6,2.77,2.9,1.53,2.2,1.11,6.75,1.5,2.27,2.4,1.44,1.98,1.65,,,,,6.2,6.7,13.0,37.0,6.5,5.6,11.25,32.0,11.75,10.25,17.0,50.0,30.0,26.0,45.0,110.0,900.0
14,I9zjotvq,29/09/2024,07:00,SPAIN - PRIMERA RFEF,Alcorcon,Sevilla FC B,GROUP 2 ,1.73,3.1,4.5,1.5,2.5,1.08,7.0,1.4,2.75,2.35,1.57,2.2,1.62,1.8,2.0,1.2,4.4,7.0,11.0,21.0,51.0,5.5,6.5,17.0,41.0,7.5,9.5,19.0,51.0,13.0,17.0,34.0,67.0,800.0
15,nkS6sbw8,29/09/2024,07:00,SPAIN - PRIMERA RFEF,Marbella,Merida AD,GROUP 2 ,2.4,3.0,2.75,1.53,2.38,1.08,7.0,1.44,2.63,2.38,1.53,2.1,1.67,,,,,7.0,7.5,13.0,29.0,7.0,6.0,12.0,26.0,11.0,11.0,19.0,41.0,23.0,23.0,41.0,67.0,67.0
16,QJRHt8ad,29/09/2024,07:00,PORTUGAL - LIGA PORTUGAL 2,Oliveirense,Feirense,ROUND 6,2.55,3.0,2.6,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.67,2.1,2.6,1.48,1.48,2.6,11.0,10.0,15.0,26.0,10.0,6.0,10.0,21.0,13.0,10.0,12.0,29.0,26.0,21.0,29.0,41.0,151.0
17,Myf32FAl,29/09/2024,07:00,SPAIN - PRIMERA RFEF,Zamora,Amorebieta,GROUP 1 ,2.15,2.9,3.3,1.57,2.25,1.1,6.5,1.5,2.5,2.5,1.5,2.2,1.62,2.15,1.68,1.3,3.45,6.5,8.0,17.0,41.0,6.0,6.0,13.0,34.0,9.0,10.0,19.0,41.0,19.0,21.0,41.0,67.0,67.0
18,tKDm8psA,29/09/2024,07:00,SPAIN - PRIMERA RFEF,Ath Bilbao B,Celta Vigo B,GROUP 1 ,2.38,3.0,2.8,1.5,2.5,1.07,7.5,1.36,3.0,2.2,1.65,1.91,1.8,2.43,1.53,1.43,2.75,8.0,8.5,13.0,29.0,7.5,6.0,12.0,26.0,11.0,10.0,15.0,41.0,23.0,21.0,34.0,51.0,700.0
19,hCvVkCxA,29/09/2024,07:00,PORTUGAL - LIGA PORTUGAL 2,FC Porto B,Felgueiras,ROUND 6,2.63,2.9,2.5,1.4,2.75,1.05,11.0,1.25,3.75,1.95,1.9,1.67,2.1,2.67,1.45,1.5,2.5,10.0,9.5,13.0,26.0,10.0,6.0,10.0,21.0,15.0,11.0,12.0,29.0,29.0,21.0,29.0,41.0,151.0
20,AmsJt3DF,29/09/2024,07:00,SOUTH KOREA - K LEAGUE 2,Cheongju,Seongnam,ROUND 33,2.1,3.25,3.2,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,1.83,1.83,2.1,1.7,1.35,3.1,9.0,9.0,15.0,34.0,7.0,6.5,12.0,29.0,10.0,9.5,17.0,41.0,19.0,19.0,29.0,51.0,301.0
