Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,48FaYOgf,31/10/2024,09:00,ARMENIA - PREMIER LEAGUE,West Armenia,Alashkert,ROUND 14,3.55,3.15,1.95,1.38,2.47,8.65,1.06,1.24,3.22,1.87,1.78,1.76,2.01,,,1.75,1.87,9.25,6.2,8.0,14.5,9.0,5.5,7.1,13.0,16.0,10.0,11.25,20.0,40.0,25.0,28.0,45.0,300.0
2,OAV0W2O6,31/10/2024,11:00,ARMENIA - PREMIER LEAGUE,Shirak Gyumri,FC Gandzasar,ROUND 14,1.37,4.3,6.7,1.27,3.42,1.02,10.5,1.13,4.35,1.6,2.05,1.82,1.94,,,,,12.5,15.5,35.0,110.0,6.4,7.6,17.5,55.0,5.9,7.1,15.5,50.0,7.7,9.25,20.0,60.0,400.0
3,beOpg9Tj,31/10/2024,11:00,ITALY - SERIE C,Potenza,Taranto,GROUP C ,1.7,3.05,6.0,1.47,2.52,1.09,6.0,1.39,2.77,2.15,1.65,1.95,1.75,1.7,2.07,,,6.0,13.0,37.0,150.0,5.6,6.1,18.0,75.0,7.3,8.0,16.5,65.0,13.5,15.0,30.0,90.0,800.0
4,GbmHWyQ7,31/10/2024,11:00,EGYPT - PREMIER LEAGUE,El Gouna,ZED,ROUND 1,4.15,2.82,2.07,1.47,2.5,1.1,5.7,1.42,2.65,2.27,1.6,1.88,1.82,,,1.72,2.05,5.7,6.0,9.25,20.0,10.0,5.5,8.5,18.5,23.0,13.0,14.5,32.0,75.0,45.0,50.0,75.0,700.0
5,I1rqmbET,31/10/2024,11:50,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Shabab,Al Wehda,ROUND 9,1.5,4.2,5.75,1.33,3.25,1.02,12.0,1.22,4.0,1.75,2.05,1.91,1.8,1.48,2.6,1.13,5.9,12.0,17.0,34.0,67.0,7.0,8.5,19.0,41.0,7.0,9.0,19.0,41.0,10.0,13.0,26.0,51.0,800.0
6,r9LRh2ph,31/10/2024,12:10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Okhdood,Al Orubah,ROUND 9,2.05,3.4,3.4,1.4,2.75,1.03,9.5,1.3,3.4,2.03,1.78,1.83,1.83,2.05,1.75,1.3,3.45,9.5,10.0,17.0,41.0,7.5,6.5,13.0,29.0,9.5,9.5,15.0,41.0,17.0,17.0,29.0,51.0,800.0
7,8Yq9Ycee,31/10/2024,14:00,EGYPT - PREMIER LEAGUE,Modern Sport,Enppi,ROUND 1,2.12,2.87,3.8,1.55,2.35,1.12,5.3,1.52,2.37,2.52,1.47,2.1,1.65,2.07,1.7,,,5.3,8.25,19.0,60.0,5.5,5.7,13.5,45.0,8.75,9.25,18.0,60.0,20.0,21.0,40.0,120.0,201.0
8,EssDGebM,31/10/2024,14:30,ITALY - SERIE A,Genoa,Fiorentina,ROUND 10,4.2,3.9,1.8,1.4,2.75,1.05,11.0,1.33,3.4,2.03,1.87,1.95,1.8,3.8,1.25,2.03,1.78,11.0,7.0,8.0,15.0,11.0,7.5,8.5,15.0,21.0,13.0,19.0,29.0,41.0,34.0,41.0,51.0,351.0
9,QTp4tWqo,31/10/2024,14:30,ITALY - SERIE C,Casertana,Altamura,GROUP C ,2.18,2.95,3.55,1.5,2.5,1.1,5.9,1.44,2.62,2.3,1.57,1.93,1.78,2.15,1.65,,,5.9,9.0,18.5,55.0,6.1,5.7,12.0,35.0,9.5,9.0,15.0,45.0,21.0,21.0,35.0,80.0,800.0
10,2PxFbV5T,31/10/2024,14:30,ITALY - SERIE C,Latina,Monopoli,GROUP C ,3.0,2.8,2.57,1.57,2.3,1.13,5.2,1.53,2.35,2.55,1.45,2.05,1.7,,,1.57,2.3,5.2,6.2,11.25,29.0,6.9,5.6,10.25,27.0,14.0,11.25,17.0,45.0,40.0,32.0,50.0,110.0,201.0
