Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,OlfQJPv1,28/10/2024,10:00,ARMENIA - PREMIER LEAGUE,Pyunik Yerevan,Van,ROUND 13,1.33,4.5,7.3,1.31,3.15,1.02,10.0,1.17,3.78,1.62,2.02,1.98,1.79,,,,,12.0,16.0,37.0,120.0,6.0,7.9,19.5,65.0,5.5,7.2,17.0,60.0,7.1,9.25,22.0,75.0,500.0
2,ve5Ok7BM,28/10/2024,11:00,TURKEY - SUPER LIG,Basaksehir,Eyupspor,ROUND 10,2.1,3.4,3.4,1.4,2.75,1.06,10.0,1.29,3.5,1.95,1.9,1.73,2.0,2.1,1.7,1.33,3.3,10.0,11.0,17.0,34.0,8.0,6.5,12.0,26.0,10.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
3,OjZqvfQF,28/10/2024,12:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,Noah,ROUND 13,2.82,2.87,2.45,1.39,2.45,1.01,8.1,1.26,3.08,1.91,1.72,1.73,2.06,,,,,8.5,6.8,10.25,22.0,7.8,5.0,7.7,16.5,12.5,8.5,10.0,22.0,29.0,19.0,23.0,40.0,250.0
4,b7I8pNte,28/10/2024,13:00,ROMANIA - LIGA 1,FC Botosani,U. Cluj,ROUND 14,3.4,3.0,2.2,1.53,2.38,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67,3.3,1.33,1.65,2.2,6.5,6.0,9.5,21.0,8.0,6.0,10.0,21.0,15.0,13.0,19.0,41.0,41.0,34.0,41.0,67.0,1000.0
5,6BxQEhhJ,28/10/2024,13:00,BULGARIA - PARVA LIGA,Ludogorets,CSKA 1948 Sofia,ROUND 13,1.33,4.5,10.0,1.36,3.0,1.05,11.0,1.25,3.75,1.83,2.03,2.2,1.62,1.33,3.3,,,11.0,21.0,41.0,126.0,6.5,9.0,29.0,67.0,6.0,9.0,23.0,67.0,8.0,12.0,34.0,81.0,351.0
6,xQiOD6C7,28/10/2024,14:00,TURKEY - 1. LIG,Manisa FK,Erokspor,ROUND 10,1.85,3.5,3.7,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,1.73,2.0,1.88,1.93,1.26,3.7,12.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.5,8.5,15.0,34.0,17.0,15.0,23.0,41.0,201.0
7,OK8mlfzI,28/10/2024,14:00,TURKEY - SUPER LIG,Galatasaray,Besiktas,ROUND 10,1.8,4.0,3.8,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.53,2.38,1.85,2.0,1.28,3.55,19.0,17.0,23.0,41.0,11.0,8.0,13.0,26.0,11.0,8.5,12.0,29.0,17.0,13.0,19.0,34.0,101.0
8,8O4sn7oB,28/10/2024,15:00,ISRAEL - LIGAT HA'AL,Netanya,Hapoel Haifa,ROUND 8,2.1,3.4,3.2,1.33,3.25,1.04,13.0,1.22,4.0,1.8,2.0,1.62,2.2,2.1,1.7,1.35,3.1,12.0,12.0,17.0,34.0,9.0,6.5,12.0,23.0,11.0,9.0,13.0,29.0,21.0,17.0,23.0,41.0,151.0
9,fXd6EqHd,28/10/2024,15:00,PORTUGAL - LIGA PORTUGAL 2,Mafra,Leiria,ROUND 9,2.7,3.0,2.55,1.5,2.5,1.08,8.0,1.36,3.0,2.2,1.65,1.83,1.83,2.68,1.45,1.48,2.6,8.0,8.0,12.0,26.0,8.0,6.0,11.0,23.0,13.0,11.0,15.0,34.0,29.0,23.0,34.0,51.0,301.0
10,6FrwUX66,28/10/2024,15:00,POLAND - DIVISION 1,Tychy,Pruszkow,ROUND 14,2.2,3.2,3.0,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,1.83,1.83,2.25,1.63,1.38,3.0,9.0,9.0,15.0,34.0,7.5,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,301.0
11,E5ugXK3D,28/10/2024,15:00,PERU - LIGA 1,Alianza Atl.,Los Chankas,CLAUSURA ,1.6,3.75,5.75,1.25,3.75,1.03,17.0,1.17,5.0,1.83,2.03,1.62,2.2,1.53,2.43,1.14,5.75,11.0,15.0,29.0,51.0,7.5,7.5,19.0,41.0,7.5,8.5,15.0,41.0,12.0,13.0,26.0,51.0,251.0
12,zZCRIqKc,28/10/2024,15:00,SWEDEN - SUPERETTAN,Oddevold,Skovde AIK,ROUND 28,1.48,4.33,6.25,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.91,1.91,1.48,2.6,1.13,6.0,12.0,17.0,34.0,67.0,7.5,8.0,19.0,41.0,7.0,8.5,17.0,41.0,10.0,12.0,26.0,51.0,301.0
13,tbdUsFKa,28/10/2024,15:00,NORWAY - ELITESERIEN,Bodo/Glimt,Rosenborg,ROUND 26,1.5,4.75,5.25,1.25,3.75,1.02,21.0,1.14,5.5,1.48,2.6,1.62,2.2,1.48,2.6,1.17,5.0,21.0,21.0,34.0,51.0,10.0,9.5,17.0,41.0,9.0,8.5,15.0,34.0,12.0,11.0,19.0,41.0,126.0
14,je2YYz6p,28/10/2024,15:00,SWEDEN - ALLSVENSKAN,Djurgarden,Vasteras SK,ROUND 28,1.67,3.9,4.75,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.75,2.0,1.68,2.15,1.2,4.4,12.0,15.0,26.0,51.0,7.5,7.5,15.0,41.0,8.5,8.5,15.0,41.0,13.0,13.0,23.0,51.0,201.0
15,Y5lMvPwo,28/10/2024,15:00,ISRAEL - LIGAT HA'AL,Beitar Jerusalem,Maccabi Tel Aviv,ROUND 8,4.5,3.7,1.67,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,1.8,1.91,4.4,1.2,2.1,1.7,11.0,7.5,8.0,13.0,13.0,7.5,8.5,13.0,23.0,15.0,15.0,26.0,51.0,41.0,41.0,51.0,251.0
