NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
15,AqT0yNgQ,18/09/2024,13:00,ESTONIA - MEISTRILIIGA,Parnu JK Vaprus,Tammeka,ROUND 28,3.0,3.0,2.25,1.38,2.45,1.02,7.5,1.29,2.94,1.93,1.7,1.77,2.0,,,1.75,1.87,8.5,6.6,9.25,18.5,7.4,5.2,7.5,15.0,12.5,9.0,11.0,22.0,30.0,22.0,28.0,45.0,300.0
16,IgtAUgxq,18/09/2024,13:00,CYPRUS - CYTA CHAMPIONSHIP,Paphos,Nea Salamis,ROUND 1,1.38,4.6,7.7,1.29,3.35,1.03,10.0,1.17,4.65,1.53,2.45,1.72,2.0,,,,,10.0,22.0,65.0,200.0,7.7,9.75,24.0,80.0,7.9,8.75,17.5,60.0,10.25,11.25,23.0,65.0,450.0
17,80WAY2wH,18/09/2024,13:00,CYPRUS - CYTA CHAMPIONSHIP,Paralimni,APOEL,ROUND 1,8.25,4.8,1.35,1.38,3.0,1.05,8.75,1.25,3.75,1.75,2.05,2.1,1.65,,,,,8.75,6.2,6.4,8.75,17.5,10.0,9.25,12.5,60.0,28.0,26.0,35.0,250.0,110.0,110.0,150.0,1250.0
18,ULwIoug8,18/09/2024,14:00,SWEDEN - SUPERETTAN,Oster,Trelleborg,ROUND 23,1.5,4.33,5.5,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,1.7,2.05,1.5,2.5,1.15,5.5,15.0,19.0,34.0,67.0,9.0,8.5,17.0,41.0,8.5,8.5,15.0,41.0,11.0,11.0,21.0,41.0,151.0
19,S6dLpa8E,18/09/2024,14:00,SWEDEN - SUPERETTAN,Ostersund,Sundsvall,ROUND 23,1.67,3.8,4.75,1.33,3.25,1.04,13.0,1.22,4.0,1.8,2.0,1.75,2.0,1.68,2.15,1.19,4.5,13.0,15.0,26.0,51.0,8.0,7.5,15.0,34.0,8.5,8.5,15.0,41.0,13.0,13.0,23.0,41.0,201.0
20,SGaZMeG7,18/09/2024,14:00,SWEDEN - SUPERETTAN,Skovde AIK,Varberg,ROUND 23,3.2,3.5,2.1,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2,3.1,1.35,1.73,2.08,13.0,9.5,11.0,21.0,12.0,7.0,9.0,15.0,19.0,12.0,12.0,23.0,34.0,23.0,29.0,41.0,151.0
21,C8Tc9qkT,18/09/2024,14:00,TURKEY - SUPER LIG,Samsunspor,Basaksehir,ROUND 3,2.5,3.2,2.9,1.44,2.63,1.07,8.5,1.33,3.25,2.1,1.7,1.83,1.83,2.38,1.55,1.43,2.75,8.5,8.5,13.0,29.0,7.5,6.0,11.0,23.0,12.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
22,t0cNPcWl,18/09/2024,14:00,SWEDEN - SUPERETTAN,Orebro,Sandviken,ROUND 23,2.2,3.6,2.9,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,1.53,2.38,2.2,1.65,1.4,2.85,15.0,13.0,17.0,34.0,11.0,7.0,11.0,21.0,13.0,9.0,12.0,23.0,21.0,17.0,21.0,34.0,126.0
23,lQ0VNy11,18/09/2024,14:00,SWEDEN - SUPERETTAN,Brage,Utsikten,ROUND 23,1.67,3.9,4.5,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.8,1.95,1.7,2.1,1.22,4.15,12.0,13.0,23.0,51.0,7.5,7.5,15.0,34.0,8.5,8.5,15.0,41.0,13.0,13.0,23.0,51.0,201.0
24,lAt4AtrU,18/09/2024,14:00,NORWAY - ELITESERIEN,Brann,KFUM Oslo,ROUND 20,1.57,4.33,5.25,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.62,2.2,1.58,2.35,1.18,4.8,17.0,17.0,29.0,51.0,9.5,8.5,17.0,41.0,9.0,8.5,15.0,34.0,12.0,12.0,21.0,41.0,151.0
