Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,2kW8lVeC,06/09/2024,13:30,FRANCE - NATIONAL,Aubagne,Versailles,ROUND 4,3.3,2.87,2.27,1.44,2.42,1.07,6.45,1.39,2.55,2.15,1.55,1.82,1.78,,,,,7.3,6.5,10.25,24.0,8.75,5.6,9.25,21.0,17.5,11.25,14.5,35.0,50.0,32.0,40.0,75.0,700.0
2,ETaR6CBt,06/09/2024,13:30,FRANCE - NATIONAL,Le Mans,Dijon,ROUND 4,2.18,3.15,3.15,1.42,2.47,1.02,8.7,1.3,2.92,1.93,1.78,1.7,1.93,,,,,9.0,9.25,16.5,45.0,7.8,6.1,11.0,29.0,11.0,8.75,13.5,35.0,22.0,17.5,27.0,60.0,500.0
3,Mg3Z4jtg,06/09/2024,13:30,FRANCE - NATIONAL,Nancy,Villefranche,ROUND 4,1.95,3.25,3.65,1.42,2.47,1.02,9.0,1.29,3.0,1.9,1.8,1.7,1.91,1.91,1.8,,,9.75,10.5,20.0,55.0,7.4,6.4,12.5,35.0,9.5,8.25,14.0,40.0,17.5,15.5,26.0,65.0,500.0
4,r9ir3UA5,06/09/2024,13:30,FRANCE - NATIONAL,Nimes,Rouen,ROUND 4,2.15,3.2,3.2,1.4,2.52,1.02,8.6,1.31,2.87,1.91,1.7,1.72,1.88,,,,,9.25,9.5,16.5,40.0,7.3,6.2,11.25,28.0,10.25,8.75,14.0,35.0,21.0,18.0,29.0,65.0,500.0
5,Gz5k18uI,06/09/2024,13:30,FRANCE - NATIONAL,Orleans,Concarneau,ROUND 4,1.9,3.1,4.1,1.42,2.45,1.04,7.4,1.39,2.55,2.15,1.55,1.93,1.7,1.85,1.85,,,7.5,10.0,22.0,70.0,5.8,6.2,14.0,45.0,8.0,8.5,17.0,55.0,16.0,17.5,35.0,100.0,900.0
6,C2bbanAU,06/09/2024,13:30,FRANCE - NATIONAL,Paris 13 Atl.,Sochaux,ROUND 4,2.95,3.0,2.4,1.42,2.47,1.06,6.8,1.38,2.57,2.12,1.57,1.82,1.78,,,,,7.6,6.9,11.0,26.0,8.0,5.8,9.5,22.0,14.5,10.75,15.0,35.0,37.0,28.0,40.0,80.0,700.0
7,z3UGn9QO,06/09/2024,13:30,FRANCE - NATIONAL,Quevilly Rouen,Bourg en Bresse,ROUND 4,2.02,3.25,3.5,1.39,2.55,1.03,8.0,1.34,2.72,2.0,1.65,1.83,1.78,1.98,1.75,,,8.5,9.25,17.5,50.0,6.7,6.3,12.5,35.0,9.25,8.75,16.0,45.0,18.0,17.0,30.0,80.0,700.0
8,SEY7Jken,06/09/2024,13:30,FRANCE - NATIONAL,Valenciennes,Chateauroux,ROUND 4,1.95,3.05,3.95,1.45,2.37,1.06,6.6,1.42,2.47,2.18,1.53,1.93,1.7,1.93,1.78,,,7.0,9.0,20.0,65.0,5.9,6.0,14.0,45.0,8.5,8.75,17.0,60.0,17.5,17.5,35.0,100.0,1000.0
9,4h3eF7v9,06/09/2024,15:00,NETHERLANDS - EERSTE DIVISIE,De Graafschap,Eindhoven FC,ROUND 5,1.75,4.0,4.2,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.53,2.38,1.75,2.05,1.25,3.8,17.0,17.0,23.0,41.0,10.0,8.0,15.0,29.0,10.0,8.5,13.0,29.0,15.0,13.0,19.0,41.0,126.0
10,M1P4zs0H,06/09/2024,15:45,IRELAND - PREMIER DIVISION,Bohemians,Shelbourne,ROUND 19,2.5,3.2,2.6,1.5,2.5,1.08,8.0,1.44,2.63,2.35,1.57,2.0,1.75,2.43,1.53,1.45,2.68,7.5,7.0,12.0,29.0,7.0,6.5,11.0,26.0,12.0,10.0,17.0,41.0,26.0,23.0,41.0,67.0,451.0
11,hbs2OcAO,06/09/2024,16:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Newry City,Bangor FC,ROUND 6,2.42,3.7,2.45,1.21,3.9,1.01,12.0,1.16,4.5,1.45,2.37,1.4,2.5,,,,,18.0,13.5,16.5,28.0,13.0,8.0,9.75,17.0,16.0,9.75,11.0,19.5,28.0,17.0,20.0,32.0,175.0
12,O8WO5HUg,06/09/2024,16:00,SPAIN - LALIGA2,Tenerife,Racing Santander,ROUND 4,2.4,3.3,2.9,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83,2.35,1.58,1.4,2.85,9.0,8.5,15.0,29.0,7.5,6.5,11.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
13,jZz7JhTk,06/09/2024,16:00,SPAIN - PRIMERA RFEF,Cultural Leonesa,R. Sociedad B,GROUP 1 ,1.9,3.0,3.8,1.57,2.25,1.1,6.5,1.5,2.5,2.5,1.5,2.25,1.57,1.98,1.83,1.24,3.9,6.5,9.0,19.0,41.0,5.5,6.5,15.0,41.0,8.0,10.0,21.0,51.0,17.0,21.0,41.0,81.0,800.0
14,p0z5KwzQ,06/09/2024,16:00,SPAIN - PRIMERA RFEF,Merida AD,Algeciras,GROUP 2 ,1.8,3.25,4.0,1.53,2.38,1.08,7.0,1.44,2.63,2.38,1.53,2.2,1.62,1.85,1.95,1.24,3.9,7.0,9.0,19.0,41.0,5.5,7.0,15.0,41.0,7.5,9.5,21.0,51.0,15.0,19.0,41.0,81.0,900.0
15,tOP149mJ,06/09/2024,20:30,COLOMBIA - PRIMERA A,Junior,Pereira,CLAUSURA ,1.73,3.4,5.25,1.53,2.38,1.05,7.0,1.44,2.5,2.5,1.5,2.38,1.53,1.7,2.1,1.17,5.0,6.5,11.0,26.0,67.0,5.0,7.0,19.0,51.0,6.5,9.5,23.0,51.0,13.0,17.0,41.0,81.0,201.0
