Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,p65O2IoJ,19/08/2024,10:00,ARMENIA - PREMIER LEAGUE,Noah,West Armenia,ROUND 3,1.27,4.75,8.75,1.29,3.25,1.02,15.0,1.17,4.5,1.6,2.07,1.78,1.99,,,,,12.5,18.0,50.0,175.0,6.0,8.5,23.0,90.0,5.3,7.4,19.0,75.0,6.5,9.25,23.0,90.0,450.0
2,25fOhUDl,19/08/2024,11:00,ROMANIA - LIGA 2,Chindia Targoviste,Selimbar,ROUND 3,2.45,2.95,3.0,1.53,2.42,1.11,5.7,1.47,2.5,2.37,1.52,2.0,1.72,2.37,1.55,1.6,2.25,5.7,7.3,14.0,40.0,6.4,5.7,11.25,30.0,10.75,9.75,16.5,45.0,26.0,24.0,40.0,100.0,900.0
3,QPQcHH0C,19/08/2024,12:00,ARMENIA - PREMIER LEAGUE,Urartu,Ararat-Armenia,ROUND 3,4.25,3.55,1.7,1.4,2.42,1.02,8.6,1.3,3.08,1.93,1.72,1.9,1.86,,,1.91,1.7,9.25,5.5,6.4,10.5,9.25,6.0,7.1,11.75,18.5,12.0,14.0,23.0,50.0,32.0,40.0,65.0,500.0
4,KvlP3QHa,19/08/2024,13:00,NORWAY - OBOS-LIGAEN,Raufoss,Egersund,ROUND 19,3.0,3.6,2.0,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,1.53,2.38,3.1,1.35,1.77,1.97,15.0,10.0,12.0,19.0,13.0,7.5,9.0,15.0,19.0,11.0,12.0,21.0,34.0,23.0,26.0,41.0,126.0
5,Umt9hYGs,19/08/2024,13:00,BULGARIA - PARVA LIGA,Botev Vratsa,Septemvri Sofia,ROUND 5,1.9,3.3,4.2,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.73,1.93,1.93,1.23,4.0,7.5,10.0,21.0,41.0,6.0,6.5,15.0,41.0,8.0,9.0,17.0,41.0,15.0,17.0,34.0,67.0,1250.0
6,dnE97D9d,19/08/2024,13:00,ROMANIA - LIGA 1,U. Cluj,Sepsi Sf. Gheorghe,ROUND 6,2.1,3.2,3.5,1.44,2.63,1.08,8.0,1.36,3.0,2.2,1.65,1.91,1.8,2.08,1.73,1.3,3.45,8.0,9.5,17.0,41.0,6.5,6.0,13.0,34.0,9.5,9.5,17.0,41.0,19.0,19.0,34.0,51.0,351.0
7,t4ZkclrT,19/08/2024,13:30,ITALY - SERIE A,Lecce,Atalanta,ROUND 1,4.0,3.6,1.91,1.4,2.75,1.05,11.0,1.3,3.5,1.97,1.93,1.8,1.95,3.55,1.28,1.95,1.95,11.0,7.5,9.0,17.0,11.0,7.0,8.5,15.0,19.0,13.0,15.0,26.0,41.0,29.0,34.0,51.0,251.0
8,nHbvGTwA,19/08/2024,14:00,DENMARK - SUPERLIGA,Aarhus,Vejle,ROUND 5,1.57,3.9,5.75,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,1.95,1.8,1.58,2.35,1.15,5.5,10.0,13.0,29.0,67.0,6.5,7.5,17.0,41.0,7.0,8.5,19.0,51.0,11.0,13.0,29.0,51.0,351.0
9,tlkL462g,19/08/2024,14:00,NORWAY - OBOS-LIGAEN,Ranheim,Mjondalen,ROUND 19,1.53,4.2,4.75,1.22,4.0,1.02,21.0,1.11,6.5,1.4,2.88,1.5,2.5,1.55,2.38,1.17,5.0,21.0,23.0,34.0,51.0,12.0,9.5,17.0,34.0,11.0,9.0,13.0,29.0,13.0,11.0,17.0,34.0,101.0
10,OCfG5nmm,19/08/2024,14:00,NORWAY - OBOS-LIGAEN,Moss,Sogndal,ROUND 19,2.2,3.4,2.8,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,1.67,2.1,2.25,1.63,1.43,2.75,12.0,10.0,15.0,29.0,9.0,7.0,11.0,21.0,12.0,9.5,13.0,29.0,21.0,17.0,26.0,41.0,151.0
11,pMeC6SXt,19/08/2024,14:00,NORWAY - OBOS-LIGAEN,Lyn,Start,ROUND 19,1.48,4.33,5.0,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.7,1.57,2.25,1.5,2.5,1.16,5.25,19.0,21.0,34.0,51.0,10.0,9.5,17.0,41.0,9.5,8.5,15.0,34.0,12.0,11.0,19.0,41.0,126.0
