Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,C81gKcbc,28/11/2024,00:10,MEXICO - LIGA MX,Club Tijuana,Cruz Azul,APERTURA ,3.5,3.3,2.15,1.4,2.75,1.06,10.0,1.29,3.5,2.0,1.85,1.75,2.0,3.45,1.3,1.7,2.1,10.0,8.0,10.0,19.0,11.0,6.0,9.0,17.0,17.0,12.0,13.0,26.0,41.0,29.0,34.0,41.0,201.0
2,xjgVeHTp,28/11/2024,07:00,SOUTH KOREA - K LEAGUE 1,Asan,Daegu,RELEGATION ,3.0,3.25,2.1,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.91,1.91,3.0,1.38,1.68,2.15,9.0,7.0,10.0,21.0,8.5,6.5,9.5,19.0,15.0,11.0,17.0,29.0,34.0,26.0,34.0,51.0,301.0
3,zqCXgIwS,28/11/2024,07:00,ARMENIA - PREMIER LEAGUE,FC Gandzasar,Urartu,ROUND 18,15.5,6.0,1.14,1.26,3.48,1.03,11.9,1.12,4.45,1.55,2.15,2.51,1.5,,,,,13.5,6.3,4.8,5.1,32.0,12.0,9.0,9.5,120.0,45.0,30.0,32.0,400.0,250.0,150.0,150.0,
4,lleFOanB,28/11/2024,11:45,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Feiha,Al Orubah,ROUND 12,2.0,3.4,3.3,1.4,2.75,1.06,8.0,1.3,3.4,2.0,1.8,1.8,1.91,2.05,1.75,1.33,3.3,10.0,10.0,17.0,34.0,7.5,6.5,12.0,29.0,10.0,9.0,15.0,34.0,17.0,17.0,29.0,51.0,600.0
5,rBQkpUIO,28/11/2024,12:00,ROMANIA - LIGA 2,Ceahlaul,FC Arges,ROUND 15,2.47,2.95,3.0,1.55,2.3,1.1,5.8,1.45,2.55,2.32,1.53,1.95,1.75,,,,,5.8,7.6,14.0,37.0,6.5,5.7,10.75,29.0,11.0,9.75,16.0,45.0,26.0,24.0,40.0,90.0,900.0
6,SI8Pev9F,28/11/2024,12:00,ARMENIA - PREMIER LEAGUE,Shirak Gyumri,Pyunik Yerevan,ROUND 18,7.8,4.3,1.33,1.36,2.52,1.03,8.8,1.22,3.34,1.8,1.8,2.32,1.58,,,,,10.0,5.1,4.9,6.7,14.0,7.6,7.4,10.0,40.0,21.0,20.0,27.0,150.0,80.0,75.0,100.0,101.0
7,vyTPDrYh,28/11/2024,12:05,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Okhdood,Al Kholood,ROUND 12,1.9,3.4,3.6,1.4,2.75,1.05,8.5,1.29,3.5,1.95,1.85,1.8,1.91,1.95,1.85,1.28,3.55,10.0,12.0,19.0,41.0,7.5,7.0,13.0,29.0,9.5,9.0,15.0,34.0,17.0,15.0,26.0,51.0,600.0
8,Gzc7QLHb,28/11/2024,14:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Fateh,Al Riyadh,ROUND 12,2.35,3.2,2.8,1.4,2.75,1.05,8.5,1.29,3.5,1.9,1.9,1.73,2.0,2.35,1.58,1.4,2.85,10.0,10.0,15.0,29.0,8.5,6.5,11.0,23.0,12.0,10.0,13.0,34.0,23.0,19.0,29.0,41.0,151.0
9,Kd1gtxCs,28/11/2024,14:45,EUROPE - EUROPA LEAGUE,Anderlecht,FC Porto,LEAGUE PHASE ,3.4,3.3,2.2,1.36,3.0,1.05,11.0,1.25,4.0,1.87,2.03,1.67,2.1,3.3,1.33,1.7,2.1,11.0,9.0,11.0,21.0,12.0,6.5,9.0,17.0,17.0,12.0,12.0,23.0,34.0,26.0,29.0,41.0,151.0
10,Q16AdDDa,28/11/2024,14:45,EUROPE - EUROPA LEAGUE,Ath Bilbao,Elfsborg,LEAGUE PHASE ,1.22,8.0,10.0,1.25,3.75,1.02,21.0,1.14,5.5,1.44,2.75,2.05,1.7,1.21,4.25,,,21.0,23.0,51.0,126.0,9.0,15.0,26.0,67.0,6.5,10.0,29.0,51.0,7.5,11.0,29.0,81.0,401.0
11,p8OthOnQ,28/11/2024,14:45,EUROPE - EUROPA LEAGUE,AZ Alkmaar,Galatasaray,LEAGUE PHASE ,3.2,3.6,2.15,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.5,2.5,3.0,1.38,1.7,2.1,17.0,11.0,13.0,21.0,13.0,7.5,9.0,15.0,19.0,11.0,12.0,21.0,34.0,21.0,23.0,34.0,101.0
12,bwedQauQ,28/11/2024,14:45,EUROPE - EUROPA LEAGUE,Besiktas,Maccabi Tel Aviv,LEAGUE PHASE ,1.57,4.1,5.75,1.3,3.4,1.03,15.0,1.2,4.5,1.62,2.3,1.67,2.1,1.55,2.38,1.15,5.5,15.0,19.0,34.0,51.0,9.0,8.0,17.0,41.0,8.5,8.5,13.0,41.0,12.0,12.0,21.0,41.0,151.0
13,d2jsHPxg,28/11/2024,14:45,EUROPE - EUROPA LEAGUE,Dyn. Kyiv,Plzen,LEAGUE PHASE ,2.5,3.3,2.88,1.4,2.75,1.06,10.0,1.3,3.5,2.04,1.86,1.75,2.0,2.38,1.55,1.43,2.75,10.0,9.5,15.0,29.0,8.5,6.0,11.0,23.0,12.0,10.0,13.0,29.0,23.0,21.0,29.0,41.0,201.0
14,4bb4KU84,28/11/2024,14:45,EUROPE - EUROPA LEAGUE,RFS,PAOK,LEAGUE PHASE ,4.5,3.8,1.73,1.33,3.25,1.04,12.0,1.22,4.33,1.73,2.1,1.7,2.05,4.4,1.2,2.1,1.7,12.0,8.0,8.5,13.0,15.0,7.0,8.5,13.0,26.0,15.0,15.0,23.0,51.0,34.0,41.0,41.0,201.0
15,t26W6HwC,28/11/2024,14:45,EUROPE - EUROPA LEAGUE,Lazio,Ludogorets,LEAGUE PHASE ,1.29,5.75,10.0,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.5,1.95,1.8,1.26,3.7,,,17.0,23.0,41.0,101.0,8.5,11.0,26.0,51.0,6.5,9.0,21.0,51.0,8.0,11.0,26.0,67.0,351.0
16,IwQiqlLh,28/11/2024,14:45,EUROPE - EUROPA LEAGUE,Qarabag,Lyon,LEAGUE PHASE ,3.5,3.75,2.0,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.38,1.5,2.5,3.3,1.33,1.86,2.04,17.0,11.0,12.0,19.0,15.0,7.5,9.0,15.0,21.0,12.0,12.0,21.0,41.0,23.0,26.0,34.0,101.0
17,EouYkCd3,28/11/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Santa Cruz,Independiente,CLAUSURA ,1.95,3.3,3.5,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,1.67,2.1,2.0,1.8,1.3,3.45,12.0,12.0,19.0,41.0,8.5,6.5,13.0,29.0,10.0,9.0,13.0,34.0,17.0,15.0,23.0,41.0,151.0
