Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,21pBZo3B,07/11/2024,00:05,MEXICO - LIGA MX,Atlas,Cruz Azul,APERTURA ,4.5,3.5,1.75,1.5,2.5,1.08,7.5,1.4,2.75,2.3,1.6,2.1,1.67,4.5,1.19,2.05,1.75,7.5,5.5,7.0,13.0,10.0,7.0,9.0,17.0,23.0,17.0,21.0,34.0,51.0,41.0,51.0,67.0,501.0
2,fys3y8Yb,07/11/2024,00:06,MEXICO - LIGA MX,Juarez,Club Tijuana,APERTURA ,3.0,3.5,2.25,1.3,3.4,1.03,15.0,1.17,5.0,1.6,2.3,1.53,2.38,2.85,1.4,1.63,2.25,15.0,11.0,13.0,21.0,13.0,7.0,9.5,17.0,17.0,11.0,11.0,21.0,29.0,21.0,26.0,34.0,101.0
3,ziM8ZbGt,07/11/2024,08:00,ARMENIA - PREMIER LEAGUE,FC Gandzasar,Pyunik Yerevan,ROUND 4,13.5,6.2,1.14,1.2,4.05,,,1.07,5.45,1.34,2.69,2.16,1.66,,,,,17.5,7.6,5.5,5.7,35.0,12.0,8.75,9.0,100.0,37.0,25.0,25.0,450.0,175.0,110.0,100.0,201.0
4,A3XSBcko,07/11/2024,09:00,ROMANIA - LIGA 2,Selimbar,CSM Resita,ROUND 13,2.12,3.05,3.6,1.52,2.45,1.1,5.7,1.47,2.52,2.35,1.52,2.05,1.7,2.07,1.7,,,5.7,8.25,17.5,55.0,5.8,6.0,13.0,40.0,9.0,9.0,17.5,55.0,19.5,20.0,40.0,110.0,700.0
5,YyDJubM9,07/11/2024,11:30,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Qadisiya,Al Feiha,ROUND 10,1.4,4.75,6.0,1.33,3.25,1.03,10.0,1.22,4.0,1.73,2.08,2.0,1.73,1.43,2.75,1.14,5.75,13.0,15.0,34.0,67.0,7.0,9.5,19.0,41.0,7.0,9.0,21.0,41.0,9.5,12.0,29.0,67.0,1000.0
6,jLidFcME,07/11/2024,12:00,EGYPT - PREMIER LEAGUE,Ghazl El Mahallah,El Gaish,ROUND 2,2.65,2.57,3.2,1.55,2.37,1.13,5.1,1.5,2.42,2.5,1.47,1.93,1.78,2.55,1.47,,,5.1,7.5,16.0,45.0,6.6,5.1,11.25,35.0,12.5,9.75,14.5,45.0,32.0,26.0,40.0,80.0,800.0
7,boe4DyiR,07/11/2024,12:00,EGYPT - PREMIER LEAGUE,Al Ittihad,Haras El Hodood,ROUND 2,1.75,3.15,5.1,1.45,2.57,1.09,6.1,1.4,2.72,2.2,1.62,2.0,1.72,1.72,2.05,,,6.1,11.5,29.0,100.0,5.6,6.2,16.5,60.0,7.4,8.25,17.0,60.0,14.0,15.5,32.0,100.0,900.0
8,8fR1hy6F,07/11/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Kholood,Al Shabab,ROUND 10,3.8,3.25,1.9,1.44,2.63,1.06,8.0,1.33,3.25,2.08,1.73,2.0,1.73,3.7,1.26,1.85,1.95,8.5,6.5,8.5,15.0,10.0,6.5,9.0,17.0,19.0,15.0,17.0,34.0,41.0,34.0,41.0,51.0,800.0
9,UDPaReIr,07/11/2024,12:30,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,CSKA Sofia,ROUND 4,4.0,3.3,1.95,1.44,2.63,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8,3.8,1.25,1.85,2.0,8.0,6.5,8.5,17.0,10.0,6.5,9.0,17.0,19.0,15.0,17.0,34.0,41.0,34.0,41.0,51.0,351.0
10,O6ibYFEq,07/11/2024,14:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Orubah,Al Ittihad,ROUND 10,6.25,4.5,1.42,1.29,3.5,1.01,15.0,1.17,4.5,1.57,2.35,1.8,1.91,6.0,1.13,2.75,1.43,15.0,8.5,8.0,10.0,21.0,9.0,9.0,11.0,34.0,21.0,17.0,23.0,67.0,41.0,41.0,51.0,450.0
