NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,x2LsyuqC,14/08/2024,11:30,EGYPT - PREMIER LEAGUE,Al Masry,ZED,ROUND 33,2.37,3.0,2.95,1.44,2.65,1.03,8.0,1.31,2.9,1.98,1.75,1.65,1.98,,,,,8.75,9.0,15.5,40.0,8.0,5.9,10.5,26.0,12.0,9.0,13.0,32.0,26.0,19.5,28.0,60.0,450.0
2,GnXYx1Ea,14/08/2024,11:30,EGYPT - PREMIER LEAGUE,Zamalek,El Gaish,ROUND 33,1.55,3.65,5.8,1.42,2.45,1.03,8.0,1.35,2.72,2.02,1.62,2.05,1.6,,,,,8.25,12.5,35.0,120.0,5.5,7.3,19.5,75.0,6.4,8.5,21.0,80.0,10.75,14.0,35.0,120.0,201.0
3,lC3ORmCB,14/08/2024,14:00,NORWAY - ELITESERIEN,Fredrikstad,Haugesund,ROUND 12,1.67,3.6,5.5,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,1.95,1.8,1.68,2.15,1.16,5.25,9.0,13.0,26.0,51.0,6.5,7.0,17.0,41.0,7.5,8.5,17.0,41.0,13.0,15.0,29.0,51.0,351.0
4,xb11R2g2,14/08/2024,14:00,NORWAY - OBOS-LIGAEN,Levanger,Mjondalen,ROUND 15,1.62,4.2,4.75,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.53,2.38,1.65,2.2,1.21,4.25,19.0,19.0,29.0,51.0,11.0,8.5,15.0,34.0,10.0,8.5,13.0,29.0,13.0,12.0,19.0,34.0,101.0
5,Yqs0n4VR,14/08/2024,14:00,NORWAY - OBOS-LIGAEN,Sandnes,Aalesund,ROUND 15,3.6,3.9,1.9,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.44,2.63,3.45,1.3,1.9,1.95,19.0,12.0,12.0,19.0,17.0,8.0,9.0,13.0,23.0,13.0,11.0,19.0,41.0,23.0,26.0,34.0,101.0
6,r1mFIWSp,14/08/2024,15:00,EGYPT - PREMIER LEAGUE,Enppi,Al Ahly,ROUND 33,3.6,3.2,2.02,1.44,2.42,1.03,8.3,1.32,2.82,1.93,1.7,1.75,1.85,,,1.75,1.98,8.75,6.9,9.5,18.5,10.0,6.2,8.5,16.5,19.0,12.0,14.5,28.0,55.0,35.0,40.0,70.0,600.0
7,dtV1tzLi,14/08/2024,15:00,EGYPT - PREMIER LEAGUE,Pyramids,El Daklyeh,ROUND 33,1.17,5.9,15.5,1.24,3.8,1.01,16.0,1.19,3.75,1.47,2.35,2.15,1.55,,,,,15.5,45.0,150.0,800.0,7.7,13.0,50.0,250.0,5.9,9.75,30.0,150.0,6.5,10.75,32.0,150.0,201.0
8,0CrqRkXj,14/08/2024,18:00,VENEZUELA - LIGA FUTVE,Monagas,Universidad Central,CLAUSURA ,2.4,2.77,3.2,1.52,2.22,1.07,6.4,1.47,2.32,2.37,1.45,1.98,1.65,,,,,6.2,7.1,15.0,45.0,6.4,5.5,12.0,37.0,11.0,9.5,16.5,55.0,26.0,23.0,40.0,100.0,201.0
9,UDyM77RO,14/08/2024,19:30,BRAZIL - SERIE A,Internacional,Juventude,ROUND 6,1.62,4.2,5.25,1.4,2.75,1.04,10.0,1.3,3.4,2.07,1.83,2.0,1.75,1.6,2.3,1.17,5.0,10.0,12.0,26.0,51.0,6.0,7.5,17.0,41.0,7.0,8.5,19.0,51.0,12.0,15.0,29.0,67.0,451.0
10,zkNooBOM,14/08/2024,20:45,VENEZUELA - LIGA FUTVE,Puerto Cabello,La Guaira,CLAUSURA ,2.27,2.88,3.31,1.51,2.4,1.08,6.5,1.48,2.46,2.5,1.49,2.2,1.64,,,,,5.5,6.5,12.0,36.0,5.0,5.0,10.0,26.0,8.0,8.0,14.0,51.0,19.0,19.0,36.0,91.0,201.0
