Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,fycRXpkL,11/11/2024,00:10,MEXICO - LIGA MX,Club Tijuana,Puebla,APERTURA ,1.5,4.33,6.25,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.7,2.05,1.48,2.6,1.14,5.75,15.0,19.0,34.0,67.0,9.0,8.5,19.0,41.0,8.5,8.5,15.0,41.0,11.0,11.0,21.0,41.0,151.0
2,MqK85ZJj,11/11/2024,08:00,ARMENIA - PREMIER LEAGUE,Van,Urartu,ROUND 16,3.2,3.15,2.1,1.34,2.99,8.7,1.04,1.2,3.52,1.78,1.85,1.63,2.22,,,,,10.0,7.1,9.25,17.0,8.75,5.5,7.2,13.0,14.5,9.25,10.25,18.5,35.0,22.0,25.0,37.0,250.0
3,AJqi3rWo,11/11/2024,09:00,SERBIA - PRVA LIGA,Mladost GAT,Graficar Beograd,ROUND 15,1.75,3.25,4.4,1.47,2.22,1.04,6.16,1.35,2.65,2.15,1.55,2.07,1.72,,,,,7.3,8.25,18.5,55.0,4.75,5.6,12.5,40.0,6.1,7.2,15.5,50.0,11.0,13.0,27.0,80.0,101.0
4,GbTuuWqd,11/11/2024,09:00,SERBIA - PRVA LIGA,Dubocica,Smederevo,ROUND 15,2.22,3.0,3.05,1.45,2.25,1.01,8.1,1.33,2.73,2.07,1.6,1.87,1.89,,,,,7.7,7.2,12.5,32.0,5.8,5.2,9.25,23.0,8.5,7.7,12.0,30.0,17.5,16.0,25.0,55.0,400.0
5,I5hlJucB,11/11/2024,09:00,ROMANIA - LIGA 2,Metaloglobus Bucharest,Steaua Bucuresti,ROUND 13,2.75,3.05,2.57,1.5,2.47,1.08,6.4,1.38,2.82,2.15,1.65,1.82,1.88,,,1.53,2.4,6.4,7.4,12.0,28.0,8.0,5.9,9.75,23.0,13.5,10.0,14.5,35.0,32.0,24.0,35.0,75.0,600.0
6,lpDaa0VA,11/11/2024,09:00,SERBIA - PRVA LIGA,Trayal Krusevac,Radnik,ROUND 15,2.55,3.05,2.55,1.5,2.18,1.06,5.8,1.41,2.45,2.25,1.5,1.95,1.81,,,,,7.1,5.8,9.5,21.0,5.8,5.3,8.75,19.5,9.5,8.75,14.0,32.0,21.0,19.5,32.0,75.0,101.0
7,IV3BPfBM,11/11/2024,10:00,ARMENIA - PREMIER LEAGUE,BKMA,FC Gandzasar,ROUND 16,1.35,4.5,7.0,1.32,3.1,1.01,10.4,1.18,3.66,1.62,2.02,1.95,1.81,,,,,12.5,15.5,35.0,120.0,6.0,7.9,18.5,60.0,5.5,7.2,17.0,55.0,7.2,9.5,22.0,75.0,500.0
8,8IFiFYon,11/11/2024,13:00,ROMANIA - LIGA 1,Gloria Buzau,Petrolul,ROUND 16,2.9,3.0,2.5,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.0,1.73,2.85,1.4,1.53,2.43,7.0,7.0,11.0,23.0,7.5,6.0,10.0,23.0,13.0,12.0,17.0,41.0,29.0,29.0,41.0,67.0,1000.0
9,G6XVkCH8,11/11/2024,15:00,DENMARK - 1ST DIVISION,Hobro,Hillerod,ROUND 16,2.63,3.7,2.38,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,1.57,2.25,2.6,1.48,1.58,2.35,15.0,11.0,13.0,23.0,11.0,7.5,9.5,17.0,15.0,10.0,12.0,23.0,26.0,19.0,23.0,41.0,126.0
10,W0WFVFMb,11/11/2024,16:00,COLOMBIA - PRIMERA A,La Equidad,Dep. Pasto,CLAUSURA ,3.0,2.9,2.6,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.1,1.67,3.0,1.38,1.5,2.5,6.0,6.5,11.0,26.0,7.0,5.5,11.0,26.0,13.0,12.0,19.0,41.0,34.0,29.0,41.0,67.0,201.0
11,Obk4TfWF,11/11/2024,16:00,ROMANIA - LIGA 1,Otelul,CFR Cluj,ROUND 6,3.7,3.0,2.2,1.5,2.5,1.08,8.0,1.4,2.75,2.35,1.57,1.91,1.8,3.55,1.28,1.68,2.15,7.0,6.5,9.5,21.0,9.0,6.0,9.5,21.0,17.0,13.0,15.0,34.0,41.0,34.0,41.0,51.0,351.0
12,AF7qXqTh,11/11/2024,16:30,ITALY - SERIE C,Turris,Altamura,GROUP C ,2.95,2.77,2.5,1.52,2.42,1.11,5.6,1.45,2.55,2.35,1.53,1.93,1.78,,,1.5,2.45,5.6,6.8,11.75,29.0,7.3,5.5,9.5,23.0,14.0,11.0,15.0,37.0,40.0,32.0,45.0,90.0,800.0
13,Qg4KjYin,11/11/2024,16:30,ITALY - SERIE C,Padova,Novara,GROUP A ,1.5,3.55,6.5,1.47,2.55,1.09,6.1,1.44,2.62,2.3,1.57,2.37,1.52,,,,,6.1,13.0,40.0,175.0,4.85,7.4,23.0,100.0,5.7,8.75,25.0,110.0,9.75,15.0,45.0,175.0,201.0
14,KpqRE2DO,11/11/2024,16:30,ITALY - SERIE C,Taranto,Audace Cerignola,GROUP C ,6.6,3.0,1.62,1.47,2.5,1.11,5.7,1.42,2.65,2.27,1.6,2.05,1.7,,,2.15,1.65,5.7,5.2,6.8,12.5,14.0,6.1,8.0,15.0,45.0,21.0,18.0,32.0,200.0,100.0,80.0,110.0,900.0
15,Wj3sKyQp,11/11/2024,16:30,SPAIN - LALIGA2,Dep. La Coruna,Eibar,ROUND 14,2.0,3.2,4.0,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,1.91,1.8,2.05,1.8,1.26,3.7,8.0,10.0,19.0,41.0,6.5,6.0,13.0,34.0,9.0,9.0,15.0,41.0,17.0,17.0,29.0,51.0,351.0
16,K8FqZP1I,11/11/2024,17:00,ECUADOR - LIGA PRO,Imbabura,Dep. Cuenca,SECOND STAGE ,2.4,3.5,2.7,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.85,1.73,2.0,2.43,1.53,1.48,2.6,11.0,9.0,13.0,29.0,8.5,6.5,10.0,21.0,12.0,9.5,15.0,29.0,23.0,21.0,29.0,51.0,201.0
17,Ic6tHG75,11/11/2024,18:10,COLOMBIA - PRIMERA A,Atl. Nacional,Ind. Medellin,CLAUSURA ,1.95,3.5,3.75,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.91,1.8,2.0,1.85,1.28,3.55,9.0,10.0,19.0,41.0,6.5,7.0,13.0,34.0,8.5,9.0,17.0,41.0,17.0,17.0,29.0,51.0,351.0
18,viTNEGHl,11/11/2024,18:30,BRAZIL - SERIE B,Vila Nova FC,Ponte Preta,ROUND 36,1.9,3.4,4.2,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,2.0,1.73,1.9,1.95,1.23,4.0,8.0,10.0,21.0,41.0,6.0,6.5,15.0,41.0,8.0,9.0,19.0,41.0,15.0,17.0,34.0,67.0,1000.0
