Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,ljzNcQTK,04/10/2024,07:00,JAPAN - J1 LEAGUE,Avispa Fukuoka,Nagoya Grampus,ROUND 33,2.7,3.1,2.8,1.67,2.1,1.11,6.5,1.62,2.2,2.88,1.4,2.25,1.57,2.6,1.48,1.45,2.68,6.0,6.0,12.0,29.0,6.0,6.5,12.0,29.0,11.0,11.0,23.0,41.0,29.0,29.0,41.0,101.0,201.0
2,ALAIvLAk,04/10/2024,09:00,BULGARIA - PARVA LIGA,Krumovgrad,CSKA 1948 Sofia,ROUND 11,3.0,3.2,2.4,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,2.2,1.62,2.85,1.4,1.55,2.38,7.0,6.0,10.0,23.0,7.0,6.5,10.0,23.0,13.0,12.0,19.0,41.0,34.0,29.0,41.0,81.0,1250.0
3,ryEt6did,04/10/2024,09:30,UKRAINE - PREMIER LEAGUE,Ch. Odesa,Obolon,ROUND 9,2.62,2.75,2.9,1.47,2.32,1.09,7.4,1.45,2.37,2.32,1.47,1.88,1.72,,,,,6.4,7.2,14.0,37.0,6.7,5.4,10.75,29.0,12.0,10.0,15.5,40.0,32.0,26.0,40.0,90.0,900.0
4,lEWwgqjl,04/10/2024,10:00,SERBIA - PRVA LIGA,Vrsac,Trayal Krusevac,ROUND 10,1.85,3.05,4.2,1.47,2.22,1.03,6.75,1.37,2.58,2.05,1.62,2.07,1.72,1.78,1.82,,,7.6,8.25,18.0,55.0,5.5,5.3,11.75,37.0,7.2,6.9,12.5,40.0,13.0,12.5,22.0,60.0,450.0
5,4I40kxP7,04/10/2024,11:30,BULGARIA - PARVA LIGA,Arda,Beroe,ROUND 11,1.8,3.25,4.75,1.62,2.2,1.13,6.0,1.57,2.25,2.7,1.44,2.5,1.5,1.83,2.03,1.19,4.5,6.0,9.0,23.0,51.0,4.75,7.0,17.0,51.0,7.0,10.0,23.0,51.0,15.0,21.0,41.0,101.0,201.0
6,Qawy91Dn,04/10/2024,12:00,FINLAND - VEIKKAUSLIIGA,VPS,Ilves,CHAMPIONSHIP GROUP,4.1,3.9,1.7,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,1.53,2.38,4.1,1.23,2.1,1.7,19.0,10.0,10.0,15.0,17.0,8.0,8.5,12.0,26.0,15.0,12.0,19.0,41.0,29.0,29.0,34.0,101.0
7,lxLX7IMq,04/10/2024,12:00,UKRAINE - PREMIER LEAGUE,Karpaty Lviv,Inhulets,ROUND 9,1.8,3.15,4.6,1.42,2.47,1.04,9.15,1.35,2.72,2.02,1.62,1.85,1.75,1.78,1.93,,,8.0,11.75,27.0,90.0,6.0,6.2,14.5,50.0,7.9,8.25,15.5,50.0,15.0,16.0,30.0,80.0,700.0
8,EyKQbzCk,04/10/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Khaleej,Al Kholood,ROUND 6,2.3,3.3,2.88,1.4,2.75,1.05,8.5,1.29,3.5,1.93,1.88,1.73,2.0,2.3,1.6,1.4,2.85,10.0,9.5,15.0,29.0,8.5,6.5,11.0,23.0,12.0,10.0,15.0,34.0,21.0,19.0,29.0,41.0,500.0
9,4nCuUtuH,04/10/2024,12:00,ROMANIA - LIGA 1,UTA Arad,Petrolul,ROUND 12,2.25,3.25,3.0,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83,2.2,1.65,1.38,3.0,8.5,8.5,13.0,29.0,7.5,5.0,11.0,23.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
10,EgDde15c,04/10/2024,12:15,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Riyadh,Al Qadisiya,ROUND 6,5.5,4.0,1.48,1.4,2.75,1.05,8.5,1.3,3.4,1.95,1.85,2.1,1.67,5.75,1.14,2.5,1.5,10.0,6.0,6.5,10.0,13.0,8.5,9.0,13.0,29.0,19.0,21.0,34.0,67.0,51.0,51.0,67.0,1000.0
