NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,nPbv5DhT,13/10/2024,07:00,SPAIN - PRIMERA RFEF,Ceuta,CF Intercity,GROUP 2 ,1.62,3.6,4.5,1.4,2.75,1.03,9.5,1.33,3.25,2.05,1.75,2.0,1.73,1.93,1.88,1.19,4.5,9.5,12.0,23.0,51.0,6.5,7.5,17.0,41.0,7.5,9.0,19.0,41.0,12.0,15.0,29.0,67.0,700.0
2,jBQAxmhI,13/10/2024,07:00,SPAIN - PRIMERA RFEF,Unionistas,Lugo,GROUP 1 ,2.1,2.8,3.6,1.62,2.2,1.11,6.0,1.5,2.5,2.63,1.44,2.25,1.57,2.1,1.7,1.26,3.7,6.0,8.0,17.0,41.0,5.5,6.0,15.0,41.0,9.0,10.0,21.0,51.0,19.0,23.0,41.0,81.0,67.0
3,rosRJGQH,13/10/2024,07:30,ITALY - SERIE C,Campobasso,Spal,GROUP B ,2.65,2.95,2.72,1.52,2.42,1.1,5.7,1.47,2.5,2.37,1.52,2.0,1.72,2.05,1.72,,,5.7,6.9,12.5,32.0,6.8,5.8,10.5,27.0,12.0,10.25,16.5,45.0,30.0,26.0,40.0,100.0,900.0
4,44HSOBgM,13/10/2024,09:00,SPAIN - LALIGA2,Huesca,Albacete,ROUND 9,2.45,2.9,3.2,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.0,1.73,2.38,1.55,1.35,3.1,7.0,8.0,15.0,34.0,6.5,6.0,12.0,29.0,11.0,10.0,17.0,41.0,23.0,23.0,41.0,67.0,900.0
5,QaLWFgmA,13/10/2024,09:30,NETHERLANDS - EERSTE DIVISIE,Maastricht,Venlo,ROUND 10,2.1,3.6,3.2,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,2.08,1.73,1.35,3.1,15.0,15.0,19.0,34.0,11.0,7.0,12.0,23.0,12.0,9.0,11.0,26.0,21.0,15.0,21.0,34.0,101.0
6,WAFtqV4j,13/10/2024,10:00,ITALY - SERIE C,Benevento,Latina,GROUP C ,1.42,4.3,7.0,1.37,2.87,1.05,7.8,1.27,3.45,1.8,1.93,2.02,1.7,,,,,7.8,17.0,45.0,175.0,6.4,8.5,22.0,80.0,6.3,8.25,21.0,80.0,9.0,12.0,30.0,110.0,1000.0
7,40VZHfeU,13/10/2024,10:00,ITALY - SERIE C,Legnago Salus,Gubbio,GROUP B ,4.8,3.15,1.8,1.52,2.45,1.1,5.7,1.47,2.52,2.35,1.53,2.12,1.65,,,1.98,1.78,5.7,5.4,7.4,14.5,9.75,6.3,8.5,16.5,25.0,16.5,19.5,37.0,90.0,65.0,75.0,120.0,800.0
8,WURd5DuB,13/10/2024,10:00,SERBIA - PRVA LIGA,Zemun,Borac 1926,ROUND 11,2.77,2.7,2.65,1.5,2.15,1.05,6.0,1.5,2.27,2.42,1.42,2.05,1.73,,,,,6.0,5.4,9.75,24.0,6.0,4.75,8.75,22.0,10.75,8.75,13.0,35.0,27.0,21.0,32.0,70.0,101.0
9,6mtuIjPG,13/10/2024,10:00,SERBIA - PRVA LIGA,Trayal Krusevac,Sloven Ruma,ROUND 11,1.98,3.0,3.65,1.44,2.32,1.04,7.32,1.33,2.74,2.15,1.55,1.97,1.79,1.91,1.7,,,7.2,7.4,15.0,45.0,5.4,5.2,10.75,30.0,7.5,7.3,13.0,37.0,14.5,14.0,25.0,65.0,500.0
10,428m9etn,13/10/2024,10:00,SERBIA - PRVA LIGA,Radnicki S. Mitrovica,Vrsac,ROUND 11,2.65,2.57,2.92,1.62,1.95,1.08,5.3,1.65,1.98,2.69,1.34,2.23,1.62,,,,,4.9,5.2,10.5,29.0,4.8,4.75,9.75,27.0,9.25,9.25,16.0,45.0,25.0,25.0,45.0,100.0,101.0
