NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,AVe76z4e,06/08/2024,11:00,ROMANIA - LIGA 2,CSM Resita,U Craiova 1948,ROUND 1,2.52,3.25,2.67,1.45,2.55,1.07,6.8,1.34,3.0,2.02,1.75,1.78,1.93,,,1.62,2.2,6.8,8.25,13.0,30.0,7.9,6.2,10.0,23.0,12.0,9.5,14.0,32.0,27.0,21.0,32.0,70.0,600.0
2,rZj1SHQE,06/08/2024,13:00,ROMANIA - LIGA 2,Steaua Bucuresti,FC Arges,ROUND 1,2.18,3.1,3.35,1.5,2.5,1.08,6.5,1.37,2.87,2.07,1.7,1.82,1.88,2.15,1.65,,,6.5,9.0,17.0,45.0,7.0,6.0,11.75,32.0,10.0,8.75,14.5,40.0,21.0,18.0,30.0,75.0,600.0
3,hIZ6wDVo,06/08/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,SA Bulo Bulo,Always Ready,CLAUSURA ,2.35,3.5,2.9,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.57,2.25,2.3,1.6,1.4,2.85,13.0,11.0,15.0,29.0,10.0,7.0,11.0,21.0,13.0,9.5,12.0,26.0,23.0,17.0,23.0,41.0,151.0
4,tUYKz34m,06/08/2024,16:00,VENEZUELA - LIGA FUTVE,Rayo Zuliano,Dep. Tachira,CLAUSURA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,n14d51n5,06/08/2024,16:15,ICELAND - BESTA DEILD KARLA,Breidablik,Fylkir,ROUND 17,1.32,5.7,6.9,1.16,4.55,1.01,26.0,1.07,7.0,1.23,3.7,1.44,2.6,,,,,40.0,40.0,65.0,150.0,16.5,14.0,24.0,55.0,11.5,9.75,15.5,37.0,11.75,10.0,16.0,37.0,150.0
6,fgnk7NHh,06/08/2024,16:15,ICELAND - BESTA DEILD KARLA,Fram,Stjarnan,ROUND 17,2.07,3.75,3.05,1.25,3.6,1.03,9.75,1.13,5.1,1.42,2.67,1.39,2.8,2.05,1.72,,,9.75,17.5,23.0,45.0,13.0,8.25,11.25,21.0,14.0,9.0,10.5,20.0,22.0,14.0,17.0,28.0,120.0
7,CUdp832n,06/08/2024,16:15,ICELAND - BESTA DEILD KARLA,KA Akureyri,Valur,ROUND 17,3.15,3.85,1.98,1.21,3.95,1.02,20.0,1.1,5.7,1.34,3.0,1.33,3.05,,,1.8,1.95,27.0,16.0,16.0,23.0,19.5,9.25,9.25,13.5,25.0,12.0,10.5,15.0,45.0,22.0,19.5,25.0,100.0
8,jVzNp6Jq,06/08/2024,18:30,PARAGUAY - PRIMERA DIVISION,Libertad Asuncion,Sportivo Trinidense,CLAUSURA ,1.38,4.5,6.5,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.91,1.8,1.38,3.0,1.11,6.6,13.0,19.0,41.0,81.0,7.5,9.5,21.0,51.0,7.0,8.5,21.0,51.0,9.0,12.0,26.0,51.0,301.0
9,pdhMFmqa,06/08/2024,21:00,BRAZIL - SERIE B,Ceara,Guarani,ROUND 19,1.57,3.6,6.5,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,2.2,1.62,1.55,2.38,1.13,6.0,8.0,15.0,34.0,67.0,5.5,7.0,21.0,51.0,6.5,9.0,21.0,51.0,11.0,15.0,34.0,67.0,301.0
10,bevVrpld,06/08/2024,21:00,PARAGUAY - PRIMERA DIVISION,Sol de America,Olimpia Asuncion,CLAUSURA ,3.5,3.2,2.0,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,1.91,1.8,3.55,1.28,1.78,2.03,8.5,6.5,9.0,17.0,9.5,6.5,9.0,19.0,17.0,13.0,17.0,34.0,41.0,34.0,41.0,51.0,351.0
11,Kf2TWK3C,06/08/2024,21:30,VENEZUELA - LIGA FUTVE,Zamora,Metropolitanos,CLAUSURA ,2.75,2.9,2.62,1.44,2.42,1.08,6.3,1.38,2.62,2.1,1.57,1.78,1.83,,,,,7.5,7.1,12.5,30.0,8.0,5.6,10.0,25.0,14.0,10.0,14.0,37.0,35.0,24.0,32.0,70.0,600.0
12,S2bubh8d,06/08/2024,22:00,COLOMBIA - PRIMERA A,Pereira,Chico,CLAUSURA ,1.67,3.7,5.0,1.5,2.5,1.07,9.0,1.4,2.75,2.3,1.6,2.25,1.57,1.68,2.15,1.18,4.65,7.5,10.0,23.0,51.0,5.5,7.5,17.0,41.0,7.0,9.0,21.0,51.0,12.0,17.0,41.0,81.0,201.0
