Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,8lbdzPhT,24/10/2024,00:00,MEXICO - LIGA MX,Club Leon,Atlas,APERTURA ,2.4,3.3,3.0,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.91,2.35,1.58,1.4,2.85,8.5,8.5,13.0,29.0,7.5,6.0,11.0,26.0,11.0,9.5,15.0,34.0,23.0,21.0,34.0,51.0,301.0
2,vXlSU2Gj,24/10/2024,00:05,MEXICO - LIGA MX,Club Tijuana,Club America,APERTURA ,3.1,3.75,2.15,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.67,2.1,2.85,1.4,1.68,2.15,13.0,9.0,11.0,21.0,11.0,7.0,9.0,17.0,17.0,11.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
3,6PHbTi7C,24/10/2024,09:00,BULGARIA - PARVA LIGA,Slavia Sofia,Lok. Sofia,ROUND 13,2.0,3.3,3.8,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.73,2.05,1.8,1.28,3.55,7.5,9.0,19.0,41.0,6.0,6.5,13.0,34.0,8.5,9.0,19.0,41.0,17.0,19.0,34.0,67.0,1250.0
4,baEjVDx0,24/10/2024,11:30,BULGARIA - PARVA LIGA,CSKA Sofia,Botev Vratsa,ROUND 13,1.18,6.0,19.0,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,1.18,4.65,,,11.0,34.0,81.0,351.0,6.0,12.0,41.0,151.0,5.0,11.0,34.0,151.0,6.0,13.0,41.0,151.0,201.0
5,AeuJP3G5,24/10/2024,12:15,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Orubah,Al Shabab,ROUND 8,4.1,3.4,1.85,1.44,2.63,1.04,9.0,1.33,3.25,2.05,1.75,1.91,1.8,4.0,1.23,1.95,1.85,9.0,6.5,8.5,15.0,11.0,6.5,9.0,17.0,21.0,15.0,17.0,29.0,41.0,34.0,41.0,51.0,800.0
6,revdWX6N,24/10/2024,13:45,EUROPE - EUROPA LEAGUE,Qarabag,Ajax,LEAGUE PHASE ,3.2,3.5,2.2,1.29,3.5,1.03,15.0,1.17,5.0,1.62,2.3,1.5,2.5,3.1,1.35,1.7,2.1,15.0,11.0,13.0,21.0,15.0,7.0,9.0,15.0,19.0,12.0,11.0,21.0,34.0,21.0,26.0,34.0,101.0
7,hAoCHDN5,24/10/2024,13:45,EUROPE - EUROPA LEAGUE,AS Roma,Dyn. Kyiv,LEAGUE PHASE ,1.48,4.33,6.5,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.8,1.95,1.48,2.6,1.13,6.0,13.0,17.0,34.0,67.0,7.5,8.0,19.0,41.0,7.5,8.5,17.0,41.0,10.0,12.0,23.0,51.0,251.0
8,zwJqsJeM,24/10/2024,13:45,EUROPE - EUROPA LEAGUE,Midtjylland,Royale Union SG,LEAGUE PHASE ,2.2,3.3,3.3,1.4,2.75,1.05,11.0,1.29,3.75,1.91,1.99,1.7,2.05,2.2,1.65,1.35,3.1,11.0,11.0,17.0,34.0,8.5,6.5,12.0,26.0,11.0,9.0,13.0,34.0,21.0,17.0,26.0,41.0,201.0
9,xAy3SO5k,24/10/2024,13:45,EUROPE - EUROPA LEAGUE,Maccabi Tel Aviv,Real Sociedad,LEAGUE PHASE ,5.0,3.8,1.7,1.4,2.75,1.06,10.0,1.3,3.5,2.04,1.86,1.95,1.8,4.5,1.19,2.15,1.68,10.0,6.5,7.5,13.0,12.0,7.0,8.5,15.0,23.0,15.0,17.0,29.0,51.0,41.0,41.0,51.0,301.0
10,OnyLiuZ0,24/10/2024,13:45,EUROPE - EUROPA LEAGUE,Ferencvaros,Nice,LEAGUE PHASE ,2.88,3.3,2.45,1.4,2.75,1.06,10.0,1.29,3.75,1.99,1.91,1.7,2.05,2.75,1.43,1.55,2.38,10.0,9.0,12.0,23.0,9.5,6.0,9.5,19.0,15.0,11.0,13.0,29.0,29.0,23.0,29.0,41.0,201.0
