NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,S07x4Mrn,07/10/2024,10:00,ARMENIA - PREMIER LEAGUE,BKMA,Alashkert,ROUND 10,3.4,3.5,1.9,1.37,2.5,1.01,8.75,1.24,3.22,1.83,1.8,1.73,2.06,,,1.78,1.83,10.5,6.4,7.7,13.0,8.75,6.0,7.2,12.5,15.0,10.0,12.0,21.0,35.0,24.0,29.0,50.0,350.0
2,6eUk4Xz8,07/10/2024,10:00,ROMANIA - LIGA 2,FC Bihor,U Craiova 1948,ROUND 9,3.55,3.15,2.07,1.5,2.5,1.09,6.1,1.42,2.65,2.27,1.6,1.98,1.75,,,1.72,2.05,6.1,6.1,9.0,19.0,8.5,6.1,9.0,19.0,17.0,12.5,17.0,37.0,50.0,35.0,50.0,100.0,1000.0
3,WzV6dIdt,07/10/2024,11:00,SERBIA - PRVA LIGA,Smederevo,FK Indjija,ROUND 10,2.22,3.0,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,hfDTqJcU,07/10/2024,12:00,ARMENIA - PREMIER LEAGUE,West Armenia,FC Gandzasar,ROUND 10,1.87,3.5,3.45,1.28,3.34,1.03,10.9,1.14,4.25,1.55,2.15,1.52,2.46,1.8,1.8,,,14.0,12.0,18.5,40.0,8.25,6.4,10.0,22.0,9.25,7.1,9.75,21.0,14.5,11.25,15.5,30.0,150.0
5,fgW4NmMs,07/10/2024,14:00,DENMARK - 1ST DIVISION,Hvidovre IF,Kolding IF,ROUND 12,2.25,3.4,3.0,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,1.8,1.91,2.25,1.63,1.38,3.0,9.5,9.0,15.0,34.0,7.5,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
6,WYLySzTE,07/10/2024,14:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,CSM Focsani,ROUND 9,1.28,4.9,10.75,1.36,2.9,1.05,8.0,1.24,3.65,1.72,2.05,2.22,1.6,,,,,8.0,23.0,80.0,400.0,6.4,10.0,35.0,175.0,5.7,8.75,27.0,150.0,7.4,11.25,35.0,150.0,900.0
7,f12H6SUH,07/10/2024,15:30,ITALY - SERIE C,FeralpiSalo,AlbinoLeffe,GROUP A ,1.82,3.2,4.6,1.5,2.5,1.1,6.0,1.42,2.65,2.27,1.6,2.05,1.7,1.8,1.95,,,6.0,10.0,24.0,80.0,5.6,6.2,15.5,55.0,7.6,8.5,18.0,65.0,15.0,16.5,35.0,110.0,201.0
8,fRujI3kD,07/10/2024,15:30,ITALY - SERIE C,Ternana,Campobasso,GROUP B ,1.44,4.15,7.1,1.42,2.67,1.06,7.3,1.3,3.2,1.91,1.83,2.12,1.65,1.65,2.15,,,7.3,16.0,45.0,175.0,5.9,8.25,23.0,90.0,6.1,8.5,22.0,90.0,9.0,12.5,32.0,120.0,600.0
9,jFxlEemQ,07/10/2024,15:30,ITALY - SERIE C,Crotone,Avellino,GROUP C ,2.45,3.1,2.9,1.5,2.5,1.09,6.1,1.42,2.65,2.25,1.6,1.93,1.78,2.37,1.55,,,6.1,7.6,13.5,35.0,6.8,6.0,10.75,27.0,11.0,9.75,16.0,40.0,25.0,23.0,37.0,90.0,800.0
10,SjtvylIs,07/10/2024,16:00,ENGLAND - LEAGUE TWO,Bradford City,Newport,ROUND 10,1.5,4.2,5.75,1.33,3.25,1.03,15.0,1.22,4.0,1.73,2.08,1.83,1.83,1.48,2.6,1.14,5.75,13.0,17.0,29.0,67.0,7.5,8.5,17.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0
11,6urAWBOM,07/10/2024,17:30,ECUADOR - LIGA PRO,Macara,Delfin,SECOND STAGE ,1.8,3.0,4.75,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.2,1.62,1.83,1.98,1.18,4.65,6.5,11.0,23.0,51.0,5.5,6.0,17.0,41.0,7.5,9.5,19.0,51.0,15.0,17.0,41.0,67.0,351.0
12,McHsxfzM,07/10/2024,20:00,CHILE - PRIMERA DIVISION,Cobreloa,Copiapo,ROUND 27,2.2,3.3,3.25,1.36,3.0,1.05,11.0,1.25,3.75,1.83,2.03,1.67,2.1,2.2,1.65,1.35,3.1,11.0,12.0,17.0,34.0,9.0,6.5,12.0,26.0,11.0,9.0,12.0,29.0,21.0,17.0,26.0,41.0,151.0
13,nLv6GUb4,07/10/2024,20:00,COLOMBIA - PRIMERA A,Fortaleza,Jaguares de Cordoba,CLAUSURA ,1.6,3.7,5.75,1.5,2.5,1.08,7.5,1.4,2.75,2.25,1.62,2.25,1.57,1.6,2.3,1.15,5.5,7.5,12.0,29.0,67.0,5.5,7.5,19.0,51.0,6.5,9.0,21.0,51.0,11.0,15.0,34.0,81.0,201.0
14,OOh0HFxf,07/10/2024,21:00,BRAZIL - SERIE B,Goias,Santos,ROUND 30,3.1,3.0,2.45,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.2,1.62,3.0,1.38,1.55,2.38,6.0,6.0,10.0,23.0,7.0,6.0,11.0,26.0,13.0,12.0,19.0,41.0,34.0,29.0,41.0,81.0,201.0
15,dhuWUY6g,07/10/2024,21:00,BRAZIL - SERIE B,Sport Recife,Ceara,ROUND 30,2.0,3.4,3.75,1.44,2.63,1.08,8.0,1.36,3.0,2.2,1.65,2.0,1.73,2.0,1.85,1.28,3.55,8.0,9.5,19.0,41.0,6.5,6.5,13.0,34.0,8.5,9.0,17.0,41.0,17.0,17.0,34.0,51.0,351.0
16,jgocIjUi,07/10/2024,22:00,COLOMBIA - PRIMERA A,Pereira,Deportes Tolima,CLAUSURA ,3.1,3.1,2.3,1.53,2.38,1.1,7.0,1.5,2.5,2.6,1.48,2.1,1.67,3.0,1.38,1.58,2.35,7.0,6.5,10.0,21.0,7.5,6.0,10.0,23.0,15.0,12.0,19.0,41.0,34.0,29.0,41.0,67.0,900.0
