NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,Onm9AIhB,28/08/2024,12:45,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Akhdoud,ROUND 2,1.42,4.33,6.5,1.33,3.25,1.04,9.0,1.22,4.0,1.7,2.1,1.91,1.8,1.43,2.75,1.12,6.4,12.0,19.0,34.0,67.0,7.0,8.5,21.0,51.0,7.0,8.5,19.0,51.0,10.0,12.0,26.0,51.0,700.0
2,8b5vHIeT,28/08/2024,13:00,SPAIN - LALIGA,Betis,Getafe,ROUND 3,1.72,3.55,5.4,1.45,2.75,1.09,7.5,1.42,2.95,2.22,1.7,2.07,1.7,1.72,2.2,,,7.5,11.5,32.0,110.0,5.5,7.1,18.0,65.0,7.4,9.0,20.0,75.0,13.5,16.5,40.0,120.0,201.0
3,Is2xOPvR,28/08/2024,13:30,URUGUAY - PRIMERA DIVISION,Rampla Juniors,Progreso,CLAUSURA ,2.75,3.3,2.45,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,1.73,2.0,2.68,1.45,1.55,2.38,11.0,9.0,12.0,23.0,9.5,6.5,10.0,19.0,15.0,11.0,13.0,29.0,29.0,21.0,29.0,41.0,201.0
4,0Y1WIvRG,28/08/2024,14:00,SPAIN - LALIGA,Ath Bilbao,Valencia,ROUND 3,1.62,3.8,5.75,1.44,2.63,1.07,8.5,1.36,3.2,2.1,1.73,2.1,1.67,1.58,2.35,1.14,5.75,8.5,13.0,29.0,67.0,6.0,7.0,19.0,51.0,6.5,8.5,21.0,51.0,11.0,15.0,34.0,67.0,501.0
5,f92vnwe3,28/08/2024,14:00,SPAIN - LALIGA,Valladolid,Leganes,ROUND 3,2.25,3.0,3.6,1.57,2.25,1.11,6.5,1.53,2.5,2.63,1.5,2.1,1.67,2.2,1.65,1.3,3.45,6.5,8.0,17.0,41.0,6.0,6.0,13.0,34.0,9.0,10.0,19.0,41.0,21.0,21.0,41.0,67.0,501.0
6,EwL3M8Ed,28/08/2024,15:00,TURKEY - 1. LIG,Sakaryaspor,Amedspor,ROUND 3,2.1,3.1,3.2,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.91,2.15,1.68,1.33,3.3,9.0,9.5,17.0,34.0,7.5,6.0,12.0,29.0,10.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
7,GpSm3zoo,28/08/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Wehda,Al Orubah,ROUND 2,1.95,3.25,3.6,1.33,3.25,1.04,9.0,1.2,4.33,1.73,2.08,1.62,2.2,2.0,1.8,1.28,3.55,12.0,13.0,21.0,41.0,9.5,6.5,13.0,26.0,11.0,9.0,12.0,34.0,17.0,15.0,23.0,41.0,151.0
8,WCjH8dNN,28/08/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hilal,Damac,ROUND 2,1.17,7.0,13.0,1.2,4.33,1.01,13.0,1.1,6.5,1.33,3.25,1.91,1.8,1.18,4.8,,,21.0,41.0,67.0,151.0,11.0,15.0,41.0,81.0,7.5,11.0,23.0,67.0,7.5,11.0,26.0,51.0,700.0
9,p4dhrkCs,28/08/2024,15:30,ITALY - SERIE B,Juve Stabia,Mantova,ROUND 3,2.5,3.2,2.9,1.44,2.63,1.07,8.5,1.33,3.25,2.1,1.7,1.8,1.95,2.38,1.55,1.43,2.75,8.5,8.5,13.0,29.0,7.5,6.0,11.0,23.0,12.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
10,zVpmZBZQ,28/08/2024,15:30,ITALY - SERIE B,Cesena,Catanzaro,ROUND 3,2.0,3.4,3.75,1.4,2.75,1.06,9.5,1.3,3.4,2.05,1.8,1.8,1.95,2.03,1.83,1.28,3.55,9.5,10.0,19.0,41.0,7.0,6.5,13.0,29.0,9.5,9.0,15.0,41.0,17.0,17.0,29.0,51.0,251.0
