NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,dpulZcdR,31/07/2024,11:30,EGYPT - PREMIER LEAGUE,Al Ittihad,Enppi,ROUND 32,3.0,2.57,2.72,1.55,2.15,1.14,4.3,1.53,2.18,2.55,1.4,2.0,1.65,,,,,4.7,6.2,12.5,35.0,6.8,5.2,10.5,30.0,14.5,11.25,16.5,50.0,40.0,32.0,50.0,110.0,800.0
2,hYJGJEeO,31/07/2024,14:00,NORWAY - OBOS-LIGAEN,Stabaek,Sandnes,ROUND 12,1.4,5.25,5.0,1.17,5.0,1.01,34.0,1.07,9.0,1.29,3.6,1.44,2.63,1.43,2.75,1.16,5.25,34.0,26.0,41.0,51.0,15.0,13.0,17.0,34.0,11.0,9.5,15.0,29.0,13.0,10.0,17.0,34.0,81.0
3,6JQJTyKl,31/07/2024,15:00,EGYPT - PREMIER LEAGUE,ZED,Modern Sport,ROUND 32,2.82,2.6,2.85,1.52,2.22,1.07,6.3,1.47,2.32,2.35,1.47,1.87,1.75,,,,,6.0,7.0,13.5,37.0,7.0,5.2,10.25,29.0,13.5,10.5,14.5,40.0,37.0,29.0,40.0,90.0,800.0
4,04dEnsGa,31/07/2024,15:00,PERU - LIGA 1,Grau,Comerciantes Unidos,CLAUSURA ,1.42,4.5,7.0,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.8,1.91,1.43,2.75,1.11,6.6,15.0,19.0,41.0,81.0,8.0,9.0,21.0,51.0,7.5,8.5,17.0,41.0,10.0,11.0,23.0,51.0,251.0
5,2k0ELdff,31/07/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Tomayapo,Guabira,CLAUSURA ,1.57,3.75,5.0,1.36,3.0,1.05,11.0,1.25,3.75,1.85,1.95,1.83,1.83,,,,,11.0,15.0,29.0,51.0,7.0,7.5,17.0,41.0,7.5,8.5,17.0,41.0,12.0,13.0,26.0,51.0,301.0
6,Ywbt9qmt,31/07/2024,16:15,ICELAND - BESTA DEILD KARLA,Fylkir,Fram,ROUND 16,2.27,3.75,2.67,1.24,3.7,1.02,9.75,1.13,5.2,1.4,2.72,1.36,2.87,2.22,1.62,,,9.75,15.5,19.0,35.0,15.5,8.25,10.5,19.0,17.5,9.5,10.5,19.0,28.0,15.5,16.5,27.0,120.0
7,8UaMpLpC,31/07/2024,17:15,PERU - LIGA 1,Los Chankas,Sporting Cristal,CLAUSURA ,2.9,3.6,2.3,1.3,3.4,1.03,15.0,1.18,4.5,1.65,2.2,1.53,2.38,2.75,1.43,1.63,2.25,15.0,11.0,13.0,23.0,12.0,7.0,9.5,17.0,17.0,11.0,12.0,21.0,29.0,21.0,23.0,34.0,126.0
8,2cUdWB5t,31/07/2024,18:30,ARGENTINA - LIGA PROFESIONAL,Union de Santa Fe,Rosario Central,ROUND 7,2.2,3.0,3.75,1.67,2.1,1.13,6.0,1.62,2.2,2.88,1.4,2.38,1.53,2.15,1.68,1.28,3.55,5.5,7.0,17.0,41.0,5.0,6.0,15.0,41.0,8.5,11.0,23.0,51.0,21.0,23.0,41.0,101.0,501.0
9,MiGFJzP6,31/07/2024,19:00,BOLIVIA - DIVISION PROFESIONAL,Bolivar,GV San Jose,CLAUSURA ,1.25,5.25,9.5,1.22,4.0,1.02,19.0,1.13,6.0,1.44,2.7,1.8,1.91,1.26,3.7,,,19.0,26.0,51.0,101.0,10.0,11.0,26.0,51.0,7.5,9.5,19.0,51.0,8.5,10.0,23.0,51.0,201.0
10,v3PLQ7ZH,31/07/2024,20:30,ARGENTINA - LIGA PROFESIONAL,Boca Juniors,Banfield,ROUND 7,1.85,3.3,4.5,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.2,1.62,1.83,2.03,1.2,4.4,7.0,9.5,21.0,51.0,5.5,6.5,17.0,41.0,7.5,9.0,21.0,51.0,15.0,17.0,34.0,81.0,501.0
11,UHJNHEgJ,31/07/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,Royal Pari,CLAUSURA ,1.3,4.75,8.5,1.25,3.75,1.03,17.0,1.14,5.5,1.48,2.6,1.8,1.91,1.75,1.95,,,17.0,26.0,41.0,101.0,9.5,10.0,26.0,51.0,7.5,9.0,17.0,51.0,9.0,11.0,23.0,51.0,201.0
12,SICfSCUp,31/07/2024,21:30,PERU - LIGA 1,Carlos Mannucci,ADT Tarma,CLAUSURA ,3.4,3.1,2.25,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,1.83,1.83,3.3,1.33,1.63,2.25,8.0,7.0,10.0,21.0,9.5,6.0,9.5,19.0,17.0,12.0,15.0,29.0,34.0,29.0,41.0,51.0,301.0
13,YFatjGMi,31/07/2024,22:00,PERU - LIGA 1,FBC Melgar,U. de Deportes,CLAUSURA ,1.9,3.4,4.1,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,1.83,1.83,1.93,1.93,1.24,3.9,9.0,11.0,21.0,41.0,7.0,6.5,15.0,34.0,8.5,9.0,15.0,41.0,15.0,17.0,29.0,51.0,301.0
14,EuELJohU,31/07/2024,22:10,COLOMBIA - PRIMERA A,Ind. Medellin,Chico,CLAUSURA ,1.44,4.1,8.0,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,2.2,1.62,1.43,2.75,1.1,7.0,9.0,17.0,41.0,81.0,6.0,8.0,23.0,51.0,6.0,9.0,21.0,67.0,9.0,13.0,34.0,67.0,800.0
