NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,bPP0HP87,27/07/2024,07:00,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Suwon FC,ROUND 25,2.1,3.25,3.3,1.4,2.75,1.05,11.0,1.25,3.75,1.9,1.95,1.73,2.0,2.08,1.73,1.33,3.3,11.0,11.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
2,Ie7PDhME,27/07/2024,07:00,SOUTH KOREA - K LEAGUE 2,Anyang,Asan,ROUND 25,2.1,3.25,3.2,1.5,2.5,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8,2.03,1.78,1.35,3.1,8.5,8.5,15.0,34.0,6.5,6.5,12.0,29.0,9.5,9.5,17.0,41.0,19.0,19.0,34.0,51.0,351.0
3,QVHnuT0E,27/07/2024,07:30,SOUTH KOREA - K LEAGUE 1,Incheon,Seoul,ROUND 25,3.3,3.2,2.25,1.4,2.75,1.06,10.0,1.3,3.4,2.05,1.8,1.73,2.0,3.3,1.33,1.65,2.2,9.5,8.0,11.0,21.0,10.0,6.0,9.5,19.0,17.0,12.0,13.0,29.0,34.0,26.0,34.0,51.0,251.0
4,nuJrt9o8,27/07/2024,07:30,SOUTH KOREA - K LEAGUE 1,Daegu,Daejeon,ROUND 25,1.95,3.3,4.0,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,1.8,1.91,1.98,1.88,1.25,3.8,10.0,12.0,21.0,41.0,7.5,6.5,13.0,34.0,9.0,8.5,15.0,41.0,17.0,15.0,26.0,51.0,251.0
5,nVBTCCyL,27/07/2024,07:30,SOUTH KOREA - K LEAGUE 2,Seongnam,Bucheon FC 1995,ROUND 25,2.35,3.3,2.7,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.83,1.83,2.38,1.55,1.45,2.68,9.5,8.5,13.0,29.0,7.5,6.5,11.0,23.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
6,OtlLePEs,27/07/2024,08:00,DENMARK - 1ST DIVISION,Roskilde,B.93,ROUND 2,2.4,3.5,2.5,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,2.43,1.53,1.5,2.5,17.0,12.0,15.0,26.0,12.0,7.5,10.0,19.0,15.0,10.0,12.0,23.0,26.0,17.0,21.0,34.0,101.0
7,nsjlZGZg,27/07/2024,08:00,CHINA - SUPER LEAGUE,Changchun Yatai,Cangzhou,ROUND 20,1.48,4.33,6.5,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.7,2.05,1.45,2.68,1.12,6.25,17.0,21.0,34.0,67.0,9.0,8.5,21.0,41.0,8.5,8.0,15.0,41.0,11.0,11.0,21.0,41.0,151.0
8,SdeK5cTs,27/07/2024,08:00,SWEDEN - SUPERETTAN,Utsikten,Sandviken,ROUND 16,2.55,3.4,2.45,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.6,1.48,1.53,2.43,13.0,10.0,13.0,26.0,10.0,7.0,10.0,19.0,15.0,10.0,12.0,23.0,26.0,19.0,26.0,41.0,151.0
9,t4khYzk0,27/07/2024,08:35,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Qingdao West Coast,ROUND 20,1.6,4.0,5.25,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,1.67,2.1,1.58,2.35,1.16,5.25,15.0,17.0,29.0,51.0,9.0,8.0,17.0,41.0,9.0,8.5,13.0,41.0,13.0,12.0,21.0,41.0,151.0
10,UgJLg3qf,27/07/2024,09:00,DENMARK - 1ST DIVISION,Fredericia,Vendsyssel,ROUND 2,2.25,3.6,2.88,1.25,3.75,1.02,19.0,1.13,6.0,1.48,2.6,1.4,2.75,2.25,1.63,1.43,2.75,21.0,17.0,19.0,29.0,13.0,7.5,11.0,21.0,15.0,9.5,10.0,21.0,23.0,15.0,19.0,29.0,81.0
11,SI6o3zS9,27/07/2024,09:30,POLAND - DIVISION 1,Chrobry Glogow,Termalica B-B.,ROUND 2,3.0,3.4,2.15,1.33,3.25,1.04,12.0,1.22,4.0,1.75,2.05,1.62,2.2,3.0,1.38,1.68,2.15,12.0,9.0,12.0,21.0,11.0,7.0,9.0,17.0,17.0,11.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
12,2umeOEzp,27/07/2024,09:45,POLAND - EKSTRAKLASA,Stal Mielec,GKS Katowice,ROUND 2,2.2,3.4,3.2,1.4,2.75,1.05,11.0,1.25,3.75,1.9,1.95,1.7,2.05,2.15,1.68,1.35,3.1,11.0,10.0,17.0,34.0,8.5,6.5,12.0,26.0,11.0,9.0,13.0,34.0,21.0,17.0,26.0,41.0,201.0
13,0hI8jlJR,27/07/2024,10:00,SWEDEN - ALLSVENSKAN,Norrkoping,Kalmar,ROUND 16,2.2,3.6,3.0,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.57,2.25,2.2,1.65,1.4,2.85,15.0,12.0,17.0,34.0,10.0,7.5,11.0,21.0,12.0,9.0,12.0,26.0,21.0,17.0,21.0,41.0,126.0
14,YZXMx0vG,27/07/2024,10:00,FINLAND - YKKONEN,Vaajakoski,Rovaniemi,-,3.6,3.8,1.73,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.53,2.38,3.55,1.28,2.05,1.8,17.0,10.0,11.0,15.0,15.0,8.0,8.5,13.0,23.0,13.0,13.0,19.0,41.0,26.0,29.0,41.0,126.0
15,Wfk9I8Pr,27/07/2024,10:00,URUGUAY - PRIMERA DIVISION,Miramar,Cerro Largo,TORNEO INTERMEDIO ,2.45,3.2,2.55,1.44,2.63,1.06,9.5,1.33,3.25,2.05,1.75,1.83,1.83,2.5,1.5,1.48,2.6,9.5,8.5,13.0,26.0,8.0,6.5,10.0,23.0,12.0,10.0,15.0,34.0,26.0,21.0,34.0,51.0,251.0
16,IolX2eD0,27/07/2024,10:00,SWEDEN - SUPERETTAN,Degerfors,Skovde AIK,ROUND 16,1.4,4.2,6.5,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.95,1.8,1.43,2.75,1.12,6.25,12.0,17.0,34.0,81.0,7.0,8.5,21.0,51.0,7.0,8.5,19.0,51.0,9.5,12.0,26.0,51.0,351.0
17,pYkP4Hrl,27/07/2024,10:00,SWEDEN - SUPERETTAN,Ostersund,Varberg,ROUND 16,1.83,3.6,3.8,1.36,3.0,1.04,12.0,1.25,3.75,1.85,2.0,1.75,2.0,1.88,1.98,1.26,3.7,12.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.0,8.5,15.0,34.0,15.0,15.0,23.0,51.0,201.0
18,WKMzt28e,27/07/2024,11:00,NORWAY - OBOS-LIGAEN,Kongsvinger,Levanger,ROUND 16,1.8,3.8,3.6,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,1.5,2.5,1.83,2.03,1.28,3.55,19.0,17.0,23.0,41.0,11.0,8.0,13.0,26.0,11.0,9.0,12.0,26.0,17.0,13.0,19.0,34.0,101.0
19,CzpgtQQO,27/07/2024,11:00,FINLAND - VEIKKAUSLIIGA,HJK,AC Oulu,-,1.4,4.2,7.0,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.95,1.8,1.4,2.85,1.1,7.0,12.0,19.0,41.0,81.0,7.5,8.5,21.0,51.0,7.0,8.5,19.0,51.0,9.5,12.0,26.0,51.0,301.0
20,Uk3CmQrj,27/07/2024,11:00,ESTONIA - MEISTRILIIGA,Kalju,Tammeka,ROUND 21,1.65,3.65,4.35,1.32,3.2,1.01,10.9,1.19,3.92,1.65,2.0,1.67,2.15,,,,,12.0,12.0,22.0,55.0,6.9,6.4,12.0,30.0,7.4,6.9,11.5,30.0,11.0,10.25,17.5,40.0,250.0
21,AN1O8Ige,27/07/2024,11:00,BELGIUM - JUPILER PRO LEAGUE,Dender,Royale Union SG,ROUND 1,6.5,4.2,1.42,1.25,3.75,1.03,17.0,1.14,5.5,1.53,2.4,1.7,2.05,6.6,1.11,2.75,1.43,17.0,9.0,8.0,10.0,21.0,8.5,8.5,11.0,41.0,21.0,15.0,21.0,67.0,41.0,41.0,41.0,151.0
22,U5etxgv8,27/07/2024,11:00,DENMARK - SUPERLIGA,Nordsjaelland,Midtjylland,ROUND 2,2.1,3.8,3.1,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,1.44,2.63,2.08,1.73,1.38,3.0,19.0,15.0,19.0,34.0,12.0,7.5,11.0,21.0,13.0,9.0,11.0,23.0,21.0,15.0,19.0,29.0,101.0
23,hQPJirI5,27/07/2024,11:00,ICELAND - BESTA DEILD KARLA,Vestri,Hafnarfjordur,ROUND 16,4.8,4.3,1.57,1.25,3.55,1.03,9.75,1.14,5.0,1.44,2.62,1.52,2.37,,,2.22,1.62,9.75,11.0,10.0,13.0,21.0,9.25,8.25,11.0,35.0,15.5,13.0,17.5,80.0,37.0,32.0,40.0,200.0
24,rJjPnYt8,27/07/2024,11:00,NORWAY - OBOS-LIGAEN,Stabaek,Moss,ROUND 16,1.91,3.8,3.3,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,1.44,2.63,1.95,1.9,1.33,3.3,19.0,15.0,21.0,41.0,12.0,8.0,12.0,23.0,12.0,9.0,12.0,23.0,19.0,13.0,19.0,34.0,101.0
25,4YKrvtw8,27/07/2024,11:00,NORWAY - OBOS-LIGAEN,Sogndal,Start,ROUND 16,1.7,4.0,4.2,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.57,2.25,1.7,2.1,1.23,4.1,17.0,17.0,26.0,41.0,10.0,8.0,15.0,29.0,10.0,8.5,13.0,29.0,15.0,12.0,19.0,41.0,126.0
26,bNxanFge,27/07/2024,11:00,NORWAY - ELITESERIEN,KFUM Oslo,Bodo/Glimt,ROUND 16,5.0,4.1,1.62,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,1.62,2.2,4.65,1.18,2.25,1.63,15.0,9.0,9.0,13.0,17.0,8.0,8.5,12.0,29.0,15.0,13.0,21.0,51.0,34.0,34.0,41.0,151.0
