Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,SK3o03Se,04/07/2024,13:00,ESTONIA - MEISTRILIIGA,Paide,Narva,ROUND 18,1.6,3.8,4.6,1.31,3.26,1.01,11.5,1.18,4.05,1.62,2.05,1.67,2.15,,,,,13.0,12.5,23.0,60.0,7.0,6.7,12.5,32.0,7.2,6.9,12.0,32.0,10.5,10.0,17.0,45.0,250.0
2,vaTvSjxU,04/07/2024,13:00,EGYPT - PREMIER LEAGUE,El Daklyeh,Al Ahly,ROUND 29,19.5,6.2,1.14,1.29,3.4,1.03,13.9,1.19,3.65,1.6,2.07,2.75,1.34,,,,,11.75,6.2,4.9,5.6,40.0,15.0,11.5,13.0,200.0,80.0,50.0,60.0,201.0,600.0,400.0,400.0,201.0
3,dzvzTWMN,04/07/2024,13:00,EGYPT - PREMIER LEAGUE,El Gaish,Al Ittihad,ROUND 29,3.0,2.55,2.75,1.5,2.25,1.12,5.1,1.47,2.32,2.37,1.45,1.88,1.72,,,,,5.9,6.8,13.0,35.0,7.1,5.1,10.0,28.0,14.5,10.75,14.5,40.0,45.0,32.0,45.0,90.0,800.0
4,tO7kaNs2,04/07/2024,13:00,ESTONIA - MEISTRILIIGA,Levadia,Flora,ROUND 18,1.57,3.65,4.9,1.35,3.04,1.01,10.2,1.22,3.65,1.7,1.93,1.77,2.0,,,,,11.0,11.75,24.0,70.0,6.4,6.3,13.0,37.0,6.9,6.8,12.5,37.0,10.25,10.0,18.0,50.0,300.0
5,MJpxNQZ8,04/07/2024,13:00,ESTONIA - MEISTRILIIGA,Tammeka,Nomme Utd,ROUND 18,1.6,3.65,4.7,1.33,3.14,1.01,11.6,1.2,3.88,1.65,1.98,1.71,2.08,1.72,1.9,,,11.75,11.75,23.0,65.0,6.8,6.4,12.5,35.0,7.2,6.8,12.0,35.0,10.5,10.0,17.5,45.0,250.0
6,UVtFjgjF,04/07/2024,15:45,IRELAND - PREMIER DIVISION,Drogheda,Shelbourne,ROUND 23,4.5,3.5,1.8,1.4,2.75,1.06,10.0,1.33,3.25,2.05,1.75,1.95,1.8,4.15,1.22,2.03,1.83,9.5,6.5,8.0,15.0,12.0,6.5,8.5,15.0,23.0,15.0,17.0,29.0,51.0,41.0,41.0,51.0,301.0
7,8MuJkD5L,04/07/2024,15:45,IRELAND - PREMIER DIVISION,Galway,Bohemians,ROUND 23,2.1,3.25,3.7,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,1.95,1.8,2.08,1.73,1.3,3.45,8.0,9.0,17.0,41.0,6.5,6.0,13.0,34.0,9.0,9.0,17.0,41.0,19.0,19.0,34.0,51.0,401.0
8,vuiebaAE,04/07/2024,15:45,IRELAND - PREMIER DIVISION,Sligo Rovers,Derry City,ROUND 23,5.25,3.7,1.65,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,2.1,1.67,5.0,1.17,2.25,1.63,8.5,6.0,7.0,12.0,12.0,7.0,8.5,15.0,26.0,17.0,21.0,34.0,51.0,41.0,51.0,67.0,501.0
9,QczOlXKR,04/07/2024,15:45,IRELAND - PREMIER DIVISION,Waterford,St. Patricks,ROUND 23,2.63,3.3,2.63,1.44,2.63,1.06,9.5,1.3,3.4,2.05,1.75,1.8,1.95,2.6,1.48,1.48,2.6,9.5,8.5,13.0,26.0,8.5,6.5,10.0,21.0,13.0,10.0,15.0,29.0,26.0,21.0,29.0,51.0,251.0
10,S6MkpiTr,04/07/2024,16:00,IRELAND - PREMIER DIVISION,Shamrock Rovers,Dundalk,ROUND 23,1.38,4.5,8.0,1.33,3.25,1.05,11.0,1.25,3.75,1.75,2.05,2.05,1.7,1.38,3.0,1.1,7.0,11.0,19.0,41.0,101.0,6.5,8.5,23.0,51.0,6.5,8.5,21.0,51.0,9.0,12.0,29.0,67.0,401.0
