NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,pbTXMdy8,25/07/2024,15:00,PERU - LIGA 1,Alianza Atl.,FBC Melgar,CLAUSURA ,4.2,3.0,1.8,1.5,2.5,1.08,7.5,1.36,3.0,2.25,1.62,2.0,1.73,4.4,1.2,1.98,1.88,7.5,6.0,8.0,15.0,11.0,6.0,9.0,17.0,21.0,15.0,17.0,34.0,51.0,41.0,41.0,51.0,351.0
2,8W0QSnPQ,25/07/2024,17:15,PERU - LIGA 1,Cusco,Sport Huancayo,CLAUSURA ,1.8,3.6,3.8,1.4,2.75,1.06,10.0,1.33,3.25,2.05,1.75,1.91,1.8,1.85,2.0,1.26,3.7,10.0,10.0,21.0,41.0,6.5,7.0,13.0,34.0,8.5,8.5,17.0,41.0,15.0,15.0,29.0,51.0,351.0
3,h0tMnpMG,25/07/2024,18:00,COLOMBIA - PRIMERA A,America De Cali,Envigado,CLAUSURA ,1.33,5.0,9.0,1.33,3.25,1.04,13.0,1.25,3.75,1.75,2.05,2.2,1.62,1.33,3.3,1.1,7.0,11.0,19.0,41.0,101.0,6.5,9.5,26.0,67.0,6.0,9.0,23.0,67.0,8.0,12.0,34.0,81.0,1000.0
4,M5wjDl5I,25/07/2024,18:45,ARGENTINA - LIGA PROFESIONAL,Lanus,Belgrano,ROUND 7,2.05,3.2,4.0,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.63,2.05,1.8,1.26,3.7,7.0,9.0,19.0,41.0,6.0,6.0,15.0,41.0,8.5,9.5,19.0,51.0,17.0,19.0,34.0,67.0,501.0
5,KCXTOo4U,25/07/2024,18:45,ARGENTINA - LIGA PROFESIONAL,Platense,Velez Sarsfield,ROUND 7,2.9,3.0,2.6,1.67,2.1,1.14,5.5,1.62,2.2,3.1,1.36,2.38,1.53,2.85,1.4,1.5,2.5,5.5,5.5,11.0,26.0,6.0,6.0,11.0,29.0,12.0,12.0,21.0,41.0,34.0,34.0,51.0,101.0,501.0
6,WCvI3Am5,25/07/2024,20:00,BRAZIL - SERIE A,Corinthians,Gremio,ROUND 19,1.91,3.5,3.9,1.5,2.5,1.08,8.0,1.4,3.0,2.25,1.62,2.0,1.75,2.0,1.9,1.26,3.7,8.0,9.5,19.0,41.0,6.0,6.5,13.0,34.0,8.5,9.0,19.0,41.0,17.0,17.0,34.0,67.0,451.0
7,0CQHRmKB,25/07/2024,21:00,ARGENTINA - LIGA PROFESIONAL,Atl. Tucuman,Instituto,ROUND 7,2.45,3.0,3.2,1.57,2.25,1.11,6.5,1.53,2.38,2.7,1.44,2.1,1.67,2.38,1.55,1.35,3.1,6.5,7.5,13.0,34.0,6.0,6.0,12.0,34.0,10.0,10.0,19.0,41.0,23.0,23.0,41.0,67.0,201.0
8,EuzrFAz6,25/07/2024,21:00,ARGENTINA - LIGA PROFESIONAL,Tigre,Central Cordoba,ROUND 7,2.0,3.25,4.0,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.91,2.0,1.85,1.25,3.8,8.5,11.0,21.0,41.0,6.5,6.0,15.0,34.0,9.0,9.0,15.0,41.0,17.0,17.0,29.0,51.0,301.0
9,2ZcIU8fE,25/07/2024,21:00,PERU - LIGA 1,Cesar Vallejo,Cajamarca,CLAUSURA ,1.53,4.0,5.0,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.83,1.83,1.55,2.38,1.16,5.25,12.0,15.0,29.0,51.0,7.5,8.0,17.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,26.0,51.0,251.0
10,Gtl0iD0s,25/07/2024,21:30,BRAZIL - SERIE B,Ceara,Botafogo SP,ROUND 17,1.6,3.8,5.75,1.5,2.5,1.07,9.0,1.4,2.75,2.3,1.6,2.25,1.57,1.63,2.25,1.16,5.25,7.5,11.0,29.0,67.0,5.5,7.5,19.0,51.0,6.5,9.0,23.0,51.0,11.0,15.0,41.0,81.0,201.0
11,MJxPgo5r,25/07/2024,21:30,BRAZIL - SERIE B,Goias,CRB,ROUND 17,1.75,3.4,4.75,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.25,1.57,1.75,2.05,1.19,4.5,7.0,10.0,23.0,51.0,5.5,7.0,17.0,41.0,7.0,9.0,21.0,51.0,13.0,17.0,41.0,81.0,201.0
