Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,GCfGbFyH,22/08/2024,12:30,POLAND - DIVISION 1,Legnica,Pruszkow,ROUND 6,1.75,3.4,3.9,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.8,1.91,1.85,2.0,1.24,3.9,11.0,13.0,21.0,41.0,7.5,7.0,15.0,34.0,9.0,8.5,15.0,41.0,15.0,15.0,26.0,51.0,201.0
2,xhl4iad2,22/08/2024,13:10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taawon,Al Feiha,ROUND 1,1.44,4.5,6.0,1.3,3.4,1.03,10.0,1.2,4.33,1.62,2.25,1.83,1.83,1.45,2.68,1.14,5.75,15.0,19.0,34.0,67.0,8.0,9.0,19.0,41.0,7.5,8.5,17.0,41.0,10.0,12.0,23.0,51.0,600.0
3,nsYEkNVs,22/08/2024,14:00,EUROPE - EUROPA LEAGUE,LASK (Aut),FCSB (Rou),QUALIFICATION ,1.8,3.75,4.1,1.36,3.0,1.02,11.0,1.29,3.5,1.88,1.93,1.83,1.83,1.78,2.03,1.24,3.9,11.0,12.0,21.0,41.0,7.5,7.0,15.0,34.0,8.5,9.0,15.0,41.0,15.0,15.0,26.0,51.0,600.0
4,CGDxrmZ1,22/08/2024,14:00,EUROPE - EUROPA LEAGUE,Molde (Nor),Elfsborg (Swe),QUALIFICATION ,1.55,4.33,5.0,1.29,3.5,1.03,10.5,1.17,4.5,1.57,2.35,1.67,2.1,1.55,2.38,1.18,4.8,15.0,17.0,29.0,51.0,9.0,8.5,17.0,41.0,8.5,8.5,15.0,41.0,12.0,12.0,21.0,41.0,151.0
5,U3Olhauh,22/08/2024,14:00,EUROPE - EUROPA LEAGUE,Plzen (Cze),Hearts (Sco),QUALIFICATION ,1.44,4.2,6.25,1.3,3.4,1.01,13.0,1.2,4.33,1.67,2.15,1.83,1.83,1.45,2.68,1.13,6.0,13.0,19.0,34.0,67.0,8.0,8.5,21.0,41.0,7.5,8.5,17.0,41.0,10.0,12.0,23.0,51.0,500.0
6,8AeNixLq,22/08/2024,14:00,EUROPE - EUROPA LEAGUE,RFS (Lat),APOEL (Cyp),QUALIFICATION ,2.45,3.5,2.5,1.44,2.63,1.06,8.0,1.33,3.25,2.05,1.75,1.83,1.83,2.43,1.53,1.5,2.5,10.0,8.0,12.0,26.0,8.0,7.0,10.0,21.0,12.0,10.0,17.0,34.0,23.0,21.0,34.0,51.0,700.0
7,nX2a2cxh,22/08/2024,14:00,POLAND - DIVISION 1,Arka Gdynia,Ruch Chorzow,ROUND 6,1.91,3.3,3.5,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,1.73,2.0,2.0,1.85,1.28,3.55,11.0,11.0,19.0,41.0,8.0,6.5,13.0,29.0,9.5,9.0,15.0,34.0,17.0,15.0,26.0,41.0,201.0
8,rmAguumn,22/08/2024,14:30,EUROPE - EUROPA LEAGUE,PAOK (Gre),Shamrock Rovers (Irl),QUALIFICATION ,1.14,7.5,15.0,1.22,4.0,19.0,1.03,1.13,5.5,1.44,2.63,2.25,1.57,1.16,5.25,,,19.0,34.0,67.0,151.0,9.0,15.0,41.0,81.0,6.5,11.0,29.0,81.0,7.0,12.0,34.0,81.0,1000.0
9,I3usaBF8,22/08/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Wehda,Al Riyadh,ROUND 1,1.85,3.5,3.7,1.36,3.0,1.05,8.5,1.25,3.75,1.85,1.95,1.8,1.91,1.93,1.88,1.28,3.55,11.0,12.0,19.0,41.0,7.5,7.0,13.0,29.0,9.0,9.0,15.0,34.0,15.0,15.0,26.0,51.0,500.0
10,QTrkckpL,22/08/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Nassr,Al Raed,ROUND 1,1.2,7.0,9.0,1.2,4.33,1.01,15.0,1.1,6.5,1.33,3.25,1.83,1.83,1.21,4.25,,,23.0,29.0,51.0,101.0,11.0,15.0,26.0,51.0,8.0,10.0,23.0,51.0,8.0,11.0,23.0,51.0,600.0
